log,target,metric,draw,interaction_total
BPIC13_closed,handover,ap,0,0.3817350774267043
BPIC13_closed,handover,ap,1,0.3432189636018077
BPIC13_closed,handover,ap,2,0.5578333880036993
BPIC13_closed,handover,ap,3,0.646831729994118
BPIC13_closed,handover,ap,4,0.4677112992566631
BPIC13_closed,handover,ap,5,0.851231131370067
BPIC13_closed,handover,ap,6,0.5980722572483435
BPIC13_closed,handover,ap,7,0.847948782385062
BPIC13_closed,handover,ap,8,0.5825860197542754
BPIC13_closed,handover,ap,9,0.84717165067799
BPIC13_closed,handover,ap,10,0.5211494084469124
BPIC13_closed,handover,ap,11,0.41481734040585416
BPIC13_closed,handover,ap,12,0.49241021841326604
BPIC13_closed,handover,ap,13,0.5142846528784525
BPIC13_closed,handover,ap,14,0.4197421824196065
BPIC13_closed,handover,ap,15,0.2584459143377392
BPIC13_closed,handover,ap,16,0.6798847784161335
BPIC13_closed,handover,ap,17,0.6098220484020942
BPIC13_closed,handover,ap,18,0.4188622601387477
BPIC13_closed,handover,ap,19,0.6268507445183286
BPIC13_closed,handover,ap,20,0.793253339078716
BPIC13_closed,handover,ap,21,0.9561053863503799
BPIC13_closed,handover,ap,22,0.2126454659041328
BPIC13_closed,handover,ap,23,0.903410750813415
BPIC13_closed,handover,ap,24,0.33266769764204385
BPIC13_closed,handover,ap,25,0.6634497100631952
BPIC13_closed,handover,ap,26,0.9176269680820464
BPIC13_closed,handover,ap,27,0.3056211989448586
BPIC13_closed,handover,ap,28,0.3643243049390452
BPIC13_closed,handover,ap,29,0.7580014685938465
BPIC13_closed,handover,ap,30,0.596308528499105
BPIC13_closed,handover,ap,31,0.7360873078298367
BPIC13_closed,handover,ap,32,0.4448860803239244
BPIC13_closed,handover,ap,33,0.42993275650799445
BPIC13_closed,handover,ap,34,0.487579789541453
BPIC13_closed,handover,ap,35,0.30580449503310314
BPIC13_closed,handover,ap,36,0.41887268859700577
BPIC13_closed,handover,ap,37,0.6784706859724183
BPIC13_closed,handover,ap,38,0.7895363387220806
BPIC13_closed,handover,ap,39,0.7509594547451588
BPIC13_closed,handover,ap,40,0.4772586332693941
BPIC13_closed,handover,ap,41,0.4669515902208583
BPIC13_closed,handover,ap,42,0.1912926784748762
BPIC13_closed,handover,ap,43,0.3521208724417102
BPIC13_closed,handover,ap,44,0.5491640866082854
BPIC13_closed,handover,ap,45,0.8278340057790919
BPIC13_closed,handover,ap,46,0.25947257915482436
BPIC13_closed,handover,ap,47,0.6065693783331965
BPIC13_closed,handover,ap,48,0.5900502641336256
BPIC13_closed,handover,ap,49,0.6303505662816038
BPIC13_closed,handover,ap,50,0.7967067730800255
BPIC13_closed,handover,ap,51,0.34992978186923474
BPIC13_closed,handover,ap,52,0.7155201376340316
BPIC13_closed,handover,ap,53,0.35090221009041256
BPIC13_closed,handover,ap,54,0.4281262209049208
BPIC13_closed,handover,ap,55,0.5889726700545352
BPIC13_closed,handover,ap,56,0.556597425244005
BPIC13_closed,handover,ap,57,0.6471785756871641
BPIC13_closed,handover,ap,58,0.4887682418777558
