log,target,metric,measure,component,order,share,scale
BPIC13_closed,handover,ap,equal-level,learner,1,0.02695866504655632,raw-within-metric
BPIC13_closed,handover,ap,equal-level,split,1,0.26620171048704494,raw-within-metric
BPIC13_closed,handover,ap,equal-level,quality_level,1,0.032043346140941106,raw-within-metric
BPIC13_closed,handover,ap,equal-level,rung,1,0.04939598977083283,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+split,2,0.07921565077161548,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+quality_level,2,0.005866943349621313,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+rung,2,0.01066342111797606,raw-within-metric
BPIC13_closed,handover,ap,equal-level,split+quality_level,2,0.21648181122756693,raw-within-metric
BPIC13_closed,handover,ap,equal-level,split+rung,2,0.05807438607252424,raw-within-metric
BPIC13_closed,handover,ap,equal-level,quality_level+rung,2,0.0181639996146371,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+split+quality_level,3,0.032961936147865224,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+split+rung,3,0.0750575124358174,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+quality_level+rung,3,0.017138826718974345,raw-within-metric
BPIC13_closed,handover,ap,equal-level,split+quality_level+rung,3,0.07179531748403745,raw-within-metric
BPIC13_closed,handover,ap,equal-level,learner+split+quality_level+rung,4,0.03998048361398923,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner,1,0.03606114933312742,raw-within-metric
BPIC13_closed,handover,auc,equal-level,split,1,0.286607602745898,raw-within-metric
BPIC13_closed,handover,auc,equal-level,quality_level,1,0.01629496591252936,raw-within-metric
BPIC13_closed,handover,auc,equal-level,rung,1,0.023090757944446327,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+split,2,0.07096867878867195,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+quality_level,2,0.0017461901272656903,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+rung,2,0.0034815213381311125,raw-within-metric
BPIC13_closed,handover,auc,equal-level,split+quality_level,2,0.10335971277238497,raw-within-metric
BPIC13_closed,handover,auc,equal-level,split+rung,2,0.26400788280910975,raw-within-metric
BPIC13_closed,handover,auc,equal-level,quality_level+rung,2,0.015674093796120864,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+split+quality_level,3,0.030877598167007164,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+split+rung,3,0.054346523982826606,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+quality_level+rung,3,0.00731109348930462,raw-within-metric
BPIC13_closed,handover,auc,equal-level,split+quality_level+rung,3,0.04525260892177573,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner+split+quality_level+rung,4,0.04091961987140044,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,learner,1,0.1100927101242326,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,split,1,0.20291856754100474,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,quality_level,1,0.028793999247193943,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,rung,1,0.11245820577309994,raw-within-metric
