log,target,metric,measure,axis,S,S_total,involvement,levels,n_cells,scale
BPIC13_closed,handover,ap,equal-level,learner,0.026958665046556318,0.2878434392024155,0.2608847741558592,2,216,raw-within-metric
BPIC13_closed,handover,ap,equal-level,split,0.266201710487045,0.839768808240461,0.573567097753416,6,216,raw-within-metric
BPIC13_closed,handover,ap,equal-level,quality_level,0.03204334614094111,0.43443266429763283,0.4023893181566917,6,216,raw-within-metric
BPIC13_closed,handover,ap,equal-level,rung,0.04939598977083286,0.3402699368287888,0.29087394705795594,3,216,raw-within-metric
BPIC13_closed,handover,auc,equal-level,learner,0.03606114933312744,0.24571237509773503,0.2096512257646076,2,216,raw-within-metric
BPIC13_closed,handover,auc,equal-level,split,0.28660760274589797,0.8963402280590745,0.6097326253131765,6,216,raw-within-metric
BPIC13_closed,handover,auc,equal-level,quality_level,0.01629496591252936,0.2614358830577888,0.24514091714525946,6,216,raw-within-metric
BPIC13_closed,handover,auc,equal-level,rung,0.02309075794444632,0.45408410215311545,0.43099334420866914,3,216,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,learner,0.1100927101242326,0.4526605303949784,0.3425678202707458,2,216,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,split,0.20291856754100476,0.5420223252445933,0.33910375770358847,6,216,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,quality_level,0.02879399924719395,0.3271164553377797,0.2983224560905858,6,216,raw-within-metric
BPIC13_closed,handover,brier_skill,equal-level,rung,0.11245820577309988,0.4706084521785565,0.3581502464054566,3,216,raw-within-metric
BPIC13_closed,handover,logloss_skill,equal-level,learner,0.19310680399153304,0.5485322862035796,0.3554254822120466,2,216,raw-within-metric
BPIC13_closed,handover,logloss_skill,equal-level,split,0.1926022359252218,0.5664850613177291,0.37388282539250733,6,216,raw-within-metric
BPIC13_closed,handover,logloss_skill,equal-level,quality_level,0.028317599285478605,0.2542811250839788,0.2259635257985002,6,216,raw-within-metric
BPIC13_closed,handover,logloss_skill,equal-level,rung,0.08355482945237655,0.3491755947484701,0.2656207652960936,3,216,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,learner,0.17461720237688627,0.5715773917924948,0.3969601894156085,2,216,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,split,0.16074299893967667,0.5978463572786417,0.43710335833896496,6,216,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,quality_level,0.02960072901558806,0.2491229958217989,0.21952226680621084,6,216,raw-within-metric
BPIC13_closed,handover,nagelkerke,equal-level,rung,0.07507029297447669,0.36658048317157155,0.29151019019709484,3,216,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,learner,0.0032748055125167244,0.12030080820148259,0.11702600268896586,2,216,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,split,0.3843879508043893,0.7370685761112806,0.3526806253068913,6,216,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,quality_level,0.10934037447885703,0.2791493227703069,0.16980894829144988,6,216,raw-within-metric
BPIC13_incidents,duration,ap,equal-level,rung,0.10811256410090818,0.3737631148102712,0.265650550709363,3,216,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,learner,0.025722003990620128,0.05869990738933135,0.03297790339871122,2,216,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,split,0.39516598000431963,0.6843301366343159,0.2891641566299962,6,216,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,quality_level,0.12916796391660273,0.24111268137120664,0.11194471745460391,6,216,raw-within-metric
BPIC13_incidents,duration,auc,equal-level,rung,0.12799743211691955,0.3886959628245575,0.26069853070763793,3,216,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,learner,0.11142413389672726,0.33278803832313464,0.22136390442640738,2,216,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,split,0.2794065553436269,0.7961562613409429,0.516749705997316,6,216,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,quality_level,0.01605533873259582,0.21763505257077084,0.20157971383817502,6,216,raw-within-metric
BPIC13_incidents,duration,brier_skill,equal-level,rung,0.021712123524429573,0.4645137370535698,0.4428016135291402,3,216,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,learner,0.07849870483621454,0.2996900022130286,0.22119129737681406,2,216,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,split,0.46829988485828694,0.8402962542603464,0.37199636940205943,6,216,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,quality_level,0.015085215052014732,0.14167183937370972,0.12658662432169498,6,216,raw-within-metric
BPIC13_incidents,duration,logloss_skill,equal-level,rung,0.0286346388029492,0.2451175373792402,0.216482898576291,3,216,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,learner,0.035804654564272474,0.47413635622042605,0.4383317016561536,2,216,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,split,0.22761685518678632,0.867295666804498,0.6396788116177117,6,216,raw-within-metric
BPIC13_incidents,duration,nagelkerke,equal-level,quality_level,0.029141598105088123,0.5258979818592513,0.4967563837541632,6,216,raw-within-metric
