log,target,interaction_total,largest_involvement,largest_first_order
BPIC13_closed,handover,0.5599687766933723,0.43710335833896496,0.20291856754100474
BPIC13_incidents,duration,0.4094815564505344,0.3719963694020594,0.38438795080438926
BPIC13_incidents,handover,0.3075868261472824,0.25100854532230477,0.3573974720977646
BPIC14,duration,0.23299078680680074,0.1797482678782506,0.35891689368868696
BPIC14,handover,0.2326212865669144,0.18271642239571528,0.31681813425949906
BPIC15_1,duration,0.6137154736420087,0.5477298781125348,0.2634316490841704
BPIC15_1,handover,0.5749644350316419,0.4760093788306848,0.16904107893876616
BPIC15_3,duration,0.606885846897169,0.4896391492641157,0.28676461366920636
BPIC15_3,handover,0.6622683332807935,0.5473545361463088,0.20137114736680461
BPIC15_4,duration,0.7322559327731423,0.6548916429703469,0.15073798658433377
BPIC15_4,handover,0.7927453503798446,0.642908115254037,0.09833148823239095
BPIC15_5,duration,0.7494219425834443,0.6638054891412568,0.12357312972862715
BPIC17,duration,0.5899004467071883,0.49438543645263283,0.3463960498336197
BPIC19,duration,0.4739126031201115,0.41829582212187943,0.49106309516070124
Helpdesk,duration,0.33908893388454464,0.3140853045795027,0.3521781952832609
RoadFines,duration,0.4490503676916119,0.42435020506612947,0.28905045444736505
Sepsis,duration,0.6077354317003761,0.574229423822005,0.15391588492383038
UCI498,duration,0.4333098632888651,0.3911247063312904,0.4527360960214066
UCI498,handover,0.3899693896125056,0.28474381262361936,0.28678360403471226
