held_out_log,metric,comparison,scored,agrees
BPIC13_closed,ap,one-number vs majority,False,
BPIC13_closed,auc,one-number vs majority,False,
BPIC13_closed,brier_skill,one-number vs majority,False,
BPIC13_closed,logloss_skill,one-number vs majority,False,
BPIC13_closed,nagelkerke,one-number vs majority,False,
BPIC13_incidents,ap,one-number vs majority,False,
BPIC13_incidents,auc,one-number vs majority,False,
BPIC13_incidents,brier_skill,one-number vs majority,True,False
BPIC13_incidents,logloss_skill,one-number vs majority,True,False
BPIC13_incidents,nagelkerke,one-number vs majority,True,False
BPIC14,ap,one-number vs majority,False,
BPIC14,auc,one-number vs majority,False,
BPIC14,brier_skill,one-number vs majority,False,
BPIC14,logloss_skill,one-number vs majority,False,
BPIC14,nagelkerke,one-number vs majority,False,
BPIC15_1,ap,one-number vs majority,False,
BPIC15_1,auc,one-number vs majority,False,
BPIC15_1,brier_skill,one-number vs majority,True,True
BPIC15_1,logloss_skill,one-number vs majority,True,True
BPIC15_1,nagelkerke,one-number vs majority,True,False
BPIC15_3,ap,one-number vs majority,False,
BPIC15_3,auc,one-number vs majority,True,True
BPIC15_3,brier_skill,one-number vs majority,False,
BPIC15_3,logloss_skill,one-number vs majority,True,False
BPIC15_3,nagelkerke,one-number vs majority,True,True
BPIC15_4,ap,one-number vs majority,True,False
BPIC15_4,auc,one-number vs majority,True,True
BPIC15_4,brier_skill,one-number vs majority,True,True
BPIC15_4,logloss_skill,one-number vs majority,True,False
BPIC15_4,nagelkerke,one-number vs majority,True,False
BPIC15_5,ap,one-number vs majority,False,
BPIC15_5,auc,one-number vs majority,False,
BPIC15_5,brier_skill,one-number vs majority,True,True
BPIC15_5,logloss_skill,one-number vs majority,True,False
BPIC15_5,nagelkerke,one-number vs majority,True,False
BPIC17,ap,one-number vs majority,False,
BPIC17,auc,one-number vs majority,False,
BPIC17,brier_skill,one-number vs majority,True,False
BPIC17,logloss_skill,one-number vs majority,True,True
BPIC17,nagelkerke,one-number vs majority,True,False
BPIC19,ap,one-number vs majority,False,
BPIC19,auc,one-number vs majority,False,
BPIC19,brier_skill,one-number vs majority,True,False
BPIC19,logloss_skill,one-number vs majority,True,False
BPIC19,nagelkerke,one-number vs majority,True,False
Helpdesk,ap,one-number vs majority,True,True
Helpdesk,auc,one-number vs majority,False,
Helpdesk,brier_skill,one-number vs majority,False,
Helpdesk,logloss_skill,one-number vs majority,False,
Helpdesk,nagelkerke,one-number vs majority,False,
RoadFines,ap,one-number vs majority,False,
RoadFines,auc,one-number vs majority,False,
RoadFines,brier_skill,one-number vs majority,False,
RoadFines,logloss_skill,one-number vs majority,False,
RoadFines,nagelkerke,one-number vs majority,False,
Sepsis,ap,one-number vs majority,False,
Sepsis,auc,one-number vs majority,False,
Sepsis,brier_skill,one-number vs majority,False,
Sepsis,logloss_skill,one-number vs majority,False,
Sepsis,nagelkerke,one-number vs majority,False,
UCI498,ap,one-number vs majority,True,True
UCI498,auc,one-number vs majority,True,True
UCI498,brier_skill,one-number vs majority,False,
