log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC13_closed,handover,ap,average precision,equal-level,one-number,216,False,0.00688893906370364,0.0,0.0,0.019667643777090533,0.00688893906370364,0.00688893906370364,-0.012778704713386891,0.287037037037037
BPIC13_closed,handover,ap,average precision,equal-level,uniform-beneficial,216,False,0.00688893906370364,0.0,0.0,0.019667643777090533,0.00688893906370364,0.00688893906370364,-0.012778704713386891,0.287037037037037
BPIC13_closed,handover,ap,average precision,equal-level,majority,216,False,0.00688893906370364,0.0,0.0,0.019667643777090533,0.00688893906370364,0.00688893906370364,-0.012778704713386891,0.287037037037037
BPIC13_closed,handover,ap,average precision,equal-level,weighted-mean,216,False,0.00688893906370364,0.0,0.0,0.019667643777090533,0.00688893906370364,0.00688893906370364,-0.012778704713386891,0.287037037037037
BPIC13_closed,handover,ap,average precision,reference,one-number,216,False,0.005502646272876438,0.0,0.0,0.021741544249934255,0.005502646272876438,0.005502646272876438,-0.01623889797705782,0.24375000000000002
BPIC13_closed,handover,ap,average precision,reference,uniform-beneficial,216,False,0.005502646272876438,0.0,0.0,0.021741544249934255,0.005502646272876438,0.005502646272876438,-0.01623889797705782,0.24375000000000002
BPIC13_closed,handover,ap,average precision,reference,majority,216,False,0.005502646272876438,0.0,0.0,0.021741544249934255,0.005502646272876438,0.005502646272876438,-0.01623889797705782,0.24375000000000002
BPIC13_closed,handover,ap,average precision,reference,weighted-mean,216,False,0.005502646272876438,0.0,0.0,0.021741544249934255,0.005502646272876438,0.005502646272876438,-0.01623889797705782,0.24375000000000002
BPIC13_closed,handover,ap,average precision,concentrated,one-number,216,False,0.0015496691742998851,0.0,0.0,0.01968191789379478,0.0015496691742998851,0.0015496691742998851,-0.018132248719494898,0.13929599999999995
BPIC13_closed,handover,ap,average precision,concentrated,uniform-beneficial,216,False,0.0015496691742998851,0.0,0.0,0.01968191789379478,0.0015496691742998851,0.0015496691742998851,-0.018132248719494898,0.13929599999999995
BPIC13_closed,handover,ap,average precision,concentrated,majority,216,False,0.0015496691742998851,0.0,0.0,0.01968191789379478,0.0015496691742998851,0.0015496691742998851,-0.018132248719494898,0.13929599999999995
BPIC13_closed,handover,ap,average precision,concentrated,weighted-mean,216,False,0.0015496691742998851,0.0,0.0,0.01968191789379478,0.0015496691742998851,0.0015496691742998851,-0.018132248719494898,0.13929599999999995
BPIC13_closed,handover,auc,AUC,equal-level,one-number,216,False,0.007942367735846077,0.0,0.0,0.014133635780752073,0.007942367735846077,0.007942367735846077,-0.006191268044905995,0.3935185185185185
BPIC13_closed,handover,auc,AUC,equal-level,uniform-beneficial,216,False,0.007942367735846077,0.0,0.0,0.014133635780752073,0.007942367735846077,0.007942367735846077,-0.006191268044905995,0.3935185185185185
BPIC13_closed,handover,auc,AUC,equal-level,majority,216,False,0.007942367735846077,0.0,0.0,0.014133635780752073,0.007942367735846077,0.007942367735846077,-0.006191268044905995,0.3935185185185185
BPIC13_closed,handover,auc,AUC,equal-level,weighted-mean,216,False,0.007942367735846077,0.0,0.0,0.014133635780752073,0.007942367735846077,0.007942367735846077,-0.006191268044905995,0.3935185185185185
BPIC13_closed,handover,auc,AUC,reference,one-number,216,False,0.005996104053505165,0.0,0.0,0.012673464337451909,0.005996104053505165,0.005996104053505165,-0.006677360283946745,0.345
BPIC13_closed,handover,auc,AUC,reference,uniform-beneficial,216,False,0.005996104053505165,0.0,0.0,0.012673464337451909,0.005996104053505165,0.005996104053505165,-0.006677360283946745,0.345
BPIC13_closed,handover,auc,AUC,reference,majority,216,False,0.005996104053505165,0.0,0.0,0.012673464337451909,0.005996104053505165,0.005996104053505165,-0.006677360283946745,0.345
BPIC13_closed,handover,auc,AUC,reference,weighted-mean,216,False,0.005996104053505165,0.0,0.0,0.012673464337451909,0.005996104053505165,0.005996104053505165,-0.006677360283946745,0.345
BPIC13_closed,handover,auc,AUC,concentrated,one-number,216,False,0.0015811445779328978,0.0,0.0,0.010292820226969328,0.0015811445779328978,0.0015811445779328978,-0.008711675649036429,0.20083199999999995
BPIC13_closed,handover,auc,AUC,concentrated,uniform-beneficial,216,False,0.0015811445779328978,0.0,0.0,0.010292820226969328,0.0015811445779328978,0.0015811445779328978,-0.008711675649036429,0.20083199999999995
