log,target,utility_map,unit,excess_one_number,excess_majority,one_number_adopts,majority_adopts,mean_adopts,share_positive
BPIC13_closed,handover,identity,utility(identity),0.0,0.0,False,False,False,0.2842592592592593
BPIC13_closed,handover,headroom,utility(headroom),0.0,0.0,False,False,False,0.2842592592592593
BPIC13_closed,handover,standardised,utility(standardised),0.0,0.0,False,False,False,0.2842592592592593
BPIC13_closed,handover,square-root,utility(square-root),0.0,0.0,False,False,False,0.2842592592592593
BPIC13_closed,handover,rank-logistic,utility(rank-logistic),0.0,0.0,False,False,False,0.2842592592592593
BPIC13_incidents,duration,identity,utility(identity),0.07223312766516646,0.07223312766516646,True,True,False,0.6074074074074076
BPIC13_incidents,duration,headroom,utility(headroom),0.01450251733855848,0.01450251733855848,True,True,False,0.6074074074074076
BPIC13_incidents,duration,standardised,utility(standardised),0.0,0.0,True,True,True,0.6074074074074076
BPIC13_incidents,duration,square-root,utility(square-root),0.00615564881787159,0.00615564881787159,True,True,False,0.6074074074074076
BPIC13_incidents,duration,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.6074074074074076
BPIC13_incidents,handover,identity,utility(identity),0.0,0.0,True,True,True,0.8888888888888893
BPIC13_incidents,handover,headroom,utility(headroom),0.0,0.0,True,True,True,0.8888888888888893
BPIC13_incidents,handover,standardised,utility(standardised),0.0,0.0,True,True,True,0.8888888888888893
BPIC13_incidents,handover,square-root,utility(square-root),0.0,0.0,True,True,True,0.8888888888888893
BPIC13_incidents,handover,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.8888888888888893
BPIC14,duration,identity,utility(identity),0.0,0.0,True,True,True,0.8935416666666667
BPIC14,duration,headroom,utility(headroom),0.0,0.0,True,True,True,0.8935416666666667
BPIC14,duration,standardised,utility(standardised),0.0,0.0,True,True,True,0.8935416666666667
BPIC14,duration,square-root,utility(square-root),0.0,0.0,True,True,True,0.8935416666666667
BPIC14,duration,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.8935416666666667
BPIC14,handover,identity,utility(identity),0.0,0.0,True,True,True,0.7562500000000001
BPIC14,handover,headroom,utility(headroom),0.0,0.0,True,True,True,0.7562500000000001
BPIC14,handover,standardised,utility(standardised),0.0,0.0,True,True,True,0.7562500000000001
BPIC14,handover,square-root,utility(square-root),0.0,0.0,True,True,True,0.7562500000000001
BPIC14,handover,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.7562500000000001
BPIC15_1,duration,identity,utility(identity),0.00028688579299877143,0.00028688579299877143,True,True,False,0.576851851851852
BPIC15_1,duration,headroom,utility(headroom),0.0,0.0,True,True,True,0.576851851851852
BPIC15_1,duration,standardised,utility(standardised),0.0,0.0,True,True,True,0.576851851851852
BPIC15_1,duration,square-root,utility(square-root),0.0,0.0,True,True,True,0.576851851851852
BPIC15_1,duration,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.576851851851852
BPIC15_1,handover,identity,utility(identity),0.006669023010339302,0.006669023010339302,True,True,False,0.7583333333333335
BPIC15_1,handover,headroom,utility(headroom),0.0,0.0,True,True,True,0.7583333333333335
BPIC15_1,handover,standardised,utility(standardised),0.0,0.0,True,True,True,0.7583333333333335
BPIC15_1,handover,square-root,utility(square-root),0.0,0.0,True,True,True,0.7583333333333335
BPIC15_1,handover,rank-logistic,utility(rank-logistic),0.0,0.0,True,True,True,0.7583333333333335
