log,target,domain,n,n_learners,n_encodings,n_splits,n_decision_times,n_quality,n_rungs,n_admissible_rungs,n_scalar_metrics,n_operating_points,declared_cells,declared_scalar,declared_admissible_cells,declared_admissible_scalar,declared_admissible_dc,computational_cells,computational_rows,duplicates,missing,inference_cells_declared,inference_cells_observed,inference_draws,inference_share
BPIC14,duration,itsm,46606,4,3,6,2,10,5,4,5,31,1200,6000,960,4800,29760,1200,43200,0,0,96,96,150,0.08
BPIC14,handover,itsm,46606,4,3,6,2,10,5,4,5,31,1200,6000,960,4800,29760,1200,43200,0,0,96,96,150,0.08
BPIC13_closed,handover,itsm,1487,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC13_incidents,duration,itsm,7554,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC13_incidents,handover,itsm,7554,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC15_1,duration,permitting,1199,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC15_1,handover,permitting,1199,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC15_3,duration,permitting,1409,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC15_3,handover,permitting,1409,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC15_4,duration,permitting,1053,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,150,0.125
BPIC15_4,handover,permitting,1053,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,150,0.125
BPIC15_5,duration,permitting,1156,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,150,0.125
BPIC17,duration,lending,31509,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
BPIC19,duration,procurement,251734,3,3,6,1,6,4,3,5,31,432,2160,324,1620,10044,432,15552,0,0,24,24,40,0.05555555555555555
Helpdesk,duration,itsm,4580,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
RoadFines,duration,enforcement,150370,3,3,6,1,6,4,3,5,31,432,2160,324,1620,10044,432,15552,0,0,24,24,40,0.05555555555555555
Sepsis,duration,healthcare,1050,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,150,0.125
UCI498,duration,itsm,24918,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
UCI498,handover,itsm,24918,2,2,6,1,6,4,3,5,31,288,1440,216,1080,6696,288,10368,0,0,36,36,80,0.125
