log,target,axis,n_levels,levels
BPIC14,duration,learner,4,logit|logit_fr|hgb|hgb_iso
BPIC14,duration,encoding,3,frequency|onehot|target-xfit
BPIC14,duration,quality_level,10,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|mask_random@0.50|mask_common@0.50|corrupt@0.05|corrupt@0.15|duplicate@0.15|stale@1.00
BPIC14,duration,rung,5,B_empty|B_half|B_intake|B_intake_g|B_intake_g_km
BPIC14,duration,admissible_rung,4,B_half|B_intake|B_intake_g|B_intake_g_km
BPIC14,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC14,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC14,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC14,duration,decision_time,2,t_interaction|t_incident
BPIC14,handover,learner,4,logit|logit_fr|hgb|hgb_iso
BPIC14,handover,encoding,3,frequency|onehot|target-xfit
BPIC14,handover,quality_level,10,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|mask_random@0.50|mask_common@0.50|corrupt@0.05|corrupt@0.15|duplicate@0.15|stale@1.00
BPIC14,handover,rung,5,B_empty|B_half|B_intake|B_intake_g|B_intake_g_km
BPIC14,handover,admissible_rung,4,B_half|B_intake|B_intake_g|B_intake_g_km
BPIC14,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC14,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC14,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC14,handover,decision_time,2,t_interaction|t_incident
BPIC13_closed,handover,learner,2,logit|hgb
BPIC13_closed,handover,encoding,2,onehot|target-xfit
BPIC13_closed,handover,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC13_closed,handover,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC13_closed,handover,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC13_closed,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC13_closed,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC13_closed,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC13_closed,handover,decision_time,1,t_incident
BPIC13_incidents,duration,learner,2,logit|hgb
BPIC13_incidents,duration,encoding,2,onehot|target-xfit
BPIC13_incidents,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC13_incidents,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
