log,target,declared_cells,inference_cells,share_positive_declared,share_positive_inference,sign_disagreement_declared,sign_disagreement_inference,mean_declared,mean_inference
BPIC13_closed,handover,1080,180,0.28425925925925927,0.4777777777777778,0.406911865569273,0.4990123456790123,-0.0859658444885283,0.00698075274051857
BPIC13_incidents,duration,1080,180,0.6074074074074074,0.6666666666666666,0.47692729766803843,0.4444444444444445,-0.07223312766516642,0.012600571823876935
BPIC13_incidents,handover,1080,180,0.8888888888888888,0.9888888888888889,0.19753086419753094,0.021975308641975232,0.0038154096031813418,0.07754669105578016
BPIC14,duration,4800,240,0.8935416666666667,0.9041666666666667,0.19024991319444443,0.1732986111111111,0.061588810288388536,0.08913986292091508
BPIC14,handover,4800,240,0.75625,0.9916666666666667,0.36867187500000004,0.01652777777777772,0.08649962117579034,0.15405441332927244
BPIC15_1,duration,1080,180,0.5768518518518518,0.5166666666666667,0.48818758573388205,0.49944444444444447,-0.00028688579299877126,-0.004477825252792347
BPIC15_1,handover,1080,180,0.7583333333333333,0.8111111111111111,0.3665277777777778,0.3064197530864197,-0.00666902301033931,-0.09882383218886281
BPIC15_3,duration,1080,180,0.8092592592592592,0.8166666666666667,0.3087174211248286,0.29944444444444446,0.08694451835651412,0.0958367244238156
BPIC15_3,handover,1080,180,0.6157407407407407,0.4111111111111111,0.4732081618655693,0.48419753086419753,0.018357750816653022,-0.06519753070458992
BPIC15_4,duration,1080,180,0.3768518518518518,0.5833333333333334,0.46966906721536356,0.4861111111111111,-0.030044839863449146,-0.02376405037736343
BPIC15_4,handover,1080,180,0.3824074074074074,0.39444444444444443,0.4723439643347051,0.4777160493827161,-0.11023407723337876,-0.17981901401625405
BPIC15_5,duration,1080,180,0.6722222222222223,0.5555555555555556,0.44067901234567897,0.49382716049382713,-0.0012860097554284883,-0.00744926045152166
BPIC17,duration,1080,180,0.6472222222222223,0.42777777777777776,0.45665123456790124,0.48956790123456784,0.003746941780348629,0.001524033626036756
BPIC19,duration,1620,180,0.6401234567901235,0.31666666666666665,0.4607308337143728,0.43277777777777776,-0.015849603606833514,-0.1947875739466534
Helpdesk,duration,1080,180,0.2574074074074074,0.12777777777777777,0.3822976680384088,0.22290123456790123,-0.02941856139755639,-0.0441401688325364
RoadFines,duration,1620,180,0.8271604938271605,0.8222222222222222,0.28593202255753697,0.2923456790123457,0.013730047686041047,0.015511664307320174
Sepsis,duration,1080,180,0.9435185185185185,0.9666666666666667,0.10658264746227707,0.06444444444444443,0.18535540641309667,0.20957467720334538
UCI498,duration,1080,180,0.4925925925925926,0.5277777777777778,0.4998902606310014,0.4984567901234568,0.0038064506767484336,0.005328275960731482
UCI498,handover,1080,180,0.48148148148148145,0.43333333333333335,0.49931412894375865,0.4911111111111111,0.004272884747895933,0.00031163763349492516
