log,target,rung,learner,arm,best_calibration
BPIC13_closed,handover,B_half,hgb,with_f,platt
BPIC13_closed,handover,B_half,hgb,without_f,isotonic
BPIC13_closed,handover,B_half,logit,with_f,platt
BPIC13_closed,handover,B_half,logit,without_f,platt
BPIC13_closed,handover,B_intake,hgb,with_f,isotonic
BPIC13_closed,handover,B_intake,hgb,without_f,isotonic
BPIC13_closed,handover,B_intake,logit,with_f,isotonic
BPIC13_closed,handover,B_intake,logit,without_f,isotonic
BPIC13_closed,handover,B_intake_g,hgb,with_f,raw
BPIC13_closed,handover,B_intake_g,hgb,without_f,raw
BPIC13_closed,handover,B_intake_g,logit,with_f,isotonic
BPIC13_closed,handover,B_intake_g,logit,without_f,raw
BPIC13_incidents,duration,B_half,hgb,with_f,platt
BPIC13_incidents,duration,B_half,hgb,without_f,platt
BPIC13_incidents,duration,B_half,logit,with_f,platt
BPIC13_incidents,duration,B_half,logit,without_f,platt
BPIC13_incidents,duration,B_intake,hgb,with_f,isotonic
BPIC13_incidents,duration,B_intake,hgb,without_f,isotonic
BPIC13_incidents,duration,B_intake,logit,with_f,platt
BPIC13_incidents,duration,B_intake,logit,without_f,isotonic
BPIC13_incidents,duration,B_intake_g,hgb,with_f,isotonic
BPIC13_incidents,duration,B_intake_g,hgb,without_f,isotonic
BPIC13_incidents,duration,B_intake_g,logit,with_f,platt
BPIC13_incidents,duration,B_intake_g,logit,without_f,platt
BPIC13_incidents,handover,B_half,hgb,with_f,isotonic
BPIC13_incidents,handover,B_half,hgb,without_f,isotonic
BPIC13_incidents,handover,B_half,logit,with_f,isotonic
BPIC13_incidents,handover,B_half,logit,without_f,isotonic
BPIC13_incidents,handover,B_intake,hgb,with_f,isotonic
BPIC13_incidents,handover,B_intake,hgb,without_f,isotonic
BPIC13_incidents,handover,B_intake,logit,with_f,isotonic
BPIC13_incidents,handover,B_intake,logit,without_f,isotonic
BPIC13_incidents,handover,B_intake_g,hgb,with_f,isotonic
BPIC13_incidents,handover,B_intake_g,hgb,without_f,isotonic
BPIC13_incidents,handover,B_intake_g,logit,with_f,isotonic
BPIC13_incidents,handover,B_intake_g,logit,without_f,isotonic
BPIC14,duration,B_half,hgb,with_f,isotonic
BPIC14,duration,B_half,hgb,without_f,raw
BPIC14,duration,B_half,logit,with_f,isotonic
BPIC14,duration,B_half,logit,without_f,isotonic
BPIC14,duration,B_intake,hgb,with_f,isotonic
BPIC14,duration,B_intake,hgb,without_f,raw
BPIC14,duration,B_intake,logit,with_f,isotonic
BPIC14,duration,B_intake,logit,without_f,isotonic
BPIC14,duration,B_intake_g,hgb,with_f,isotonic
BPIC14,duration,B_intake_g,hgb,without_f,isotonic
BPIC14,duration,B_intake_g,logit,with_f,isotonic
