log,target,rung,learner,calibration,arm,n_test,ece,brier,cal_slope,cal_intercept
BPIC15_1,duration,B_half,logit,raw,without_f,360,0.18966413221955336,0.25201529042223425,0.7615742855201189,-0.7514727044054844
BPIC15_1,duration,B_half,logit,raw,with_f,360,0.16804622062667995,0.23144008706712846,0.9681754791392032,-0.8320032509744048
BPIC15_1,duration,B_half,logit,platt,without_f,360,0.13782911247627955,0.23755310029058363,1.085081233528889,-0.492925913741726
BPIC15_1,duration,B_half,logit,platt,with_f,360,0.1528921781296349,0.2235646705914074,1.069785348126247,-0.707680264265365
BPIC15_1,duration,B_half,logit,isotonic,without_f,360,0.20965345962735335,0.25862504814496345,0.33776655083455587,-0.8984386221392147
BPIC15_1,duration,B_half,logit,isotonic,with_f,360,0.15859927618992797,0.22672030417574815,0.7634679075581307,-0.8698902168560515
BPIC15_1,duration,B_half,hgb,raw,without_f,360,0.21036878339618925,0.2609669588641631,0.7012676639305715,-0.9627259072999927
BPIC15_1,duration,B_half,hgb,raw,with_f,360,0.16236800196387532,0.255726503514341,0.29894962307470385,0.03157845496276935
BPIC15_1,duration,B_half,hgb,platt,without_f,360,0.11169772628398013,0.2248903142682031,1.1554468982823098,-0.2896066847257802
BPIC15_1,duration,B_half,hgb,platt,with_f,360,0.10517311328297803,0.21451356025573404,1.2383628058185525,-0.4271510637265458
BPIC15_1,duration,B_half,hgb,isotonic,without_f,360,0.13046397009101243,0.2272225055216692,0.9895238034740079,-0.3402928892562683
BPIC15_1,duration,B_half,hgb,isotonic,with_f,360,0.12670086311411224,0.2203742032558165,0.9289175763063316,-0.5947848125901083
BPIC15_1,duration,B_intake,logit,raw,without_f,360,0.18693049540947337,0.20872038340587803,1.1337604851720173,-0.9405954219432645
BPIC15_1,duration,B_intake,logit,raw,with_f,360,0.20576178249298616,0.2222469741903078,1.010139891596199,-1.1610454095675062
BPIC15_1,duration,B_intake,logit,platt,without_f,360,0.18367697881921294,0.20692283700446976,1.875321026321063,-0.6451495319707622
BPIC15_1,duration,B_intake,logit,platt,with_f,360,0.17859160514644776,0.2098831220280118,1.7145547020564238,-0.762927929856717
BPIC15_1,duration,B_intake,logit,isotonic,without_f,360,0.1553612173202385,0.20133830472957975,0.9182853072461592,-0.7834644023656487
BPIC15_1,duration,B_intake,logit,isotonic,with_f,360,0.1858070478031114,0.21353991551780085,1.2461287279684554,-0.9578671974348333
BPIC15_1,duration,B_intake,hgb,raw,without_f,360,0.23617200890966208,0.28063369035090535,0.4169781209692097,-1.1702790797342166
BPIC15_1,duration,B_intake,hgb,raw,with_f,360,0.21381922741486942,0.27838035976711245,0.31912272451690005,-1.1428846173502856
BPIC15_1,duration,B_intake,hgb,platt,without_f,360,0.18343508116131432,0.20854048123757887,2.37539792373695,-0.39774120381474104
BPIC15_1,duration,B_intake,hgb,platt,with_f,360,0.16019594424079056,0.20775133039854782,2.215472216274638,-0.48919746786618884
BPIC15_1,duration,B_intake,hgb,isotonic,without_f,360,0.14497502327488826,0.20347542107020797,1.4880121393021408,-0.5804396772973096
BPIC15_1,duration,B_intake,hgb,isotonic,with_f,360,0.15073975359124184,0.20927216503899776,1.445552575382768,-0.668443705888604
BPIC15_1,duration,B_intake_g,logit,raw,without_f,360,0.18974857910820497,0.21451017416546017,1.1103794152815962,-0.991315083777596
BPIC15_1,duration,B_intake_g,logit,raw,with_f,360,0.21422536725155758,0.2275169907319439,0.9972146651492252,-1.2037009159210368
BPIC15_1,duration,B_intake_g,logit,platt,without_f,360,0.18906890916316701,0.21047606850153974,1.9112577042070023,-0.6464699946321365
BPIC15_1,duration,B_intake_g,logit,platt,with_f,360,0.18185354635953677,0.21245958620421151,1.748465013495732,-0.7575768684137218
BPIC15_1,duration,B_intake_g,logit,isotonic,without_f,360,0.1540410992742022,0.2018929285690969,0.9491504329611691,-0.7653150318537866
