log,target,rung,learner,calibration,bin,n,p_mean,y_mean
BPIC15_1,duration,B_half,logit,raw,0,35,0.3257955182361931,0.2
BPIC15_1,duration,B_half,logit,raw,1,22,0.3954704069663093,0.22727272727272727
BPIC15_1,duration,B_half,logit,raw,3,87,0.42049996739454765,0.26436781609195403
BPIC15_1,duration,B_half,logit,raw,4,36,0.5190982982294964,0.16666666666666666
BPIC15_1,duration,B_half,logit,raw,5,36,0.7059904011161537,0.6111111111111112
BPIC15_1,duration,B_half,logit,raw,6,15,0.7656132673116651,0.4
BPIC15_1,duration,B_half,logit,raw,7,46,0.7873324764813401,0.6304347826086957
BPIC15_1,duration,B_half,logit,raw,8,47,0.8326149456126799,0.8297872340425532
BPIC15_1,duration,B_half,logit,raw,9,36,0.8853433784082666,0.6111111111111112
BPIC15_1,duration,B_half,logit,platt,0,30,0.333662019148045,0.2
BPIC15_1,duration,B_half,logit,platt,1,12,0.37452889356037145,0.16666666666666666
BPIC15_1,duration,B_half,logit,platt,2,65,0.3915063755351359,0.2
BPIC15_1,duration,B_half,logit,platt,3,37,0.4170671516241001,0.24324324324324326
BPIC15_1,duration,B_half,logit,platt,4,36,0.4843778615976205,0.3055555555555556
BPIC15_1,duration,B_half,logit,platt,5,36,0.6822721161402567,0.6111111111111112
BPIC15_1,duration,B_half,logit,platt,6,11,0.7332504159460417,0.5454545454545454
BPIC15_1,duration,B_half,logit,platt,7,61,0.7617064661450891,0.6229508196721312
BPIC15_1,duration,B_half,logit,platt,8,32,0.8114774297552302,0.84375
BPIC15_1,duration,B_half,logit,platt,9,40,0.8523901838243532,0.625
BPIC15_1,duration,B_half,logit,isotonic,0,36,0.2608350238754452,0.19444444444444445
BPIC15_1,duration,B_half,logit,isotonic,1,1,0.3312613747010191,0.0
BPIC15_1,duration,B_half,logit,isotonic,2,65,0.3561941696211107,0.2
BPIC15_1,duration,B_half,logit,isotonic,3,40,0.4090225863395284,0.275
BPIC15_1,duration,B_half,logit,isotonic,4,38,0.48614391712763644,0.2894736842105263
BPIC15_1,duration,B_half,logit,isotonic,5,35,0.674257267318153,0.5142857142857142
BPIC15_1,duration,B_half,logit,isotonic,6,25,0.7525369156782122,0.68
BPIC15_1,duration,B_half,logit,isotonic,7,36,0.8221672939412726,0.6388888888888888
BPIC15_1,duration,B_half,logit,isotonic,8,21,0.8618667660157022,0.5714285714285714
BPIC15_1,duration,B_half,logit,isotonic,9,63,0.9250439991753536,0.746031746031746
BPIC15_1,duration,B_half,hgb,raw,0,34,0.08660266302850494,0.2647058823529412
BPIC15_1,duration,B_half,hgb,raw,2,71,0.14302829356933142,0.22535211267605634
BPIC15_1,duration,B_half,hgb,raw,3,37,0.2983199960409578,0.3783783783783784
