log,target,rung,learner,n_thresholds,n_sign_change
BPIC13_closed,handover,B_half,hgb,31,18
BPIC13_closed,handover,B_half,logit,31,12
BPIC13_closed,handover,B_intake,hgb,31,22
BPIC13_closed,handover,B_intake,logit,31,16
BPIC13_closed,handover,B_intake_g,hgb,31,19
BPIC13_closed,handover,B_intake_g,logit,31,20
BPIC13_incidents,duration,B_half,hgb,31,2
BPIC13_incidents,duration,B_half,logit,31,0
BPIC13_incidents,duration,B_intake,hgb,31,15
BPIC13_incidents,duration,B_intake,logit,31,9
BPIC13_incidents,duration,B_intake_g,hgb,31,17
BPIC13_incidents,duration,B_intake_g,logit,31,8
BPIC13_incidents,handover,B_half,hgb,31,2
BPIC13_incidents,handover,B_half,logit,31,5
BPIC13_incidents,handover,B_intake,hgb,31,5
BPIC13_incidents,handover,B_intake,logit,31,1
BPIC13_incidents,handover,B_intake_g,hgb,31,4
BPIC13_incidents,handover,B_intake_g,logit,31,3
BPIC14,duration,B_half,hgb,31,2
BPIC14,duration,B_half,logit,31,1
BPIC14,duration,B_intake,hgb,31,2
BPIC14,duration,B_intake,logit,31,1
BPIC14,duration,B_intake_g,hgb,31,4
BPIC14,duration,B_intake_g,logit,31,1
BPIC14,duration,B_intake_g_km,hgb,31,16
BPIC14,duration,B_intake_g_km,logit,31,10
BPIC14,handover,B_half,hgb,31,2
BPIC14,handover,B_half,logit,31,0
BPIC14,handover,B_intake,hgb,31,2
BPIC14,handover,B_intake,logit,31,1
BPIC14,handover,B_intake_g,hgb,31,2
BPIC14,handover,B_intake_g,logit,31,4
BPIC14,handover,B_intake_g_km,hgb,31,13
BPIC14,handover,B_intake_g_km,logit,31,13
BPIC15_1,duration,B_half,hgb,31,12
BPIC15_1,duration,B_half,logit,31,6
BPIC15_1,duration,B_intake,hgb,31,14
BPIC15_1,duration,B_intake,logit,31,10
BPIC15_1,duration,B_intake_g,hgb,31,19
BPIC15_1,duration,B_intake_g,logit,31,6
BPIC15_1,handover,B_half,hgb,31,4
BPIC15_1,handover,B_half,logit,31,5
BPIC15_1,handover,B_intake,hgb,31,9
BPIC15_1,handover,B_intake,logit,31,18
BPIC15_1,handover,B_intake_g,hgb,31,3
BPIC15_1,handover,B_intake_g,logit,31,21
BPIC15_3,duration,B_half,hgb,31,10
BPIC15_3,duration,B_half,logit,31,8
BPIC15_3,duration,B_intake,hgb,31,10
BPIC15_3,duration,B_intake,logit,31,2
BPIC15_3,duration,B_intake_g,hgb,31,11
BPIC15_3,duration,B_intake_g,logit,31,4
BPIC15_3,handover,B_half,hgb,31,2
BPIC15_3,handover,B_half,logit,31,1
BPIC15_3,handover,B_intake,hgb,31,11
BPIC15_3,handover,B_intake,logit,31,13
BPIC15_3,handover,B_intake_g,hgb,31,12
BPIC15_3,handover,B_intake_g,logit,31,9
BPIC15_4,duration,B_half,hgb,31,8
BPIC15_4,duration,B_half,logit,31,6
BPIC15_4,duration,B_intake,hgb,31,21
BPIC15_4,duration,B_intake,logit,31,7
BPIC15_4,duration,B_intake_g,hgb,31,16
BPIC15_4,duration,B_intake_g,logit,31,8
BPIC15_4,handover,B_half,hgb,31,0
BPIC15_4,handover,B_half,logit,31,6
BPIC15_4,handover,B_intake,hgb,31,5
BPIC15_4,handover,B_intake,logit,31,4
BPIC15_4,handover,B_intake_g,hgb,31,11
BPIC15_4,handover,B_intake_g,logit,31,13
BPIC15_5,duration,B_half,hgb,31,11
BPIC15_5,duration,B_half,logit,31,9
BPIC15_5,duration,B_intake,hgb,31,18
BPIC15_5,duration,B_intake,logit,31,18
BPIC15_5,duration,B_intake_g,hgb,31,20
BPIC15_5,duration,B_intake_g,logit,31,18
BPIC17,duration,B_half,hgb,31,6
BPIC17,duration,B_half,logit,31,3
BPIC17,duration,B_intake,hgb,31,10
BPIC17,duration,B_intake,logit,31,6
BPIC17,duration,B_intake_g,hgb,31,13
BPIC17,duration,B_intake_g,logit,31,13
BPIC19,duration,B_half,hgb,31,0
BPIC19,duration,B_half,logit,31,0
BPIC19,duration,B_intake,hgb,31,3
BPIC19,duration,B_intake,logit,31,3
BPIC19,duration,B_intake_g,hgb,31,3
BPIC19,duration,B_intake_g,logit,31,4
Helpdesk,duration,B_half,hgb,31,10
Helpdesk,duration,B_half,logit,31,10
Helpdesk,duration,B_intake,hgb,31,10
Helpdesk,duration,B_intake,logit,31,10
Helpdesk,duration,B_intake_g,hgb,31,12
Helpdesk,duration,B_intake_g,logit,31,7
RoadFines,duration,B_half,hgb,31,4
RoadFines,duration,B_half,logit,31,3
RoadFines,duration,B_intake,hgb,31,14
RoadFines,duration,B_intake,logit,31,6
RoadFines,duration,B_intake_g,hgb,31,17
RoadFines,duration,B_intake_g,logit,31,7
Sepsis,duration,B_half,hgb,31,2
Sepsis,duration,B_half,logit,31,4
Sepsis,duration,B_intake,hgb,31,4
Sepsis,duration,B_intake,logit,31,2
Sepsis,duration,B_intake_g,hgb,31,2
Sepsis,duration,B_intake_g,logit,31,2
UCI498,duration,B_half,hgb,31,7
UCI498,duration,B_half,logit,31,6
UCI498,duration,B_intake,hgb,31,14
UCI498,duration,B_intake,logit,31,14
UCI498,duration,B_intake_g,hgb,31,20
UCI498,duration,B_intake_g,logit,31,16
UCI498,handover,B_half,hgb,31,8
UCI498,handover,B_half,logit,31,17
UCI498,handover,B_intake,hgb,31,7
UCI498,handover,B_intake,logit,31,8
UCI498,handover,B_intake_g,hgb,31,15
UCI498,handover,B_intake_g,logit,31,11
