target,learner,mechanism,meaning,metric,n_levels,n_seeds,integral_fine,integral_coarse,grid_shift,V_at_clean,V_at_half,V_at_empty,seed_sd_median,seed_sd_max,n_sign_changes
handover,hgb,content,discovery: coverage depends on the item's type,ap,11,20,0.009617239898207319,0.008108121521210434,0.0015091183769968854,0.015235582927753321,0.011108187059534768,0.00012967090427529193,0.0032040016693830734,0.0040493708156408535,0
handover,hgb,content,discovery: coverage depends on the item's type,auc,11,20,0.07645773155432299,0.06422968043225556,0.01222805112206743,0.12289131547566368,0.08774511392156988,0.000244580506894021,0.02622754033871791,0.031183602521461518,0
handover,hgb,content,discovery: coverage depends on the item's type,brier_skill,11,20,0.10052713687382671,0.08229204810433942,0.01823508876948729,0.17128585363869892,0.11082932368409079,0.00047085374031763383,0.042985282124096705,0.05355567024996862,0
handover,hgb,content,discovery: coverage depends on the item's type,logloss_skill,11,20,0.11622750315332145,0.09575800557141072,0.02046949758191073,0.1977060306890225,0.1280232853923727,1.5588209387518148e-05,0.04807579648695052,0.05786078245207275,0
handover,hgb,content,discovery: coverage depends on the item's type,nagelkerke,11,20,0.13030441288666303,0.10763042153988295,0.02267399134678008,0.21964669727018676,0.144128900439134,1.811614805791173e-05,0.051750893672071044,0.06305077386366498,0
handover,hgb,corrupt,accuracy: a share of rows carry the wrong identity,ap,11,20,0.011926132200232946,0.012931945417238841,0.0010058132170058954,0.006997307756839816,0.01198427800604221,0.017903744877079464,0.0008715218024150703,0.0010826668654513032,0
handover,hgb,corrupt,accuracy: a share of rows carry the wrong identity,auc,11,20,0.08988464030959392,0.09899778482269296,0.009113144513099039,0.04543387900337598,0.09099333765069954,0.14255615868730986,0.005762451683367195,0.006820193788361977,0
handover,hgb,corrupt,accuracy: a share of rows carry the wrong identity,brier_skill,11,20,0.11890797998015236,0.13255894406699745,0.013650964086845088,0.0598047802300256,0.11679346318797115,0.19927539652268367,0.0073195627588565045,0.011046382099157322,0
handover,hgb,corrupt,accuracy: a share of rows carry the wrong identity,logloss_skill,11,20,0.1346429674785775,0.150855039811343,0.016212072332765476,0.06657952574406731,0.13242582087659074,0.23270005897657828,0.007233244734662591,0.00876893925409432,0
handover,hgb,corrupt,accuracy: a share of rows carry the wrong identity,nagelkerke,11,20,0.15144332954565515,0.1690207238567612,0.017577394311106054,0.07625633204244396,0.14953509911277296,0.25719226108823456,0.008145606322452939,0.009819992703460333,0
handover,hgb,duplicate,reconciliation: one item exists under two keys,ap,11,20,0.01711081558349424,0.017266140276342632,0.0001553246928483916,0.016629088329922447,0.017165883771032973,0.017881445814334616,0.0004858575132018636,0.0006453300665668115,0
handover,hgb,duplicate,reconciliation: one item exists under two keys,auc,11,20,0.1384567313277205,0.13980885517258138,0.0013521238448608863,0.13493643376333142,0.13858060182214457,0.14238189013712305,0.003113692390018145,0.003896902899648074,0
