metric,psi,m_a,m_b,m_c,mpsi_a,mpsi_b,mpsi_c,ratio,ratio_psi,ratio_gap,R,R_psi,R_shift,rep,prevalence,n
brier_skill,square,0.05535009552087056,0.5252937187826507,0.2143854635006216,0.12281883899260582,0.5257490538953041,0.21925275532138278,2.9549629697566084,4.17830396443683,1.2233409946802212,-1.9549629697566084,-3.1783039644368296,1.2233409946802212,339,0.3525,400
brier_skill,sqrt,-7.704795806806608e-05,0.4577106254943303,0.15686385426514426,-0.3541805984750086,0.08783315444408801,-0.2398432028386681,2.9169430465061343,3.8658721449713425,0.9489290984652081,-1.9169430465061343,-2.8658721449713425,0.9489290984652081,67,0.3525,400
brier_skill,logit-shift,0.06450949973825504,0.5208129039317817,0.22192480706896134,-0.2945542768070588,0.2144369066571955,-0.18941723545405487,2.8987232050749716,4.841216539043416,1.9424933339684447,-1.8987232050749716,-3.8412165390434163,1.9424933339684447,308,0.3525,400
brier_skill,logit-scale,0.005885782495927416,0.4513198555910217,0.17796851322375384,-0.06812203688216956,0.5048952454455657,0.17937505529398046,2.58848793955747,2.315248544091598,0.27323939546587184,-1.5884879395574698,-1.315248544091598,0.27323939546587184,177,0.3425,400
brier_skill,beta-cdf,0.009254253637356435,0.5437924560778676,0.1873110741692533,-0.15185232069947507,0.6397511489620877,0.06648785855181827,3.0020653005244173,3.625551066120936,0.6234857655965187,-2.0020653005244173,-2.625551066120936,0.6234857655965187,323,0.35,400
brier_skill,affine,0.06833424889955508,0.549935035452058,0.1737195485601708,0.05722490720267159,0.38140170115392225,0.13228555071458492,4.569904797950538,4.318865104051481,0.2510396938990569,-3.569904797950538,-3.318865104051481,0.2510396938990569,33,0.3625,400
nagelkerke,square,0.09191325883260106,0.5997899196085977,0.28781372887591894,-0.05221811355787546,0.5927605979530371,0.3082193574441605,2.592523951901157,1.7894330179318934,0.8030909339692636,-1.592523951901157,-0.7894330179318934,0.8030909339692636,353,0.38,400
nagelkerke,sqrt,-0.029171762766600117,0.6143141866265823,0.2603985895298871,-0.659643573542006,0.2617110522656384,-0.35605971390114644,2.2222093673952017,3.034926253647375,0.8127168862521734,-1.2222093673952017,-2.034926253647375,0.8127168862521734,399,0.3425,400
nagelkerke,logit-shift,0.12457000414006256,0.6027193524579473,0.2993951650304639,-0.47920617496547274,0.34205506355926035,-0.23340201848443612,2.7350144903778393,3.3411202246618315,0.6061057342839922,-1.7350144903778393,-2.3411202246618315,0.6061057342839922,119,0.365,400
nagelkerke,logit-scale,0.11035524414439951,0.6444646517874493,0.3423868432508005,-0.0458046377765397,0.7286490508958634,0.34826908894850556,2.301882199234972,1.9652507542395947,0.33663144499537734,-1.301882199234972,-0.9652507542395947,0.33663144499537734,372,0.4025,400
nagelkerke,beta-cdf,0.18800762337879082,0.5416261262839334,0.28461297816499154,-0.33392963611060483,0.5635777495169879,-0.036174111849968195,3.660444120180945,3.014242600053226,0.6462015201277187,-2.660444120180945,-2.014242600053226,0.6462015201277187,326,0.3625,400
nagelkerke,affine,-0.013936448367714176,0.5528330395701544,0.15145180488034177,-0.028117862782590597,0.3431120538034246,0.06871497884538902,3.4269029196880436,3.83371912199207,0.4068162023040265,-2.4269029196880436,-2.83371912199207,0.4068162023040265,158,0.3025,400
logloss_skill,square,0.0014771240735711455,0.44937071036284637,0.13115885396591476,0.05097065674148138,0.5131904848259632,0.1558660889497837,3.453790959305508,4.406481944481637,0.9526909851761292,-2.453790959305508,-3.406481944481637,0.9526909851761292,395,0.3075,400
logloss_skill,sqrt,0.027792911844192303,0.42480514625023946,0.18667934211926718,-0.3058501710686081,0.11716014933303509,-0.17055026819480457,2.4987170629909228,3.1264643315833855,0.6277472685924628,-1.4987170629909228,-2.1264643315833855,0.6277472685924628,207,0.34,400
logloss_skill,logit-shift,-0.006863812889067011,0.3620461345440297,0.12268114654189255,-0.3816100209105735,0.08000476200516748,-0.25271003319791396,2.8477367938789286,3.581185623886641,0.7334488300077124,-1.8477367938789286,-2.581185623886641,0.7334488300077124,313,0.34,400
logloss_skill,logit-scale,0.0391042025579903,0.4183147479819491,0.19860751743476157,-0.05433147863681498,0.4898746135856219,0.20527965665176828,2.377446172306378,2.0962355548328016,0.28121061747357645,-1.377446172306378,-1.0962355548328016,0.28121061747357645,309,0.3725,400
logloss_skill,beta-cdf,0.03899435183844091,0.41071762264562484,0.17615027234458858,-0.42377784737772384,0.44546045805746326,-0.033448216200969494,2.7102240241282356,2.226933945072612,0.4832900790556236,-1.7102240241282356,-1.226933945072612,0.4832900790556236,177,0.3925,400
logloss_skill,affine,0.013186135639752461,0.4611349581374189,0.1550497397220243,0.014961799166148482,0.2842930604164632,0.09421580781213668,3.1576021587459793,3.3983298239633983,0.24072766521741906,-2.1576021587459793,-2.3983298239633983,0.24072766521741906,398,0.345,400
