rep,psi,metric,R,R_psi,abs_shift
0,square,auc,-1.0137520906894624,-1.0137520906894624,0.0
0,square,ap,-1.1030325441728408,-1.1030325441728408,0.0
0,sqrt,auc,-1.0137520906894624,-1.0137520906894624,0.0
0,sqrt,ap,-1.1030325441728408,-1.1030325441728408,0.0
0,logit-shift,auc,-1.0137520906894624,-1.0137520906894624,0.0
0,logit-shift,ap,-1.1030325441728408,-1.1030325441728408,0.0
0,logit-scale,auc,-1.0137520906894624,-1.0137520906894624,0.0
0,logit-scale,ap,-1.1030325441728408,-1.1030325441728408,0.0
0,beta-cdf,auc,-1.0137520906894624,-1.0137520906894624,0.0
0,beta-cdf,ap,-1.1030325441728408,-1.1030325441728408,0.0
0,affine,auc,-1.0137520906894624,-1.0137520906894624,0.0
0,affine,ap,-1.1030325441728408,-1.1030325441728408,0.0
1,square,auc,-0.7707326502996323,-0.7707326502996323,0.0
1,square,ap,-0.8325092215151648,-0.8325092215151648,0.0
1,sqrt,auc,-0.7707326502996323,-0.7707326502996323,0.0
1,sqrt,ap,-0.8325092215151648,-0.8325092215151648,0.0
1,logit-shift,auc,-0.7707326502996323,-0.7707326502996323,0.0
1,logit-shift,ap,-0.8325092215151648,-0.8325092215151648,0.0
1,logit-scale,auc,-0.7707326502996323,-0.7707326502996323,0.0
1,logit-scale,ap,-0.8325092215151648,-0.8325092215151648,0.0
1,beta-cdf,auc,-0.7707326502996323,-0.7707326502996323,0.0
1,beta-cdf,ap,-0.8325092215151648,-0.8325092215151648,0.0
1,affine,auc,-0.7707326502996323,-0.7707326502996323,0.0
1,affine,ap,-0.8325092215151648,-0.8325092215151648,0.0
2,square,auc,-0.7392807745504837,-0.7392807745504837,0.0
2,square,ap,-0.9230404011900162,-0.9230404011900162,0.0
2,sqrt,auc,-0.7392807745504837,-0.7392807745504837,0.0
2,sqrt,ap,-0.9230404011900162,-0.9230404011900162,0.0
2,logit-shift,auc,-0.7392807745504837,-0.7392807745504837,0.0
2,logit-shift,ap,-0.9230404011900162,-0.9230404011900162,0.0
2,logit-scale,auc,-0.7392807745504837,-0.7392807745504837,0.0
2,logit-scale,ap,-0.9230404011900162,-0.9230404011900162,0.0
2,beta-cdf,auc,-0.7392807745504837,-0.7392807745504837,0.0
2,beta-cdf,ap,-0.9230404011900162,-0.9230404011900162,0.0
2,affine,auc,-0.7392807745504837,-0.7392807745504837,0.0
2,affine,ap,-0.9230404011900162,-0.9230404011900162,0.0
3,square,auc,-0.46238269444886293,-0.46238269444886293,0.0
3,square,ap,-0.5890264561019309,-0.5890264561019309,0.0
3,sqrt,auc,-0.46238269444886293,-0.46238269444886293,0.0
3,sqrt,ap,-0.5890264561019309,-0.5890264561019309,0.0
3,logit-shift,auc,-0.46238269444886293,-0.46238269444886293,0.0
3,logit-shift,ap,-0.5890264561019309,-0.5890264561019309,0.0
3,logit-scale,auc,-0.46238269444886293,-0.46238269444886293,0.0
3,logit-scale,ap,-0.5890264561019309,-0.5890264561019309,0.0
3,beta-cdf,auc,-0.46238269444886293,-0.46238269444886293,0.0
3,beta-cdf,ap,-0.5890264561019309,-0.5890264561019309,0.0
3,affine,auc,-0.46238269444886293,-0.46238269444886293,0.0
3,affine,ap,-0.5890264561019309,-0.5890264561019309,0.0
4,square,auc,-0.4018049568965518,-0.4018049568965518,0.0
4,square,ap,-0.3969641474507468,-0.3969641474507468,0.0
4,sqrt,auc,-0.4018049568965518,-0.4018049568965518,0.0
4,sqrt,ap,-0.3969641474507468,-0.3969641474507468,0.0
4,logit-shift,auc,-0.4018049568965518,-0.4018049568965518,0.0
4,logit-shift,ap,-0.3969641474507468,-0.3969641474507468,0.0
4,logit-scale,auc,-0.4018049568965518,-0.4018049568965518,0.0
4,logit-scale,ap,-0.3969641474507468,-0.3969641474507468,0.0
4,beta-cdf,auc,-0.4018049568965518,-0.4018049568965518,0.0
4,beta-cdf,ap,-0.3969641474507468,-0.3969641474507468,0.0
4,affine,auc,-0.4018049568965518,-0.4018049568965518,0.0
4,affine,ap,-0.3969641474507468,-0.3969641474507468,0.0
5,square,auc,-1.1351468048359261,-1.1351468048359261,0.0
5,square,ap,-1.513328601557213,-1.513328601557213,0.0
5,sqrt,auc,-1.1351468048359261,-1.1351468048359261,0.0
5,sqrt,ap,-1.513328601557213,-1.513328601557213,0.0
5,logit-shift,auc,-1.1351468048359261,-1.1351468048359261,0.0
5,logit-shift,ap,-1.513328601557213,-1.513328601557213,0.0
5,logit-scale,auc,-1.1351468048359261,-1.1351468048359261,0.0
5,logit-scale,ap,-1.513328601557213,-1.513328601557213,0.0
5,beta-cdf,auc,-1.1351468048359261,-1.1351468048359261,0.0
5,beta-cdf,ap,-1.513328601557213,-1.513328601557213,0.0
5,affine,auc,-1.1351468048359261,-1.1351468048359261,0.0
5,affine,ap,-1.513328601557213,-1.513328601557213,0.0
6,square,auc,-0.458644743398106,-0.458644743398106,0.0
6,square,ap,-0.5970329030273189,-0.5970329030273189,0.0
6,sqrt,auc,-0.458644743398106,-0.458644743398106,0.0
6,sqrt,ap,-0.5970329030273189,-0.5970329030273189,0.0
6,logit-shift,auc,-0.458644743398106,-0.458644743398106,0.0
6,logit-shift,ap,-0.5970329030273189,-0.5970329030273189,0.0
6,logit-scale,auc,-0.458644743398106,-0.458644743398106,0.0
6,logit-scale,ap,-0.5970329030273189,-0.5970329030273189,0.0
6,beta-cdf,auc,-0.458644743398106,-0.458644743398106,0.0
6,beta-cdf,ap,-0.5970329030273189,-0.5970329030273189,0.0
6,affine,auc,-0.458644743398106,-0.458644743398106,0.0
6,affine,ap,-0.5970329030273189,-0.5970329030273189,0.0
7,square,auc,-0.508655332302937,-0.508655332302937,0.0
7,square,ap,-0.6019749891109865,-0.6019749891109865,0.0
7,sqrt,auc,-0.508655332302937,-0.508655332302937,0.0
7,sqrt,ap,-0.6019749891109865,-0.6019749891109865,0.0
7,logit-shift,auc,-0.508655332302937,-0.508655332302937,0.0
7,logit-shift,ap,-0.6019749891109865,-0.6019749891109865,0.0
7,logit-scale,auc,-0.508655332302937,-0.508655332302937,0.0
7,logit-scale,ap,-0.6019749891109865,-0.6019749891109865,0.0
7,beta-cdf,auc,-0.508655332302937,-0.508655332302937,0.0
7,beta-cdf,ap,-0.6019749891109865,-0.6019749891109865,0.0
7,affine,auc,-0.508655332302937,-0.508655332302937,0.0
7,affine,ap,-0.6019749891109865,-0.6019749891109865,0.0
8,square,auc,-0.5378394873359771,-0.5378394873359771,0.0
8,square,ap,-0.5037943608440669,-0.5037943608440669,0.0
8,sqrt,auc,-0.5378394873359771,-0.5378394873359771,0.0
8,sqrt,ap,-0.5037943608440669,-0.5037943608440669,0.0
8,logit-shift,auc,-0.5378394873359771,-0.5378394873359771,0.0
8,logit-shift,ap,-0.5037943608440669,-0.5037943608440669,0.0
8,logit-scale,auc,-0.5378394873359771,-0.5378394873359771,0.0
8,logit-scale,ap,-0.5037943608440669,-0.5037943608440669,0.0
8,beta-cdf,auc,-0.5378394873359771,-0.5378394873359771,0.0
8,beta-cdf,ap,-0.5037943608440669,-0.5037943608440669,0.0
8,affine,auc,-0.5378394873359771,-0.5378394873359771,0.0
8,affine,ap,-0.5037943608440669,-0.5037943608440669,0.0
9,square,auc,-1.1568627450980409,-1.1568627450980409,0.0
9,square,ap,-1.1803172900711028,-1.1803172900711028,0.0
9,sqrt,auc,-1.1568627450980409,-1.1568627450980409,0.0
9,sqrt,ap,-1.1803172900711028,-1.1803172900711028,0.0
9,logit-shift,auc,-1.1568627450980409,-1.1568627450980409,0.0
9,logit-shift,ap,-1.1803172900711028,-1.1803172900711028,0.0
9,logit-scale,auc,-1.1568627450980409,-1.1568627450980409,0.0
9,logit-scale,ap,-1.1803172900711028,-1.1803172900711028,0.0
9,beta-cdf,auc,-1.1568627450980409,-1.1568627450980409,0.0
9,beta-cdf,ap,-1.1803172900711028,-1.1803172900711028,0.0
9,affine,auc,-1.1568627450980409,-1.1568627450980409,0.0
9,affine,ap,-1.1803172900711028,-1.1803172900711028,0.0
10,square,auc,-0.4524700598802398,-0.4524700598802398,0.0
10,square,ap,-0.49324047072258814,-0.49324047072258814,0.0
10,sqrt,auc,-0.4524700598802398,-0.4524700598802398,0.0
10,sqrt,ap,-0.49324047072258814,-0.49324047072258814,0.0
10,logit-shift,auc,-0.4524700598802398,-0.4524700598802398,0.0
10,logit-shift,ap,-0.49324047072258814,-0.49324047072258814,0.0
10,logit-scale,auc,-0.4524700598802398,-0.4524700598802398,0.0
10,logit-scale,ap,-0.49324047072258814,-0.49324047072258814,0.0
10,beta-cdf,auc,-0.4524700598802398,-0.4524700598802398,0.0
10,beta-cdf,ap,-0.49324047072258814,-0.49324047072258814,0.0
10,affine,auc,-0.4524700598802398,-0.4524700598802398,0.0
10,affine,ap,-0.49324047072258814,-0.49324047072258814,0.0
11,square,auc,-0.39508552156107,-0.39508552156107,0.0
11,square,ap,-0.4303031925699825,-0.4303031925699825,0.0
11,sqrt,auc,-0.39508552156107,-0.39508552156107,0.0
11,sqrt,ap,-0.4303031925699825,-0.4303031925699825,0.0
11,logit-shift,auc,-0.39508552156107,-0.39508552156107,0.0
11,logit-shift,ap,-0.4303031925699825,-0.4303031925699825,0.0
11,logit-scale,auc,-0.39508552156107,-0.39508552156107,0.0
11,logit-scale,ap,-0.4303031925699825,-0.4303031925699825,0.0
11,beta-cdf,auc,-0.39508552156107,-0.39508552156107,0.0
11,beta-cdf,ap,-0.4303031925699825,-0.4303031925699825,0.0
11,affine,auc,-0.39508552156107,-0.39508552156107,0.0
11,affine,ap,-0.4303031925699825,-0.4303031925699825,0.0
12,square,auc,-0.4044138721696755,-0.4044138721696755,0.0
12,square,ap,-0.30055086910014284,-0.30055086910014284,0.0
12,sqrt,auc,-0.4044138721696755,-0.4044138721696755,0.0
12,sqrt,ap,-0.30055086910014284,-0.30055086910014284,0.0
12,logit-shift,auc,-0.4044138721696755,-0.4044138721696755,0.0
12,logit-shift,ap,-0.30055086910014284,-0.30055086910014284,0.0
12,logit-scale,auc,-0.4044138721696755,-0.4044138721696755,0.0
12,logit-scale,ap,-0.30055086910014284,-0.30055086910014284,0.0
12,beta-cdf,auc,-0.4044138721696755,-0.4044138721696755,0.0
12,beta-cdf,ap,-0.30055086910014284,-0.30055086910014284,0.0
12,affine,auc,-0.4044138721696755,-0.4044138721696755,0.0
12,affine,ap,-0.30055086910014284,-0.30055086910014284,0.0
13,square,auc,-0.656644394951744,-0.656644394951744,0.0
13,square,ap,-0.6994040035452509,-0.6994040035452509,0.0
13,sqrt,auc,-0.656644394951744,-0.656644394951744,0.0
13,sqrt,ap,-0.6994040035452509,-0.6994040035452509,0.0
13,logit-shift,auc,-0.656644394951744,-0.656644394951744,0.0
13,logit-shift,ap,-0.6994040035452509,-0.6994040035452509,0.0
13,logit-scale,auc,-0.656644394951744,-0.656644394951744,0.0
13,logit-scale,ap,-0.6994040035452509,-0.6994040035452509,0.0
13,beta-cdf,auc,-0.656644394951744,-0.656644394951744,0.0
13,beta-cdf,ap,-0.6994040035452509,-0.6994040035452509,0.0
13,affine,auc,-0.656644394951744,-0.656644394951744,0.0
13,affine,ap,-0.6994040035452509,-0.6994040035452509,0.0
14,square,auc,-1.076216329087492,-1.076216329087492,0.0
14,square,ap,-1.0543107132944316,-1.0543107132944316,0.0
14,sqrt,auc,-1.076216329087492,-1.076216329087492,0.0
14,sqrt,ap,-1.0543107132944316,-1.0543107132944316,0.0
14,logit-shift,auc,-1.076216329087492,-1.076216329087492,0.0
14,logit-shift,ap,-1.0543107132944316,-1.0543107132944316,0.0
14,logit-scale,auc,-1.076216329087492,-1.076216329087492,0.0
14,logit-scale,ap,-1.0543107132944316,-1.0543107132944316,0.0
14,beta-cdf,auc,-1.076216329087492,-1.076216329087492,0.0
14,beta-cdf,ap,-1.0543107132944316,-1.0543107132944316,0.0
14,affine,auc,-1.076216329087492,-1.076216329087492,0.0
14,affine,ap,-1.0543107132944316,-1.0543107132944316,0.0
15,square,auc,-0.24816240812040635,-0.24816240812040635,0.0
15,square,ap,-0.25178303170370575,-0.25178303170370575,0.0
15,sqrt,auc,-0.24816240812040635,-0.24816240812040635,0.0
15,sqrt,ap,-0.25178303170370575,-0.25178303170370575,0.0
15,logit-shift,auc,-0.24816240812040635,-0.24816240812040635,0.0
15,logit-shift,ap,-0.25178303170370575,-0.25178303170370575,0.0
15,logit-scale,auc,-0.24816240812040635,-0.24816240812040635,0.0
15,logit-scale,ap,-0.25178303170370575,-0.25178303170370575,0.0
15,beta-cdf,auc,-0.24816240812040635,-0.24816240812040635,0.0
15,beta-cdf,ap,-0.25178303170370575,-0.25178303170370575,0.0
15,affine,auc,-0.24816240812040635,-0.24816240812040635,0.0
15,affine,ap,-0.25178303170370575,-0.25178303170370575,0.0
16,square,auc,-0.4840912392851955,-0.4840912392851955,0.0
16,square,ap,-0.5634264820471062,-0.5634264820471062,0.0
16,sqrt,auc,-0.4840912392851955,-0.4840912392851955,0.0
16,sqrt,ap,-0.5634264820471062,-0.5634264820471062,0.0
16,logit-shift,auc,-0.4840912392851955,-0.4840912392851955,0.0
16,logit-shift,ap,-0.5634264820471062,-0.5634264820471062,0.0
16,logit-scale,auc,-0.4840912392851955,-0.4840912392851955,0.0
16,logit-scale,ap,-0.5634264820471062,-0.5634264820471062,0.0
16,beta-cdf,auc,-0.4840912392851955,-0.4840912392851955,0.0
16,beta-cdf,ap,-0.5634264820471062,-0.5634264820471062,0.0
16,affine,auc,-0.4840912392851955,-0.4840912392851955,0.0
16,affine,ap,-0.5634264820471062,-0.5634264820471062,0.0
17,square,auc,-0.41433649289099517,-0.41433649289099517,0.0
17,square,ap,-0.5600828942721097,-0.5600828942721097,0.0
17,sqrt,auc,-0.41433649289099517,-0.41433649289099517,0.0
17,sqrt,ap,-0.5600828942721097,-0.5600828942721097,0.0
