rung,effect,value,share
B_intake,grand mean,0.22073678477207845,
B_intake,cohort,-0.00014372229768183642,3.821417915590651e-06
B_intake,target,0.07351931594845545,0.9999519857610898
B_intake,cohort x target,-0.0004887510985084886,4.419282099452025e-05
B_intake_g,grand mean,0.13479632459257346,
B_intake_g,cohort,0.0003869842869030915,3.7165756340487264e-05
B_intake_g,target,0.0634661774021289,0.9996339454083367
B_intake_g,cohort x target,0.0011511884114403514,0.0003288888353227367
B_intake_g_km,grand mean,0.00196600867382557,
B_intake_g_km,cohort,-9.487012691999919e-05,7.888637940474153e-05
B_intake_g_km,target,0.01064407101971876,0.9930213547336721
B_intake_g_km,cohort x target,0.0008872488126987488,0.006899758886923155
