ordering,cohort,target,rung,n,n_train,n_test,prevalence,V,se,lo,hi,p_one_sided,n_draws,resolved,runtime_s
identifier,reassignment,handover,B_intake,45455,31818,13637,0.9256407435925641,0.25781267944440134,0.012021246537067445,0.23193256810792195,0.2798060541555477,0.0024937655860349127,400,True,752.1
identifier,reassignment,reassignment,B_intake,45455,31818,13637,0.4004619953800462,0.1838046123974374,0.007726284087648207,0.17346641811072772,0.20386331794734705,0.0024937655860349127,400,True,996.5
identifier,registered,handover,B_intake,46606,32624,13982,0.9266403467364717,0.257180206048211,0.010915178732684527,0.2359839827752122,0.27805437323838034,0.0024937655860349127,400,True,712.3
identifier,registered,reassignment,B_intake,46606,32624,13982,0.4106123675063297,0.18414964119826405,0.007422710025584643,0.1761776670960805,0.2053462175160571,0.0024937655860349127,400,True,968.7
source_order,reassignment,handover,B_intake,45455,31818,13637,0.9256407435925641,0.25781267944440134,0.012021246537067445,0.23193256810792195,0.2798060541555477,0.0024937655860349127,400,True,851.1
source_order,reassignment,reassignment,B_intake,45455,31818,13637,0.4004619953800462,0.1838046123974374,0.007726284087648207,0.17346641811072772,0.20386331794734705,0.0024937655860349127,400,True,1058.3
source_order,registered,handover,B_intake,46606,32624,13982,0.9266403467364717,0.257180206048211,0.010915178732684527,0.2359839827752122,0.27805437323838034,0.0024937655860349127,400,True,868.5
source_order,registered,reassignment,B_intake,46606,32624,13982,0.4106123675063297,0.18414964119826405,0.007422710025584643,0.1761776670960805,0.2053462175160571,0.0024937655860349127,400,True,1140.0
identifier,reassignment,handover,B_intake_g,45455,31818,13637,0.9256407435925641,0.16576032694446619,0.016302493540578493,0.14529722105796383,0.20798708635527113,0.0024937655860349127,400,True,857.9
identifier,reassignment,reassignment,B_intake_g,45455,31818,13637,0.4004619953800462,0.10344533795377764,0.008910249082723833,0.09473342082754065,0.1274854338293377,0.0024937655860349127,400,True,1184.0
identifier,registered,handover,B_intake_g,46606,32624,13982,0.9266403467364717,0.16729849964280963,0.01558969694895559,0.14431515909699577,0.20475065251227595,0.0024937655860349127,400,True,585.4
identifier,registered,reassignment,B_intake_g,46606,32624,13982,0.4106123675063297,0.10268113382924038,0.0089364630107318,0.0963095780469785,0.12877957230186454,0.0024937655860349127,400,True,1090.1
source_order,reassignment,handover,B_intake_g,45455,31818,13637,0.9256407435925641,0.16576032694446619,0.016302493540578493,0.14529722105796383,0.20798708635527113,0.0024937655860349127,400,True,983.9
source_order,reassignment,reassignment,B_intake_g,45455,31818,13637,0.4004619953800462,0.10344533795377764,0.008910249082723833,0.09473342082754065,0.1274854338293377,0.0024937655860349127,400,True,1286.5
source_order,registered,handover,B_intake_g,46606,32624,13982,0.9266403467364717,0.16729849964280963,0.01558969694895559,0.14431515909699577,0.20475065251227595,0.0024937655860349127,400,True,959.1
source_order,registered,reassignment,B_intake_g,46606,32624,13982,0.4106123675063297,0.10268113382924038,0.0089364630107318,0.0963095780469785,0.12877957230186454,0.0024937655860349127,400,True,1377.6
identifier,reassignment,handover,B_intake_g_km,45455,31818,13637,0.9256407435925641,0.006891854840795575,0.003132187394296066,-0.0010505606210352656,0.010891809069672648,0.004987531172069825,400,False,965.1
identifier,reassignment,reassignment,B_intake_g_km,45455,31818,13637,0.4004619953800462,-0.0028649673662244357,0.0023791546475248637,-0.007304824566978724,0.0020329810950659,0.9152119700748129,400,False,1332.6
identifier,registered,handover,B_intake_g_km,46606,32624,13982,0.9266403467364717,0.0076842335265743245,0.0033567960829164576,-0.0016067450759496421,0.01217393002731389,0.0024937655860349127,400,False,650.1
identifier,registered,reassignment,B_intake_g_km,46606,32624,13982,0.4106123675063297,-0.0038470863058431837,0.0024304107679853633,-0.008983253920502967,0.0006879810459565899,0.942643391521197,400,False,1151.8
source_order,reassignment,handover,B_intake_g_km,45455,31818,13637,0.9256407435925641,0.006891854840795575,0.003132187394296066,-0.0010505606210352656,0.010891809069672648,0.004987531172069825,400,False,1146.5
source_order,reassignment,reassignment,B_intake_g_km,45455,31818,13637,0.4004619953800462,-0.0028649673662244357,0.0023791546475248637,-0.007304824566978724,0.0020329810950659,0.9152119700748129,400,False,1709.9
source_order,registered,handover,B_intake_g_km,46606,32624,13982,0.9266403467364717,0.0076842335265743245,0.0033567960829164576,-0.0016067450759496421,0.01217393002731389,0.0024937655860349127,400,False,1124.8
source_order,registered,reassignment,B_intake_g_km,46606,32624,13982,0.4106123675063297,-0.0038470863058431837,0.0024304107679853633,-0.008983253920502967,0.0006879810459565899,0.942643391521197,400,False,1747.8
