world,n_train,K,Kn,truth,n,c,c_lo,c_hi,coverage_nominal,coverage_nominal_se,median_r
linear,8000,20,0.0025,0.19186747891666978,500,1.1537955321053615,1.071576834018357,1.2880393852129148,0.916,0.012405160216619531,0.3650482864535452
linear,4000,20,0.005,0.19186747891666978,500,1.2189120534396094,1.1004375837444749,1.314458456602959,0.898,0.013534843922262271,0.37328414278336364
linear,2000,20,0.01,0.19186747891666978,500,1.1083144090493755,1.0220206151079907,1.2280060722120778,0.924,0.01185107590052481,0.34717341539307767
linear,8000,100,0.0125,0.09220249594291685,500,1.095740423947334,0.9598445940929502,1.2054812335822815,0.936,0.01094568408095172,0.38277281252869844
sparse,8000,100,0.0125,0.15970086207635825,500,1.3167229013445847,1.2211359264251127,1.4524791701603639,0.892,0.013880633991284403,0.42760625039199995
linear,4000,100,0.025,0.09220249594291685,500,1.1791606850897896,1.0870681442835062,1.2943420113810968,0.896,0.013651666564928987,0.4257884960992515
linear,8000,200,0.025,0.08327271903049949,499,1.093010547735005,0.9853624532737171,1.2637545740157534,0.9318637274549099,0.011280156278564598,0.4669067848080465
linear,4000,200,0.05,0.08327271903049949,500,1.195175001699079,1.1191480422648883,1.3367048689727852,0.888,0.014103616557464968,0.5253254748795982
linear,8000,400,0.05,0.12075797348108308,500,1.1520359917510932,1.1057677936145616,1.2263199033349361,0.884,0.014320893826853127,0.5584731392236189
linear,2000,100,0.05,0.09220249594291685,500,1.2342171353138511,1.0530649166477937,1.3264309324765593,0.912,0.012669333052690657,0.43235946507346557
sparse,4000,200,0.05,0.09121486402645917,500,1.1819754989185625,1.1306997796936504,1.3034488419718786,0.884,0.014320893826853127,0.5327158673421255
linear,4000,400,0.1,0.12075797348108308,499,1.2868517860446018,1.2254281021684297,1.4002581680762207,0.7955911823647295,0.01805279792281869,0.69736224350336
linear,2000,200,0.1,0.08327271903049949,500,1.316049874569494,1.2528899453818032,1.4187202283392972,0.844,0.01622738426241272,0.5792766445622695
sparse,2000,200,0.1,0.09121486402645917,500,1.3332651831731437,1.225138090199038,1.3715515865997667,0.836,0.0165592270351004,0.5964167861106411
linear,8000,1000,0.125,0.1310193371673286,496,1.5259723790390622,1.4182040394411732,1.595011529693085,0.655241935483871,0.021341120644836415,0.8723656700990328
linear,2000,400,0.2,0.12075797348108308,500,1.562156428405969,1.417796601457314,1.669633930220972,0.758,0.019153902996517445,0.7195858849291881
linear,4000,1000,0.25,0.1310193371673286,500,1.7388282501021386,1.6326441184038463,1.8069783367071612,0.52,0.022342784070030305,0.9765100465411932
sparse,4000,1000,0.25,0.0812642837398675,498,1.7161483488336953,1.6716726463586513,1.849985402228596,0.4598393574297189,0.022333144043509792,1.0355134479090982
linear,8000,3019,0.377375,0.10856726396823047,488,1.8803470763669365,1.804363575934616,1.979288076137527,0.305327868852459,0.02084794488802796,1.1939101182200984
linear,2000,1000,0.5,0.1310193371673286,500,1.8694411825732664,1.7888542884462817,2.023724634723061,0.462,0.022296008611408458,1.0532235847456826
