world,n_train,K,Kn,truth,n,n_offered,share_straddling,c,c_lo,c_hi,coverage_nominal,coverage_nominal_se,median_r,c_applied,c_loglinear,resid_log
linear,180000,200,0.0011111111111111111,0.08327271903049949,500,500,1.0,1.3524519991111532,1.1737229638979192,1.482283876863947,0.882,0.014427473791346842,0.40194314981100154,1.1767961008150138,1.0,0.4007696787297272
linear,8000,20,0.0025,0.19186747891666978,500,500,1.0,1.1537955321053615,1.0727612154584447,1.3072427672200175,0.916,0.012405160216619531,0.3650482864535452,1.1767961008150138,1.0,0.1590522542784163
linear,4000,20,0.005,0.19186747891666978,500,500,1.0,1.2189120534396094,1.1010847346719885,1.312643870504287,0.898,0.013534843922262271,0.37328414278336364,1.1767961008150138,1.0563563987567377,0.1431330742485882
linear,2000,20,0.01,0.19186747891666978,500,500,1.0,1.1083144090493755,1.0238029696020332,1.2280060722120778,0.924,0.01185107590052481,0.34717341539307767,1.1767961008150138,1.1338813136106662,-0.022806227357131933
linear,50000,625,0.0125,0.18870677802483016,498,500,0.996,1.2958200401873285,1.1352316020036883,1.688565385843868,0.9016064257028112,0.013346801343123224,0.4096569257439914,1.1767961008150138,1.1600298981426211,0.11069795136128424
linear,8000,100,0.0125,0.09220249594291685,500,500,1.0,1.095740423947334,0.9598445940929502,1.203159728019954,0.936,0.01094568408095172,0.38277281252869844,1.1767961008150138,1.1600298981426211,-0.05701545803618549
sparse,8000,100,0.0125,0.15970086207635825,500,500,1.0,1.3167229013445847,1.2204867837167372,1.4529392538940025,0.892,0.013880633991284403,0.42760625039199995,1.1767961008150138,1.1600298981426211,0.12670022016783983
linear,2000,25,0.0125,0.10870121426247925,500,500,1.0,1.1882330509901027,1.0719829414982591,1.276826851050089,0.908,0.012925633446759966,0.3899238000957199,1.1767961008150138,1.1600298981426211,0.024021593521551476
linear,750,10,0.013333333333333334,0.03325262123254291,500,500,1.0,1.1174180052708533,1.0290693574698824,1.2067186760918542,0.92,0.012132600710482479,0.32403857319130813,1.1767961008150138,1.1677045187552555,-0.04401920042909062
linear,4000,100,0.025,0.09220249594291685,500,500,1.0,1.1791606850897896,1.087008853658599,1.2960555176886968,0.896,0.013651666564928987,0.4257884960992515,1.1767961008150138,1.2451633049997777,-0.05446378841632557
linear,8000,200,0.025,0.08327271903049949,499,500,0.998,1.093010547735005,0.9849655656031391,1.2637545740157534,0.9318637274549099,0.011280156278564598,0.4669067848080465,1.1767961008150138,1.2451633049997777,-0.13033083058074002
sparse,4000,200,0.05,0.09121486402645917,500,500,1.0,1.1819754989185625,1.1306997796936504,1.2986093343052236,0.884,0.014320893826853127,0.5327158673421255,1.1767961008150138,1.3365445654464934,-0.12290041065788837
linear,2000,100,0.05,0.09220249594291685,500,500,1.0,1.2342171353138511,1.0550163500414584,1.3264309324765593,0.912,0.012669333052690657,0.43235946507346557,1.1767961008150138,1.3365445654464934,-0.079650730381637
linear,4000,200,0.05,0.08327271903049949,500,500,1.0,1.195175001699079,1.1190621984713836,1.337463656859715,0.888,0.014103616557464968,0.5253254748795982,1.1767961008150138,1.3365445654464934,-0.11179498133373375
linear,8000,400,0.05,0.12075797348108308,500,500,1.0,1.1520359917510932,1.1040370517760647,1.2255671618658555,0.884,0.014320893826853127,0.5584731392236273,1.1767961008150138,1.3365445654464934,-0.14855679630651983
linear,750,38,0.050666666666666665,0.11363611655957973,500,500,1.0,1.1032996840031324,0.9892731397942647,1.2588591126797726,0.926,0.011706750189527404,0.37093550927439467,1.1767961008150138,1.3383545413326008,-0.1931355028064201
sparse,2000,200,0.1,0.09121486402645917,500,500,1.0,1.3332651831731437,1.2240302820039282,1.3718446957892356,0.836,0.0165592270351004,0.5964167861106411,1.3095728446588017,1.4346322030626133,-0.07327755334864822
linear,500,50,0.1,0.19399037862361002,500,500,1.0,1.2501344721069396,1.1411673847879582,1.4604534729892253,0.874,0.01484075469779081,0.3899727205272563,1.3095728446588017,1.4346322030626133,-0.13765738866029523
linear,4000,400,0.1,0.12075797348108308,499,500,0.998,1.2868517860446018,1.2211745332385453,1.399245115500163,0.7955911823647295,0.01805279792281869,0.6973100206814637,1.3095728446588017,1.4346322030626133,-0.10870975225020313
linear,2000,200,0.1,0.08327271903049949,500,500,1.0,1.316049874569494,1.2534996513315952,1.4169598202397564,0.844,0.01622738426241272,0.5792766445622695,1.3095728446588017,1.4346322030626133,-0.08627378107996314
linear,8000,1000,0.125,0.1310193371673286,496,500,0.992,1.5259609440598831,1.4173681853988471,1.6004870443762909,0.655241935483871,0.021341120644836415,0.8723656700990357,1.441295192784353,1.4677164429947374,0.038916586053096114
linear,2000,250,0.125,0.1087550829724665,500,500,1.0,1.4042704301280522,1.2837554288262096,1.484680744007909,0.792,0.018151363585141474,0.6250025642869526,1.441295192784353,1.4677164429947374,-0.04418985170461032
linear,750,94,0.12533333333333332,0.12317138704747665,500,500,1.0,1.3100767205314952,1.1536756057295294,1.3955167860829933,0.872,0.014940950438308804,0.4831265416474646,1.441295192784353,1.4681158609733314,-0.11389415065731584
linear,2000,400,0.2,0.12075797348108308,500,500,1.0,1.5624477154625227,1.397954363737624,1.669633930220972,0.758,0.019153902996517445,0.7195858849291881,1.5624477154625227,1.5399183920041781,0.014524217148243146
sparse,4000,1000,0.25,0.08126432814947304,498,500,0.996,1.7161507345085252,1.6719127753388707,1.8489189788807423,0.4598393574297189,0.022333144043509792,1.0354907583762338,1.7274053969914112,1.5754306504410074,0.08555517407651858
linear,4000,1000,0.25,0.1310193371673286,500,500,1.0,1.7388282501021386,1.631788740305942,1.8052995771512246,0.52,0.022342784070030305,0.9765100465411932,1.7274053969914112,1.5754306504410074,0.09868280314198641
linear,8000,3019,0.377375,0.1085694673550387,488,500,0.976,1.880502641405303,1.8044866325805151,1.988486053571516,0.305327868852459,0.02084794488802796,1.1939967493492616,1.7907116019579388,1.6431272665554486,0.13493780763791746
linear,500,200,0.4,0.08327271903049949,500,500,1.0,1.4496881888873094,1.3532710160423373,1.6558129847561895,0.76,0.019099738218101316,0.6620077742974773,1.7907116019579388,1.6529314265847679,-0.13120184259772982
linear,2000,1000,0.5,0.1310193371673286,500,500,1.0,1.8694411825732664,1.787738240099423,2.023724634723061,0.462,0.022296008611408458,1.0532235847456826,1.8694411825732664,1.6910498933191245,0.10028997866203782
