log,target,cells,k_over_n,c,q,q_calibrated,beneficial,harmful,unresolved,rho,region,beneficial_cal,harmful_cal,unresolved_cal,rho_calibrated,region_calibrated,changed
BPIC13_closed,handover,180,0.32403846153846155,1.7670193775461926,4.208576706888257,7.436636592961094,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC13_incidents,duration,180,0.1331567996973709,1.456446340795589,4.1380089960182005,6.026788060429937,12,0,168,0.06666666666666667,conditionally beneficial,2,0,178,0.011111111111111112,conditionally beneficial,False
BPIC13_incidents,handover,180,0.1331567996973709,1.456446340795589,4.432862064108301,6.456225732522117,72,0,108,0.4,conditionally beneficial,49,0,131,0.2722222222222222,conditionally beneficial,False
BPIC14,duration,180,0.09253923491907798,1.293703825979587,3.7091000366837297,4.798476908398768,180,0,0,1.0,uniformly beneficial,180,0,0,1.0,uniformly beneficial,False
BPIC14,handover,180,0.09253923491907798,1.293703825979587,4.767840631001943,6.168173665988141,171,0,9,0.95,conditionally beneficial,152,0,28,0.8444444444444444,conditionally beneficial,False
BPIC15_1,duration,180,0.10607866507747318,1.3431886688688968,5.485471042895894,7.368022548226215,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC15_1,handover,180,0.10607866507747318,1.3431886688688968,6.083631594191884,8.171465022891361,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC15_3,duration,180,0.09533468559837728,1.2997719197174942,4.667006592701328,6.066044118329606,2,0,178,0.011111111111111112,conditionally beneficial,0,0,180,0.0,unresolved,True
BPIC15_3,handover,180,0.09533468559837728,1.2997719197174942,5.032447586235664,6.541034060039198,0,4,176,-0.022222222222222223,conditionally harmful,0,3,177,-0.016666666666666666,conditionally harmful,False
BPIC15_4,duration,180,0.07191316146540028,1.2434110014160398,5.846539281672141,7.26965126304217,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC15_4,handover,180,0.07191316146540028,1.2434110014160398,6.0683366349372765,7.545436532177,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC15_5,duration,180,0.13226205191594562,1.4547514406636208,5.777372798771968,8.404641402264335,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC17,duration,180,0.03178273485672833,1.1767961008150138,5.171793595818396,6.086146537779148,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
BPIC19,duration,180,0.01120802664956615,1.1767961008150138,5.807614029943655,6.834377545476262,10,71,99,-0.3388888888888889,sign-changing,8,60,112,-0.28888888888888886,sign-changing,False
Helpdesk,duration,180,0.12289457267623206,1.4308178560553253,3.93147566809165,5.625225586552572,0,2,178,-0.011111111111111112,conditionally harmful,0,0,180,0.0,unresolved,True
RoadFines,duration,180,0.0006270247674783154,1.1767961008150138,5.062666885439723,5.957726650510757,52,6,122,0.25555555555555554,sign-changing,46,6,128,0.2222222222222222,sign-changing,False
Sepsis,duration,180,0.2,1.5624477154625227,3.91149754754511,6.111510407199117,102,0,78,0.5666666666666667,conditionally beneficial,11,0,169,0.06111111111111111,conditionally beneficial,False
UCI498,duration,180,0.3007109276459122,1.7555175145219348,4.010217763910006,7.040007521591005,14,0,166,0.07777777777777778,conditionally beneficial,2,0,178,0.011111111111111112,conditionally beneficial,False
UCI498,handover,180,0.3007109276459122,1.7555175145219348,5.506257834465351,9.666332067877544,0,0,180,0.0,unresolved,0,0,180,0.0,unresolved,False
