log,target,analyst latitude,counterfactual,resampling,higher-order,scale
BPIC13_closed,handover,0.2225509158973325,0.0287939992471939,0.2029185675410047,0.5457365173144689,"raw, within instrument"
BPIC13_incidents,duration,0.11138736961342491,0.0291415981050881,0.3843879508043892,0.47508308147709777,"raw, within instrument"
BPIC13_incidents,handover,0.1738358177928412,0.098723146359999,0.1720278444781962,0.5554131913689636,"raw, within instrument"
BPIC14,duration,0.6059367593032055,0.1506457213026314,0.0126728022728497,0.2307447171213134,"raw, within instrument"
BPIC14,handover,0.6311768249751002,0.1265493066031927,0.0103523470806398,0.23192152134106736,"raw, within instrument"
BPIC15_1,duration,0.08447394658510199,0.0387737640162051,0.2634316490841704,0.6133206403145225,"raw, within instrument"
BPIC15_1,handover,0.10574690264662659,0.036247568078038,0.07868882585166,0.7793167034236754,"raw, within instrument"
BPIC15_3,duration,0.0372445392075196,0.081368579523763,0.2867646136692063,0.5946222675995111,"raw, within instrument"
BPIC15_3,handover,0.12846450297363696,0.003611092404342,0.189030487922911,0.67889391669911,"raw, within instrument"
BPIC15_4,duration,0.0832518491773321,0.0245998345298561,0.1114093623874765,0.7807389539053353,"raw, within instrument"
BPIC15_4,handover,0.08950956224462189,0.0313267346487126,0.0504135059536181,0.8287501971530474,"raw, within instrument"
BPIC15_5,duration,0.1568747978462224,0.0415531805303046,0.035671536111375,0.765900485512098,"raw, within instrument"
BPIC17,duration,0.0014045052411777597,0.0615667957689366,0.3461847673177833,0.5908439316721024,"raw, within instrument"
BPIC19,duration,0.0171670372618366,0.0105237930272859,0.4910630951607012,0.4812460745501763,"raw, within instrument"
Helpdesk,duration,0.2865871557982648,0.0858367299748545,0.222236841780664,0.4053392724462166,"raw, within instrument"
RoadFines,duration,0.0649397348911317,0.289050454447365,0.192191257989462,0.4538185526720413,"raw, within instrument"
Sepsis,duration,0.1266226686406087,0.1451438193612322,0.1343797966938033,0.5938537153043558,"raw, within instrument"
UCI498,duration,0.1069430076634527,0.0295661221571034,0.3987637606809402,0.4647271094985037,"raw, within instrument"
UCI498,handover,0.3958848579607022,0.0708826316317174,0.1355891433734773,0.3976433670341031,"raw, within instrument"
BPIC13_closed,handover,0.1918267619696396,0.0141619782997569,0.1106822831728128,0.6833289765577907,"headroom, instrument as an axis"
BPIC13_incidents,duration,0.10147917542922699,0.0111847840885041,0.1581073991838284,0.7292286412984406,"headroom, instrument as an axis"
BPIC13_incidents,handover,0.07991169360860531,0.0307052622433244,0.0944130856876403,0.79496995846043,"headroom, instrument as an axis"
BPIC14,duration,0.6411535849847166,0.1035009214783782,0.0084953584835013,0.24685013505340392,"headroom, instrument as an axis"
BPIC14,handover,0.61237902704973,0.0649344202846488,0.00699857274931,0.31568797991631115,"headroom, instrument as an axis"
BPIC15_1,duration,0.160077686258837,0.0053169527556734,0.1407178195791328,0.6938875414063568,"headroom, instrument as an axis"
BPIC15_1,handover,0.043491702385327104,0.0274392588994893,0.0603698100540133,0.8686992286611703,"headroom, instrument as an axis"
BPIC15_3,duration,0.1073241065091077,0.0677092951146137,0.1841655208986154,0.6408010774776632,"headroom, instrument as an axis"
BPIC15_3,handover,0.08843618540182621,0.0012200532284322,0.1246946744298346,0.785649086939907,"headroom, instrument as an axis"
BPIC15_4,duration,0.0617265247221883,0.0067232382337142,0.1560293775391056,0.7755208595049919,"headroom, instrument as an axis"
BPIC15_4,handover,0.0886250061943662,0.0383364367160966,0.016844495415575,0.8561940616739622,"headroom, instrument as an axis"
BPIC15_5,duration,0.2314540702257452,0.0201311116838199,0.0430188147181419,0.705396003372293,"headroom, instrument as an axis"
BPIC17,duration,0.4079743363145099,0.0458381216738367,0.0868302029361357,0.4593573390755177,"headroom, instrument as an axis"
BPIC19,duration,0.1654304010585673,0.0099923987504381,0.3738035241778747,0.4507736760131199,"headroom, instrument as an axis"
Helpdesk,duration,0.3555379868029561,0.065109417470181,0.1508661435946221,0.4284864521322408,"headroom, instrument as an axis"
RoadFines,duration,0.5335684364483634,0.0901691128340345,0.0160642137861228,0.36019823693147934,"headroom, instrument as an axis"
Sepsis,duration,0.36576947805147153,0.0751405400053899,0.0613115300490397,0.49777845189409886,"headroom, instrument as an axis"
UCI498,duration,0.3432405186020977,0.0079409898268409,0.1159750756109932,0.5328434159600682,"headroom, instrument as an axis"
UCI498,handover,0.4266088497551238,0.0251584163695141,0.0570525350120786,0.49118019886328346,"headroom, instrument as an axis"
