log,target,admitted,threshold,excess_one_number_per_1000,excess_majority_per_1000,excess_uniform_per_1000,share_positive
BPIC13_closed,handover,True,0.05,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.075,0.0,0.12092629542295001,0.12092629542295001,0.5
BPIC13_closed,handover,True,0.1,0.0,0.24857071836940003,0.24857071836940003,0.5
BPIC13_closed,handover,True,0.125,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.15,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.175,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.2,0.0,3.3557046979866,3.3557046979866,0.5
BPIC13_closed,handover,True,0.225,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.25,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.275,0.0,0.26999922857364994,0.26999922857364994,0.5
BPIC13_closed,handover,True,0.3,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.325,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.35,0.0,0.0,0.0,0.5
BPIC13_closed,handover,True,0.375,0.0,0.0,0.0,0.5
BPIC13_closed,handover,True,0.4,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.425,0.0,7.829977628635349,7.829977628635349,0.5
BPIC13_closed,handover,True,0.45,0.0,0.0,0.0,1.0
BPIC13_closed,handover,True,0.475,0.0,0.0,0.0,0.5
BPIC13_closed,handover,True,0.5,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.525,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.55,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.575,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.6,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.625,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.65,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.675,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.7,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.725,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.75,0.0,0.0,0.0,0.0
BPIC13_closed,handover,True,0.775,0.0,0.0,0.0,0.5
BPIC13_closed,handover,True,0.8,0.0,2.2371364653244004,2.2371364653244004,0.5
BPIC13_incidents,duration,True,0.05,0.0,0.0,0.0,0.0
BPIC13_incidents,duration,True,0.075,0.017882902752766668,0.017882902752766668,0.017882902752766668,0.16666666666666666
BPIC13_incidents,duration,True,0.1,0.0,0.0,0.7596922021271165,0.6666666666666666
BPIC13_incidents,duration,True,0.125,0.0,0.0,1.2813241750162656,0.8333333333333333
BPIC13_incidents,duration,True,0.15,0.0,0.0,2.33097208887965,0.8333333333333333
BPIC13_incidents,duration,True,0.175,0.0,0.0,4.774253340640616,0.8333333333333333
BPIC13_incidents,duration,True,0.2,0.0,0.0,8.767093074547814,0.8333333333333333
BPIC13_incidents,duration,True,0.225,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,duration,True,0.25,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,duration,True,0.275,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,duration,True,0.3,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,duration,True,0.325,0.0,0.0,0.0,0.9999999999999999
BPIC13_incidents,duration,True,0.35,0.0,0.0,43.64742741452051,0.6666666666666666
BPIC13_incidents,duration,True,0.375,0.0,0.0,64.5052198206146,0.8333333333333333
BPIC13_incidents,duration,True,0.4,39.01387050923885,39.01387050923885,39.01387050923885,0.5
BPIC13_incidents,duration,True,0.425,0.0,0.0,0.0,0.3333333333333333
BPIC13_incidents,duration,True,0.45,6.389434708799484,6.389434708799484,6.389434708799484,0.3333333333333333
BPIC13_incidents,duration,True,0.475,0.24506200068620185,0.24506200068620185,0.24506200068620185,0.3333333333333333
BPIC13_incidents,duration,True,0.5,14.997794441993836,14.997794441993836,14.997794441993836,0.3333333333333333
BPIC13_incidents,duration,True,0.525,0.0,0.0,0.0,0.0
BPIC13_incidents,duration,True,0.55,0.0,0.0,0.0,0.0
BPIC13_incidents,duration,True,0.575,0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,True,0.6,0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,True,0.625,0.0,0.0,0.0,0.3333333333333333
BPIC13_incidents,duration,True,0.65,19.913037998613685,19.913037998613685,0.0,0.6666666666666666
BPIC13_incidents,duration,True,0.675,0.0,0.0,4.122696888466618,0.6666666666666666
BPIC13_incidents,duration,True,0.7,0.0,0.0,13.747978238494333,0.6666666666666666
BPIC13_incidents,duration,True,0.725,0.0,3.595727900977133,3.595727900977133,0.5
BPIC13_incidents,duration,True,0.75,0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,True,0.775,0.0,0.0,0.0,0.16666666666666666
BPIC13_incidents,duration,True,0.8,0.0,0.0,0.0,0.16666666666666666
