log,target,learner,rung,slope_min,slope_max,n_arms,n_ok,admitted,reason
BPIC13_closed,handover,hgb,B_half,-0.4022408475514717,-0.1962860385306671,2,0,False,recalibrated slope below 0.5
BPIC13_closed,handover,hgb,B_intake,0.3253493276127545,0.9074171135068378,2,1,False,recalibrated slope below 0.5
BPIC13_closed,handover,hgb,B_intake_g,2.0147697645706977,2.5952906793854083,2,0,False,recalibrated slope above 2.0
BPIC13_closed,handover,logit,B_half,-0.2880415764281883,-0.2012455708781624,2,0,False,recalibrated slope below 0.5
BPIC13_closed,handover,logit,B_intake,0.8644030511593745,0.9885916610545138,2,2,True,
BPIC13_closed,handover,logit,B_intake_g,1.0422520811410745,1.1735042633617314,2,2,True,
BPIC13_incidents,duration,hgb,B_half,0.6654058055933287,0.9150900401955674,2,2,True,
BPIC13_incidents,duration,hgb,B_intake,0.9260876393397748,1.048708325426835,2,2,True,
BPIC13_incidents,duration,hgb,B_intake_g,0.9560205039787092,1.016224057269532,2,2,True,
BPIC13_incidents,duration,logit,B_half,0.6595432449242832,0.7175333462453155,2,2,True,
BPIC13_incidents,duration,logit,B_intake,0.8892112639578206,0.9639688345841998,2,2,True,
BPIC13_incidents,duration,logit,B_intake_g,0.8473099281239368,0.8685042651166103,2,2,True,
BPIC13_incidents,handover,hgb,B_half,1.048489247007722,1.3050498213653998,2,2,True,
BPIC13_incidents,handover,hgb,B_intake,1.1810110500416715,1.191752943256946,2,2,True,
BPIC13_incidents,handover,hgb,B_intake_g,1.069365103477803,1.1074561450405154,2,2,True,
BPIC13_incidents,handover,logit,B_half,0.9641512958387632,1.0486393075458504,2,2,True,
BPIC13_incidents,handover,logit,B_intake,0.9003692745392234,1.011765568611171,2,2,True,
BPIC13_incidents,handover,logit,B_intake_g,0.979519745422826,1.0151961744159017,2,2,True,
BPIC14,duration,hgb,B_half,1.032805394160287,1.0588159422390304,2,2,True,
BPIC14,duration,hgb,B_intake,1.0465104191396,1.0537718629553463,2,2,True,
BPIC14,duration,hgb,B_intake_g,1.0593176014459271,1.0704852091237471,2,2,True,
BPIC14,duration,hgb,B_intake_g_km,1.1417162695273773,1.149233004103784,2,2,True,
BPIC14,duration,logit,B_half,0.9942577744021116,1.0292472224713602,2,2,True,
BPIC14,duration,logit,B_intake,0.9966467596609356,1.0217812302641085,2,2,True,
BPIC14,duration,logit,B_intake_g,1.018453545020824,1.0222870847305716,2,2,True,
BPIC14,duration,logit,B_intake_g_km,1.084017718044051,1.1087057603567354,2,2,True,
BPIC14,handover,hgb,B_half,0.6763895516162699,1.0264656403179069,2,2,True,
BPIC14,handover,hgb,B_intake,0.6732792606357975,1.0232941639078323,2,2,True,
BPIC14,handover,hgb,B_intake_g,0.8564309828517513,0.995924912944402,2,2,True,
BPIC14,handover,hgb,B_intake_g_km,1.0524850779489208,1.0719616684972884,2,2,True,
BPIC14,handover,logit,B_half,0.724740849294556,0.9902121394511252,2,2,True,
BPIC14,handover,logit,B_intake,0.723854547725655,0.9930955539978842,2,2,True,
BPIC14,handover,logit,B_intake_g,0.8538724194618156,1.005007131835391,2,2,True,
BPIC14,handover,logit,B_intake_g_km,1.0358659438214708,1.0466737445632766,2,2,True,
