log,target,admitted,threshold_measure,rule,n_cells,adopts,loss_per_1000,excess_per_1000,rel_excess,share_positive,mean_dnb_per_1000
BPIC13_closed,handover,True,uniform over the declared range,one-number,62,False,1.396294097007492,0.0,0.0,0.19354838709677424,-6.461072298693832
BPIC13_closed,handover,True,uniform over the declared range,uniform-beneficial,62,False,1.396294097007492,0.0,0.0,0.19354838709677424,-6.461072298693832
BPIC13_closed,handover,True,uniform over the declared range,majority,62,False,1.396294097007492,0.0,0.0,0.19354838709677424,-6.461072298693832
BPIC13_closed,handover,True,uniform over the declared range,weighted-mean,62,False,1.396294097007492,0.0,0.0,0.19354838709677424,-6.461072298693832
BPIC13_closed,handover,True,desk distribution,one-number,62,False,0.8187643411886794,0.0,0.0,0.18434563301753062,-4.241471611159245
BPIC13_closed,handover,True,desk distribution,uniform-beneficial,62,False,0.8187643411886794,0.0,0.0,0.18434563301753062,-4.241471611159245
BPIC13_closed,handover,True,desk distribution,majority,62,False,0.8187643411886794,0.0,0.0,0.18434563301753062,-4.241471611159245
BPIC13_closed,handover,True,desk distribution,weighted-mean,62,False,0.8187643411886794,0.0,0.0,0.18434563301753062,-4.241471611159245
BPIC13_closed,handover,True,fixed 1:2,one-number,62,False,0.0,0.0,,0.0,-2.4857071836937004
BPIC13_closed,handover,True,fixed 1:2,uniform-beneficial,62,False,0.0,0.0,,0.0,-2.4857071836937004
BPIC13_closed,handover,True,fixed 1:2,majority,62,False,0.0,0.0,,0.0,-2.4857071836937004
BPIC13_closed,handover,True,fixed 1:2,weighted-mean,62,False,0.0,0.0,,0.0,-2.4857071836937004
BPIC13_closed,handover,True,fixed 1:4,one-number,62,False,4.1946308724831995,3.3557046979866,4.000000000000238,0.5,3.3557046979866
BPIC13_closed,handover,True,fixed 1:4,uniform-beneficial,62,False,4.1946308724831995,3.3557046979866,4.000000000000238,0.5,3.3557046979866
BPIC13_closed,handover,True,fixed 1:4,majority,62,False,4.1946308724831995,3.3557046979866,4.000000000000238,0.5,3.3557046979866
BPIC13_closed,handover,True,fixed 1:4,weighted-mean,62,True,0.8389261744966,0.0,0.0,0.5,3.3557046979866
BPIC13_closed,handover,True,fixed 1:9,one-number,62,False,0.37285607755405004,0.24857071836940003,2.0000000000008047,0.5,0.24857071836940003
BPIC13_closed,handover,True,fixed 1:9,uniform-beneficial,62,False,0.37285607755405004,0.24857071836940003,2.0000000000008047,0.5,0.24857071836940003
BPIC13_closed,handover,True,fixed 1:9,majority,62,False,0.37285607755405004,0.24857071836940003,2.0000000000008047,0.5,0.24857071836940003
BPIC13_closed,handover,True,fixed 1:9,weighted-mean,62,True,0.12428535918465,0.0,0.0,0.5,0.24857071836940003
BPIC13_closed,handover,True,fixed 1:19,one-number,62,False,0.0,0.0,,0.0,-0.11774402449075
BPIC13_closed,handover,True,fixed 1:19,uniform-beneficial,62,False,0.0,0.0,,0.0,-0.11774402449075
BPIC13_closed,handover,True,fixed 1:19,majority,62,False,0.0,0.0,,0.0,-0.11774402449075
