split,quality,level,rung,learner,metric,without_f,with_f,V,log,target,rank
rolling1,mask_rare,0.5,B_intake_g,logit_fr,auc,0.5656165381524932,0.5842290434392491,0.018612505286755843,BPIC14,duration,1
rolling1,mask_rare,0.5,B_half,logit_fr,auc,0.5295346474350293,0.5635591307566605,0.034024483321631216,BPIC14,duration,2
rolling1,mask_rare,0.5,B_intake,logit_fr,auc,0.5217435841877216,0.5638091448199517,0.0420655606322301,BPIC14,duration,3
rolling1,clean,1.0,B_intake_g,logit_fr,auc,0.5656165381524932,0.6201921774766497,0.05457563932415643,BPIC14,duration,4
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.6536572543316673,0.7134113099417397,0.05975405561007241,BPIC14,duration,5
holdout70,mask_rare,0.5,B_intake_g,logit_fr,auc,0.54267209149709,0.6041387652559238,0.061466673758833856,BPIC14,duration,6
holdout70,mask_rare,0.5,B_half,logit_fr,auc,0.522036594905904,0.5866471993449006,0.06461060443899658,BPIC14,duration,7
holdout70,mask_rare,0.5,B_intake,logit_fr,auc,0.5219469828869842,0.5869610390431718,0.0650140561561876,BPIC14,duration,8
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.648973403130198,0.7188959618576916,0.06992255872749353,BPIC14,duration,9
rolling1,clean,1.0,B_half,logit_fr,auc,0.5295346474350293,0.6022540156772707,0.07271936824224134,BPIC14,duration,10
rolling1,clean,1.0,B_intake,logit_fr,auc,0.5217435841877216,0.6002684873246342,0.07852490313691263,BPIC14,duration,11
rolling1,clean,1.0,B_intake_g,logit,auc,0.6536572543316673,0.7385474460716194,0.08489019173995205,BPIC14,duration,12
holdout70,clean,1.0,B_intake_g,logit,auc,0.648973403130198,0.7459166677112932,0.09694326458109515,BPIC14,duration,13
holdout70,clean,1.0,B_half,logit_fr,auc,0.522036594905904,0.6226833147389806,0.1006467198330766,BPIC14,duration,14
holdout70,clean,1.0,B_intake_g,logit_fr,auc,0.54267209149709,0.6439211373577769,0.10124904586068695,BPIC14,duration,15
holdout70,mask_rare,0.5,B_half,logit,auc,0.6123673168987037,0.714293337236284,0.10192602033758025,BPIC14,duration,16
holdout70,clean,1.0,B_intake,logit_fr,auc,0.5219469828869842,0.6240660050397302,0.10211902215274604,BPIC14,duration,17
holdout70,mask_rare,0.5,B_intake,logit,auc,0.6117171074482551,0.7146817124512371,0.10296460500298199,BPIC14,duration,18
rolling1,mask_rare,0.5,B_intake,logit,auc,0.6016147436071058,0.7061240944803144,0.10450935087320867,BPIC14,duration,19
rolling1,mask_rare,0.5,B_half,logit,auc,0.6013109070718561,0.7081478194259537,0.10683691235409765,BPIC14,duration,20
holdout70,clean,1.0,B_half,logit,auc,0.6123673168987037,0.7424440466958235,0.13007672979711982,BPIC14,duration,21
holdout70,clean,1.0,B_intake,logit,auc,0.6117171074482551,0.7438345858123451,0.13211747836408994,BPIC14,duration,22
rolling1,clean,1.0,B_intake,logit,auc,0.6016147436071058,0.7383297254915034,0.13671498188439768,BPIC14,duration,23
rolling1,clean,1.0,B_half,logit,auc,0.6013109070718561,0.740366992865571,0.13905608579371487,BPIC14,duration,24
rolling1,clean,1.0,B_intake_g,logit_fr,auc,0.7109176933265497,0.687881441982178,-0.023036251344371705,BPIC14,handover,1
holdout70,clean,1.0,B_intake,logit_fr,auc,0.6353845730633804,0.6146118507922536,-0.02077272227112681,BPIC14,handover,2
holdout70,clean,1.0,B_half,logit_fr,auc,0.6346932768485916,0.6144170884683099,-0.020276188380281668,BPIC14,handover,3
holdout70,clean,1.0,B_intake_g,logit_fr,auc,0.6681321522887324,0.6527566571302816,-0.015375495158450714,BPIC14,handover,4
rolling1,clean,1.0,B_intake,logit_fr,auc,0.6703224989320161,0.655498453301734,-0.014824045630282168,BPIC14,handover,5
rolling1,clean,1.0,B_half,logit_fr,auc,0.663851267949106,0.6515485229621901,-0.012302744986915859,BPIC14,handover,6
rolling1,mask_rare,0.5,B_intake_g,logit_fr,auc,0.7109176933265497,0.7110239550394886,0.00010626171293881548,BPIC14,handover,7
holdout70,mask_rare,0.5,B_intake,logit_fr,auc,0.6353845730633804,0.6401840338908451,0.004799460827464741,BPIC14,handover,8
holdout70,mask_rare,0.5,B_half,logit_fr,auc,0.6346932768485916,0.6395683868838029,0.00487511003521135,BPIC14,handover,9
holdout70,mask_rare,0.5,B_intake_g,logit_fr,auc,0.6681321522887324,0.6747969850352113,0.006664832746478999,BPIC14,handover,10
rolling1,mask_rare,0.5,B_intake,logit_fr,auc,0.6703224989320161,0.6877730335679677,0.017450534635951587,BPIC14,handover,11
rolling1,mask_rare,0.5,B_half,logit_fr,auc,0.663851267949106,0.6853054004563888,0.021454132507282786,BPIC14,handover,12
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.831959444519579,0.8797332079659791,0.04777376344640005,BPIC14,handover,13
rolling1,clean,1.0,B_intake_g,logit,auc,0.831959444519579,0.9063447902780193,0.07438534575844025,BPIC14,handover,14
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.7381747909330987,0.8335205765845068,0.09534578565140817,BPIC14,handover,15
holdout70,clean,1.0,B_intake_g,logit,auc,0.7381747909330987,0.8827987455985915,0.14462395466549283,BPIC14,handover,16
rolling1,mask_rare,0.5,B_intake,logit,auc,0.6616884664180787,0.8228949984007076,0.1612065319826289,BPIC14,handover,17
rolling1,mask_rare,0.5,B_half,logit,auc,0.6629088660909214,0.8248066358829704,0.16189776979204906,BPIC14,handover,18
holdout70,mask_rare,0.5,B_intake,logit,auc,0.6376551496478873,0.799959286971831,0.16230413732394378,BPIC14,handover,19
holdout70,mask_rare,0.5,B_half,logit,auc,0.6341012874119719,0.7991318221830985,0.1650305347711266,BPIC14,handover,20
rolling1,clean,1.0,B_intake,logit,auc,0.6616884664180787,0.8906041032048103,0.22891563678673166,BPIC14,handover,21
rolling1,clean,1.0,B_half,logit,auc,0.6629088660909214,0.8922474030281369,0.2293385369372155,BPIC14,handover,22
holdout70,clean,1.0,B_intake,logit,auc,0.6376551496478873,0.882830380721831,0.24517523107394368,BPIC14,handover,23
holdout70,clean,1.0,B_half,logit,auc,0.6341012874119719,0.8823828125000001,0.24828152508802814,BPIC14,handover,24
rolling1,clean,1.0,B_half,hgb,auc,0.5528950216450217,0.49242424242424243,-0.06047077922077926,BPIC13_closed,handover,1
rolling1,clean,1.0,B_intake,hgb,auc,0.5622294372294372,0.5250270562770563,-0.03720238095238093,BPIC13_closed,handover,2
holdout70,mask_rare,0.5,B_half,hgb,auc,0.5160845126969789,0.48035230352303526,-0.035732209173943597,BPIC13_closed,handover,3
rolling1,mask_rare,0.5,B_half,hgb,auc,0.5528950216450217,0.5215097402597403,-0.031385281385281405,BPIC13_closed,handover,4
rolling1,clean,1.0,B_intake_g,hgb,auc,0.6195887445887447,0.5890151515151516,-0.030573593073593086,BPIC13_closed,handover,5
holdout70,clean,1.0,B_half,logit,auc,0.569532269396768,0.5403241995382917,-0.02920806985847635,BPIC13_closed,handover,6
rolling1,clean,1.0,B_half,logit,auc,0.5823863636363636,0.5562094155844155,-0.026176948051948146,BPIC13_closed,handover,7
holdout70,mask_rare,0.5,B_half,logit,auc,0.569532269396768,0.5457317073170731,-0.023800562079694942,BPIC13_closed,handover,8
holdout70,mask_rare,0.5,B_intake,logit,auc,0.6914583960654421,0.6713590284050988,-0.02009936766034337,BPIC13_closed,handover,9
rolling1,clean,1.0,B_intake_g,logit,auc,0.693452380952381,0.6744453463203464,-0.01900703463203468,BPIC13_closed,handover,10
holdout70,clean,1.0,B_half,hgb,auc,0.5160845126969789,0.4991092040550035,-0.016975308641975384,BPIC13_closed,handover,11
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.7735872729097661,0.763111010739737,-0.010476262170029171,BPIC13_closed,handover,12
rolling1,mask_rare,0.5,B_intake_g,hgb,auc,0.6195887445887447,0.6095102813852814,-0.010078463203463284,BPIC13_closed,handover,13
holdout70,clean,1.0,B_intake_g,logit,auc,0.7735872729097661,0.7645162099769145,-0.009071062932851648,BPIC13_closed,handover,14
holdout70,clean,1.0,B_intake,logit,auc,0.6914583960654421,0.6829268292682926,-0.008531566797149504,BPIC13_closed,handover,15
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.693452380952381,0.6875,-0.005952380952381042,BPIC13_closed,handover,16
holdout70,mask_rare,0.5,B_intake_g,hgb,auc,0.8018041754491619,0.796898524540801,-0.004905650908360926,BPIC13_closed,handover,17
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.6579343571213491,0.6556634547826959,-0.0022709023386531246,BPIC13_closed,handover,18
rolling1,clean,1.0,B_intake,logit,auc,0.6362959956709956,0.6358225108225107,-0.00047348484848486194,BPIC13_closed,handover,19
holdout70,clean,1.0,B_intake_g,hgb,auc,0.8018041754491619,0.8026949713941585,0.0008907959449965253,BPIC13_closed,handover,20
rolling1,mask_rare,0.5,B_intake,hgb,auc,0.5622294372294372,0.5692640692640693,0.00703463203463206,BPIC13_closed,handover,21
rolling1,mask_rare,0.5,B_half,logit,auc,0.5823863636363636,0.5900974025974026,0.007711038961038974,BPIC13_closed,handover,22
rolling1,mask_rare,0.5,B_intake,logit,auc,0.6362959956709956,0.6457656926406926,0.009469696969697017,BPIC13_closed,handover,23
holdout70,clean,1.0,B_intake,hgb,auc,0.6579343571213491,0.7005670982635752,0.04263274114222615,BPIC13_closed,handover,24
rolling1,mask_rare,0.5,B_half,hgb,auc,0.6644070868639269,0.6005754678508315,-0.06383161901309542,BPIC13_incidents,duration,1
rolling1,clean,1.0,B_half,hgb,auc,0.6644070868639269,0.6090851420544655,-0.0553219448094614,BPIC13_incidents,duration,2
rolling1,clean,1.0,B_half,logit,auc,0.6629797453441479,0.6104943586025646,-0.05248538674158332,BPIC13_incidents,duration,3
rolling1,mask_rare,0.5,B_half,logit,auc,0.6629797453441479,0.6216366849426798,-0.04134306040146818,BPIC13_incidents,duration,4
rolling1,clean,1.0,B_intake,hgb,auc,0.6731841043998369,0.6327563550681952,-0.04042774933164173,BPIC13_incidents,duration,5
rolling1,mask_rare,0.5,B_intake,hgb,auc,0.6731841043998369,0.6506910145452898,-0.02249308985454712,BPIC13_incidents,duration,6
rolling1,mask_rare,0.5,B_intake_g,hgb,auc,0.6474058634283384,0.6312882323621369,-0.016117631066201454,BPIC13_incidents,duration,7
rolling1,clean,1.0,B_intake_g,hgb,auc,0.6474058634283384,0.637903847025239,-0.009502016403099445,BPIC13_incidents,duration,8
rolling1,mask_rare,0.5,B_intake,logit,auc,0.6322760433186824,0.6291947981331278,-0.0030812451855545264,BPIC13_incidents,duration,9
rolling1,clean,1.0,B_intake_g,logit,auc,0.6311477638316191,0.6323621369341611,0.0012143731025420212,BPIC13_incidents,duration,10
rolling1,clean,1.0,B_intake,logit,auc,0.6322760433186824,0.6336354161946622,0.0013593728759798696,BPIC13_incidents,duration,11
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.6311477638316191,0.6361411935293851,0.004993429697766061,BPIC13_incidents,duration,12
holdout70,mask_rare,0.5,B_intake_g,hgb,auc,0.6543894218846638,0.6690305386162161,0.014641116731552328,BPIC13_incidents,duration,13
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.6707672151327643,0.6863263428057522,0.015559127672987949,BPIC13_incidents,duration,14
holdout70,clean,1.0,B_intake_g,hgb,auc,0.6543894218846638,0.675232527913807,0.020843106029143188,BPIC13_incidents,duration,15
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.6559677433812083,0.6769841435831857,0.02101640020197737,BPIC13_incidents,duration,16
holdout70,clean,1.0,B_intake_g,logit,auc,0.6707672151327643,0.6985517985246094,0.027784583391845086,BPIC13_incidents,duration,17
holdout70,mask_rare,0.5,B_intake,logit,auc,0.6492600637603044,0.6778028091582984,0.02854274539799395,BPIC13_incidents,duration,18
holdout70,mask_rare,0.5,B_half,hgb,auc,0.5785866665073157,0.6083999868535456,0.029813320346229855,BPIC13_incidents,duration,19
holdout70,clean,1.0,B_intake,hgb,auc,0.6559677433812083,0.6863838585441496,0.030416115162941293,BPIC13_incidents,duration,20
holdout70,clean,1.0,B_intake,logit,auc,0.6492600637603044,0.6939624907750732,0.044702427014768786,BPIC13_incidents,duration,21
holdout70,mask_rare,0.5,B_half,logit,auc,0.5668527089165827,0.6284938943682381,0.06164118545165542,BPIC13_incidents,duration,22
holdout70,clean,1.0,B_half,hgb,auc,0.5785866665073157,0.6623579660044638,0.08377129949714812,BPIC13_incidents,duration,23
holdout70,clean,1.0,B_half,logit,auc,0.5668527089165827,0.6678727542718508,0.1010200453552681,BPIC13_incidents,duration,24
rolling1,clean,1.0,B_intake_g,hgb,auc,0.8188999617119033,0.7705506041010806,-0.04834935761082271,BPIC13_incidents,handover,1
rolling1,clean,1.0,B_intake,hgb,auc,0.8022659108312771,0.7740762996681699,-0.028189611163107142,BPIC13_incidents,handover,2
rolling1,mask_rare,0.5,B_intake_g,hgb,auc,0.8188999617119033,0.8018830298647155,-0.017016931847187777,BPIC13_incidents,handover,3
rolling1,mask_rare,0.5,B_intake,hgb,auc,0.8022659108312771,0.7975064877052667,-0.004759423126010409,BPIC13_incidents,handover,4
rolling1,mask_rare,0.5,B_intake,logit,auc,0.7931724878754361,0.796671594486514,0.0034991066110778846,BPIC13_incidents,handover,5
holdout70,mask_rare,0.5,B_intake_g,hgb,auc,0.8484290855618316,0.8524614364808095,0.004032350918977912,BPIC13_incidents,handover,6
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.7836775716838256,0.7903513996426446,0.00667382795881899,BPIC13_incidents,handover,7
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.8295762207257739,0.8399827784156142,0.010406557689840334,BPIC13_incidents,handover,8
holdout70,mask_rare,0.5,B_intake,logit,auc,0.816850835090582,0.8274428496705366,0.010592014579954623,BPIC13_incidents,handover,9
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.8334428529602373,0.8508132963132322,0.01737044335299487,BPIC13_incidents,handover,10
holdout70,clean,1.0,B_intake_g,hgb,auc,0.8484290855618316,0.873248234253024,0.024819148691192394,BPIC13_incidents,handover,11
rolling1,clean,1.0,B_intake_g,logit,auc,0.7836775716838256,0.8135024036416234,0.029824831957797837,BPIC13_incidents,handover,12
rolling1,clean,1.0,B_intake,logit,auc,0.7931724878754361,0.8262863736918235,0.0331138858163873,BPIC13_incidents,handover,13
holdout70,clean,1.0,B_intake,hgb,auc,0.8334428529602373,0.8692253412242292,0.035782488263991885,BPIC13_incidents,handover,14
holdout70,clean,1.0,B_intake_g,logit,auc,0.8295762207257739,0.8668263268186289,0.03725010609285506,BPIC13_incidents,handover,15
holdout70,clean,1.0,B_intake,logit,auc,0.816850835090582,0.8598965718026574,0.043045736712075455,BPIC13_incidents,handover,16
rolling1,mask_rare,0.5,B_half,logit,auc,0.6575156343061346,0.7057745894665193,0.0482589551603847,BPIC13_incidents,handover,17
rolling1,clean,1.0,B_half,hgb,auc,0.6185362247936697,0.6720225687058623,0.053486343912192646,BPIC13_incidents,handover,18
holdout70,mask_rare,0.5,B_half,logit,auc,0.7061252586527358,0.7672158274091302,0.0610905687563944,BPIC13_incidents,handover,19
holdout70,mask_rare,0.5,B_half,hgb,auc,0.7043767826066932,0.7657502656433504,0.06137348303665713,BPIC13_incidents,handover,20
rolling1,mask_rare,0.5,B_half,hgb,auc,0.6185362247936697,0.6848969412065005,0.06636071641283081,BPIC13_incidents,handover,21
rolling1,clean,1.0,B_half,logit,auc,0.6575156343061346,0.7451820811707649,0.08766644686463032,BPIC13_incidents,handover,22
holdout70,clean,1.0,B_half,hgb,auc,0.7043767826066932,0.8201039381009873,0.11572715549429402,BPIC13_incidents,handover,23
holdout70,clean,1.0,B_half,logit,auc,0.7061252586527358,0.827379111714954,0.12125385306221825,BPIC13_incidents,handover,24
holdout70,clean,1.0,B_half,hgb,auc,0.6817797803435652,0.6582652773866516,-0.023514502956913597,BPIC15_1,duration,1
holdout70,mask_rare,0.5,B_intake_g,hgb,auc,0.6890077912325167,0.6730498451140524,-0.01595794611846424,BPIC15_1,duration,2
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.6776338433618074,0.6739259676460465,-0.003707875715760922,BPIC15_1,duration,3
holdout70,clean,1.0,B_intake,hgb,auc,0.6776338433618074,0.6756469226196063,-0.0019869207422010815,BPIC15_1,duration,4
holdout70,clean,1.0,B_intake,logit,auc,0.8057980537563754,0.8053599924903784,-0.0004380612659969918,BPIC15_1,duration,5
holdout70,clean,1.0,B_intake_g,logit,auc,0.8007916392878376,0.8018867924528302,0.001095153164992646,BPIC15_1,duration,6
holdout70,mask_rare,0.5,B_intake,logit,auc,0.8057980537563754,0.8093338339747801,0.003535780218404727,BPIC15_1,duration,7
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.8007916392878376,0.8043430645514567,0.003551425263619068,BPIC15_1,duration,8
