log,target,perm,n_cells,n_cases,capped,median,share_positive,share_dominant
BPIC14,duration,-1,24,20000,True,0.0909167281605236,1.0,1.0
BPIC14,duration,1,24,20000,True,-0.002159290976250061,0.2916666666666667,0.7083333333333333
BPIC14,duration,0,24,20000,True,0.0004937977980175035,0.6666666666666666,0.6666666666666666
BPIC14,duration,3,24,20000,True,-0.0005140914176421929,0.375,0.625
BPIC14,duration,2,24,20000,True,-0.002105148382709199,0.2916666666666667,0.7083333333333333
BPIC14,duration,8,24,20000,True,0.0001372979935847507,0.5,0.5
BPIC14,duration,6,24,20000,True,-0.0002033100473013416,0.5,0.5
BPIC14,duration,9,24,20000,True,-0.0004847643216185915,0.5,0.5
BPIC14,duration,4,24,20000,True,-0.002766648679543793,0.2916666666666667,0.7083333333333333
BPIC14,duration,10,24,20000,True,-0.0015109890739083975,0.3333333333333333,0.6666666666666667
BPIC14,duration,7,24,20000,True,0.0006045282133305685,0.5416666666666666,0.5416666666666666
BPIC14,duration,5,24,20000,True,-0.0006860655512765934,0.375,0.625
BPIC14,duration,14,24,20000,True,-0.00237270290898306,0.25,0.75
BPIC14,duration,12,24,20000,True,0.00017773872418802572,0.5,0.5
BPIC14,duration,11,24,20000,True,-0.00023208753049425157,0.4583333333333333,0.5416666666666667
BPIC14,duration,17,24,20000,True,0.001415017257795359,0.5416666666666666,0.5416666666666666
BPIC14,duration,13,24,20000,True,0.0016195355433186731,0.6666666666666666,0.6666666666666666
BPIC14,duration,22,24,20000,True,-0.0012274996024081442,0.3333333333333333,0.6666666666666667
BPIC14,duration,15,24,20000,True,0.0014022841070289171,0.6666666666666666,0.6666666666666666
BPIC14,duration,19,24,20000,True,0.0004752203851475789,0.5,0.5
BPIC14,duration,16,24,20000,True,-0.001989163211514766,0.20833333333333334,0.7916666666666666
BPIC14,duration,20,24,20000,True,-0.0009367927686504962,0.4583333333333333,0.5416666666666667
BPIC14,duration,18,24,20000,True,-0.0016834280261598389,0.375,0.625
BPIC14,duration,21,24,20000,True,0.0013452701965833702,0.625,0.625
BPIC14,duration,23,24,20000,True,-0.0016686356465655527,0.375,0.625
BPIC14,duration,24,24,20000,True,-0.000829602887189751,0.4583333333333333,0.5416666666666667
BPIC14,duration,26,24,20000,True,0.00035241741383240655,0.5416666666666666,0.5416666666666666
BPIC14,duration,25,24,20000,True,8.726866744823703e-05,0.5,0.5
BPIC14,duration,27,24,20000,True,-0.0018935973878238532,0.375,0.625
BPIC14,duration,32,24,20000,True,-0.0008972726938112907,0.2916666666666667,0.7083333333333333
BPIC14,duration,28,24,20000,True,0.002117486269372082,0.7916666666666666,0.7916666666666666
BPIC14,duration,29,24,20000,True,-0.0001852534760636848,0.4166666666666667,0.5833333333333333
BPIC14,duration,30,24,20000,True,-0.0004048838858296544,0.375,0.625
BPIC14,duration,31,24,20000,True,-0.001438817803463166,0.375,0.625
BPIC14,duration,33,24,20000,True,-0.00042984971268250627,0.375,0.625
BPIC14,duration,34,24,20000,True,-0.0026304745328418755,0.16666666666666666,0.8333333333333334
BPIC14,duration,35,24,20000,True,-0.0025803687678567777,0.25,0.75
BPIC14,duration,36,24,20000,True,-0.0005573223860986798,0.4166666666666667,0.5833333333333333
BPIC14,duration,37,24,20000,True,-0.0021591279310470557,0.4166666666666667,0.5833333333333333
BPIC14,duration,43,24,20000,True,-0.00012383059703291455,0.4583333333333333,0.5416666666666667
BPIC14,duration,38,24,20000,True,-0.0008076374962887045,0.4583333333333333,0.5416666666666667
BPIC14,duration,41,24,20000,True,-0.00046796847980518086,0.5,0.5
BPIC14,duration,45,24,20000,True,0.0003646999579373089,0.5833333333333334,0.5833333333333334
BPIC14,duration,39,24,20000,True,-0.0025921869179243995,0.25,0.75
BPIC14,duration,44,24,20000,True,-0.0007819735627039859,0.375,0.625
BPIC14,duration,40,24,20000,True,0.0003334899708509198,0.5833333333333334,0.5833333333333334
BPIC14,duration,42,24,20000,True,-0.00012738797396544266,0.4583333333333333,0.5416666666666667
BPIC14,duration,46,24,20000,True,0.002025113912657639,0.7083333333333334,0.7083333333333334
BPIC14,duration,47,24,20000,True,0.0002372996279209616,0.5833333333333334,0.5833333333333334
BPIC14,duration,48,24,20000,True,-0.0009188761083064878,0.4166666666666667,0.5833333333333333
BPIC14,duration,52,24,20000,True,-0.0011608291855305652,0.375,0.625
BPIC14,duration,49,24,20000,True,-0.00269667946599772,0.20833333333333334,0.7916666666666666
BPIC14,duration,51,24,20000,True,-0.0020287734365210808,0.2916666666666667,0.7083333333333333
BPIC14,duration,50,24,20000,True,0.001414257945209163,0.625,0.625
BPIC14,duration,53,24,20000,True,0.003422818567632935,0.75,0.75
BPIC14,duration,55,24,20000,True,0.00033261474319290496,0.5833333333333334,0.5833333333333334
BPIC14,duration,54,24,20000,True,-0.0004593344423688972,0.375,0.625
BPIC14,duration,57,24,20000,True,-0.0006318063724417566,0.4166666666666667,0.5833333333333333
BPIC14,duration,56,24,20000,True,0.001195206119233072,0.5416666666666666,0.5416666666666666
BPIC14,duration,58,24,20000,True,6.765719345797061e-05,0.5416666666666666,0.5416666666666666
BPIC14,duration,60,24,20000,True,-0.0025225190429774558,0.16666666666666666,0.8333333333333334
BPIC14,duration,59,24,20000,True,-0.0019596064931275414,0.5,0.5
BPIC14,duration,65,24,20000,True,-0.0018122294487793456,0.4166666666666667,0.5833333333333333
BPIC14,duration,61,24,20000,True,-0.0017063067662037579,0.20833333333333334,0.7916666666666666
BPIC14,duration,62,24,20000,True,-0.001026670275992625,0.4166666666666667,0.5833333333333333
BPIC14,duration,63,24,20000,True,-0.0024908979146882615,0.3333333333333333,0.6666666666666667
BPIC14,duration,64,24,20000,True,-0.0036773425727573694,0.25,0.75
BPIC14,duration,66,24,20000,True,-0.0005521236424679832,0.375,0.625
BPIC14,duration,68,24,20000,True,0.0012452513252922959,0.5416666666666666,0.5416666666666666
BPIC14,duration,69,24,20000,True,-0.001017663901060284,0.3333333333333333,0.6666666666666667
BPIC14,duration,67,24,20000,True,0.002290360906931521,0.7083333333333334,0.7083333333333334
