log,target,n_cells,n_perms,n_cases,capped,share_positive,p_median,obs_median,null_median_median,p_share_dominant,obs_share_dominant,null_share_dominant_median,sca_verdict,region_full_surface,rho_full_surface,sub_surface_sign_varies
BPIC13_closed,handover,24,100,1487,False,0.2083333333333333,0.32673267326732675,-0.0102773626867462,-0.00769227024731765,0.21782178217821782,0.7916666666666666,0.6666666666666667,not distinguishable from null,unresolved,0.0,True
BPIC13_incidents,duration,24,100,7554,False,0.625,0.6732673267326733,0.0098172732146591,-0.01181388205837625,0.9900990099009901,0.625,0.8333333333333334,not distinguishable from null,conditionally beneficial,0.0166666666666666,True
BPIC13_incidents,handover,24,100,7554,False,0.8333333333333334,0.009900990099009901,0.0314693588870925,-0.006456576125278999,0.3564356435643564,0.8333333333333334,0.7916666666666666,non-null at 5%,conditionally beneficial,0.4222222222222222,True
BPIC14,duration,24,100,20000,True,1.0,0.009900990099009901,0.0909167281605236,-0.0006589359618591,0.009900990099009901,1.0,0.625,non-null at 5%,conditionally beneficial,0.6916666666666667,False
BPIC14,handover,24,100,20000,True,0.75,0.009900990099009901,0.0346139479768414,0.00011900723812318748,0.15841584158415842,0.75,0.5833333333333334,non-null at 5%,sign-changing,0.5520833333333334,True
BPIC15_1,duration,24,100,1199,False,0.7916666666666666,0.009900990099009901,0.0295115332428765,0.0005826763430255,0.019801980198019802,0.7916666666666666,0.5833333333333334,non-null at 5%,conditionally beneficial,0.0111111111111111,True
BPIC15_1,handover,24,100,1199,False,0.7083333333333334,0.6534653465346535,0.0016669203441707,-0.00235281477843685,0.2871287128712871,0.7083333333333334,0.625,not distinguishable from null,unresolved,0.0,True
BPIC15_3,duration,24,100,1409,False,0.9583333333333334,0.009900990099009901,0.1194522471910111,0.0025678295799995,0.009900990099009901,0.9583333333333334,0.5833333333333334,non-null at 5%,conditionally beneficial,0.0555555555555555,True
BPIC15_3,handover,24,100,1409,False,0.625,0.019801980198019802,0.0234403839055002,-0.00532156615555725,0.7029702970297029,0.625,0.6875,non-null at 5%,unresolved,0.0,True
BPIC15_4,duration,24,100,1053,False,0.3333333333333333,0.009900990099009901,-0.0299725651577503,-0.0036351165980795,0.39603960396039606,0.6666666666666667,0.625,non-null at 5%,unresolved,0.0,True
BPIC15_4,handover,24,100,1053,False,0.25,0.15841584158415842,-0.0177267987486966,-0.0112484923160105,0.48514851485148514,0.75,0.7083333333333333,not distinguishable from null,unresolved,0.0,True
BPIC15_5,duration,24,100,1156,False,0.8333333333333334,0.009900990099009901,0.0434959587367491,-0.0006228346244622,0.039603960396039604,0.8333333333333334,0.6041666666666667,non-null at 5%,unresolved,0.0,True
BPIC17,duration,24,100,20000,True,0.7083333333333334,0.0297029702970297,0.005764867551521,-0.0014865086345689999,0.13861386138613863,0.7083333333333334,0.6041666666666667,non-null at 5%,conditionally beneficial,0.1388888888888889,True
BPIC19,duration,24,100,20000,True,1.0,0.009900990099009901,0.0514542122421887,-0.0008632337359414,0.009900990099009901,1.0,0.625,non-null at 5%,sign-changing,-0.0833333333333333,False
Helpdesk,duration,24,100,4580,False,0.2083333333333333,0.10891089108910891,-0.0133230298622401,-0.0080375664426804,0.43564356435643564,0.7916666666666666,0.75,not distinguishable from null,conditionally harmful,-0.0111111111111111,True
RoadFines,duration,24,100,20000,True,0.7916666666666666,0.009900990099009901,0.0159902088683372,4.919641321815549e-05,0.1485148514851485,0.7916666666666666,0.6458333333333333,non-null at 5%,sign-changing,0.225,True
Sepsis,duration,24,100,1050,False,1.0,0.009900990099009901,0.1535278407659361,-0.0027213666330729,0.009900990099009901,1.0,0.625,non-null at 5%,conditionally beneficial,0.2833333333333333,False
UCI498,duration,24,100,20000,True,0.625,0.39603960396039606,0.0053937874081205,-0.00462212808125965,0.9108910891089109,0.625,0.7083333333333333,not distinguishable from null,conditionally beneficial,0.0944444444444444,True
UCI498,handover,24,100,20000,True,0.5,1.0,0.0001258066258646,-0.0021649169272449998,1.0,0.5,0.75,not distinguishable from null,conditionally beneficial,0.0444444444444444,True
