log,target,family,encoding,split,quality,level,quality_level,rung,metric,without_f,with_f,V
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_half,auc,0.4374937267891197,0.4556233062330623,0.01812957944394261
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_half,ap,0.2582927645788287,0.24734269339834847,-0.010950071180480248
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_half,brier_skill,-0.01495168958096027,-0.05755227895099102,-0.04260058937003075
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_half,nagelkerke,-0.017374540551159966,-0.07673882793691232,-0.059364287385752355
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_half,logloss_skill,-0.009732859508883474,-0.042100288094657934,-0.03236742858577446
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake,auc,0.38382013449764135,0.42273913479875536,0.038919000301114004
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake,ap,0.21830905577104565,0.22887228248681235,0.010563226715766705
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake,brier_skill,-0.09418510187912976,-0.08717851721443348,0.00700658466469628
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake,nagelkerke,-0.1273169897311137,-0.1221632893414795,0.005153700389634183
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake,logloss_skill,-0.06865604817544968,-0.06599110986971302,0.002664938305736664
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake_g,auc,0.5252684934256749,0.5251681220515909,-0.00010037137408402952
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake_g,ap,0.3260626732216346,0.33481509883397215,0.008752425612337522
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake_g,brier_skill,0.01785383493607362,0.021072937208573617,0.0032191022724999963
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake_g,nagelkerke,0.005430747568842117,0.006448203793086294,0.001017456224244177
BPIC13_closed,handover,logistic,frequency,holdout70,clean,1.0,clean/1.0,B_intake_g,logloss_skill,0.003067265406079489,0.0036432642441763807,0.0005759988380968917
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,auc,0.4374937267891197,0.49981180367359235,0.06231807688447266
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,ap,0.2582927645788287,0.2817433795274021,0.023450614948573367
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,brier_skill,-0.01495168958096027,-0.07938082231898735,-0.06442913273802708
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,nagelkerke,-0.017374540551159966,-0.10413603447003854,-0.08676149391887858
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_half,logloss_skill,-0.009732859508883474,-0.05659710026050746,-0.04686424075162399
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,auc,0.38382013449764135,0.41113369467028005,0.027313560172638696
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,ap,0.21830905577104565,0.23423624526193257,0.015927189490886923
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,brier_skill,-0.09418510187912976,-0.12244857144681087,-0.02826346956768111
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,nagelkerke,-0.1273169897311137,-0.16684123271437293,-0.03952424298325924
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake,logloss_skill,-0.06865604817544968,-0.08879668808347518,-0.020140639908025504
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,auc,0.5252684934256749,0.5255696075479273,0.0003011141222523106
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,ap,0.3260626732216346,0.32533387153735466,-0.0007288016842799672
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,brier_skill,0.01785383493607362,0.017977174809487684,0.00012333987341406338
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,nagelkerke,0.005430747568842117,0.005709298377885013,0.00027855080904289585
BPIC13_closed,handover,logistic,frequency,holdout70,mask_rare,0.5,mask_rare/0.5,B_intake_g,logloss_skill,0.003067265406079489,0.003224915374354209,0.0001576499682747201
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,auc,0.4374937267891197,0.46577336143731807,0.028279634648198382
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,ap,0.2582927645788287,0.24538617956543457,-0.012906585013394145
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,brier_skill,-0.01495168958096027,-0.02679103721834819,-0.01183934763738792
BPIC13_closed,handover,logistic,frequency,holdout70,corrupt,0.15,corrupt/0.15,B_half,nagelkerke,-0.017374540551159966,-0.030099904293894683,-0.012725363742734717
