term,order,share,variance,log,target,metric,total_variance
family,1,0.02287773045003029,5.888932741888943e-05,BPIC14,duration,ap,0.0025740895735927977
encoding,1,0.03029217715433768,7.797477737440657e-05,BPIC14,duration,ap,0.0025740895735927977
quality_level,1,0.07541450877345707,0.0001941237007313784,BPIC14,duration,ap,0.0025740895735927977
rung,1,0.699520066504444,0.0018006273097080298,BPIC14,duration,ap,0.0025740895735927977
split,1,0.01714944090579393,4.4144197028549986e-05,BPIC14,duration,ap,0.0025740895735927977
family x encoding,2,0.018933160414690706,4.873565081861524e-05,BPIC14,duration,ap,0.0025740895735927977
family x quality_level,2,0.0004452887738531606,1.146213190013342e-06,BPIC14,duration,ap,0.0025740895735927977
family x rung,2,0.013713186933471209,3.529897150617723e-05,BPIC14,duration,ap,0.0025740895735927977
family x split,2,0.003692809853494999,9.505623341142224e-06,BPIC14,duration,ap,0.0025740895735927977
encoding x quality_level,2,0.001209490785098729,3.1133376192792055e-06,BPIC14,duration,ap,0.0025740895735927977
encoding x rung,2,0.022247642655534,5.726742499662845e-05,BPIC14,duration,ap,0.0025740895735927977
encoding x split,2,0.0076303654515018195,1.9641244151413534e-05,BPIC14,duration,ap,0.0025740895735927977
quality_level x rung,2,0.016943462651300797,4.3613990551272365e-05,BPIC14,duration,ap,0.0025740895735927977
quality_level x split,2,0.004704285837792681,1.2109253126262398e-05,BPIC14,duration,ap,0.0025740895735927977
rung x split,2,0.010482235398846526,2.6982212848116184e-05,BPIC14,duration,ap,0.0025740895735927977
family x encoding x quality_level,3,0.003371843857235037,8.679428116691631e-06,BPIC14,duration,ap,0.0025740895735927977
family x encoding x rung,3,0.019177492541768093,4.936458359941889e-05,BPIC14,duration,ap,0.0025740895735927977
family x encoding x split,3,0.001829434442682015,4.709128124479325e-06,BPIC14,duration,ap,0.0025740895735927977
family x quality_level x rung,3,0.0002730181116616722,7.027730746303046e-07,BPIC14,duration,ap,0.0025740895735927977
family x quality_level x split,3,0.00035051412060855777,9.022547432555369e-07,BPIC14,duration,ap,0.0025740895735927977
family x rung x split,3,0.000901286451728645,2.3199920582151536e-06,BPIC14,duration,ap,0.0025740895735927977
encoding x quality_level x rung,3,0.0019853579313008937,5.110489150811397e-06,BPIC14,duration,ap,0.0025740895735927977
encoding x quality_level x split,3,0.010010195953531129,2.5767141033605292e-05,BPIC14,duration,ap,0.0025740895735927977
encoding x rung x split,3,0.0024945374306116134,6.421162791074321e-06,BPIC14,duration,ap,0.0025740895735927977
quality_level x rung x split,3,0.001875263813734027,4.827097030668625e-06,BPIC14,duration,ap,0.0025740895735927977
family x encoding x quality_level x rung,4,0.000550248123488956,1.4163879575619237e-06,BPIC14,duration,ap,0.0025740895735927977
family x encoding x quality_level x split,4,0.00823680739701581,2.1202280040350428e-05,BPIC14,duration,ap,0.0025740895735927977
family x encoding x rung x split,4,0.0010992603153724945,2.8295945164646687e-06,BPIC14,duration,ap,0.0025740895735927977
family x quality_level x rung x split,4,0.0004631521999661704,1.1921952489194857e-06,BPIC14,duration,ap,0.0025740895735927977
encoding x quality_level x rung x split,4,0.001272955822147853,3.276702309435036e-06,BPIC14,duration,ap,0.0025740895735927977
family x encoding x quality_level x rung x split,5,0.0008527789434996078,2.1951293870418218e-06,BPIC14,duration,ap,0.0025740895735927977
family,1,0.002627659417829084,4.996269350049295e-06,BPIC14,duration,auc,0.0019014143599238237
encoding,1,0.012524582701083547,2.3814421399893766e-05,BPIC14,duration,auc,0.0019014143599238237
quality_level,1,0.06864873710232387,0.000130529694516994,BPIC14,duration,auc,0.0019014143599238237
rung,1,0.7670570615487142,0.0014584933117096975,BPIC14,duration,auc,0.0019014143599238237
split,1,0.00770445285765111,1.4649357298893961e-05,BPIC14,duration,auc,0.0019014143599238237
family x encoding,2,0.007020298300819323,1.334849600012668e-05,BPIC14,duration,auc,0.0019014143599238237
family x quality_level,2,0.001373490333309133,2.6115742429705444e-06,BPIC14,duration,auc,0.0019014143599238237
family x rung,2,0.004581889217938533,8.712069954568465e-06,BPIC14,duration,auc,0.0019014143599238237
family x split,2,0.002354535894246369,4.476948360276127e-06,BPIC14,duration,auc,0.0019014143599238237
encoding x quality_level,2,0.01227955638389473,2.33485248418317e-05,BPIC14,duration,auc,0.0019014143599238237
encoding x rung,2,0.029637705767669414,5.635355934184376e-05,BPIC14,duration,auc,0.0019014143599238237
encoding x split,2,0.004283515776781655,8.144738408932891e-06,BPIC14,duration,auc,0.0019014143599238237
quality_level x rung,2,0.009086198500198619,1.7276628305395964e-05,BPIC14,duration,auc,0.0019014143599238237
quality_level x split,2,0.008468208543971664,1.6101573328337338e-05,BPIC14,duration,auc,0.0019014143599238237
rung x split,2,0.009183689188393084,1.7461998499887777e-05,BPIC14,duration,auc,0.0019014143599238237
family x encoding x quality_level,3,0.0188595527893235,3.585982449536111e-05,BPIC14,duration,auc,0.0019014143599238237
family x encoding x rung,3,0.01571769503795621,2.988585105007337e-05,BPIC14,duration,auc,0.0019014143599238237
family x encoding x split,3,0.003148479770121432,5.98656464683855e-06,BPIC14,duration,auc,0.0019014143599238237
family x quality_level x rung,3,0.000502775538636408,9.559846289817014e-07,BPIC14,duration,auc,0.0019014143599238237
family x quality_level x split,3,0.0004609954930488884,8.765434503433197e-07,BPIC14,duration,auc,0.0019014143599238237
family x rung x split,3,0.0005564313235884658,1.0580065089825288e-06,BPIC14,duration,auc,0.0019014143599238237
encoding x quality_level x rung,3,0.0018637743477104161,3.543807308394243e-06,BPIC14,duration,auc,0.0019014143599238237
encoding x quality_level x split,3,0.004224161431763583,8.031881204991656e-06,BPIC14,duration,auc,0.0019014143599238237
encoding x rung x split,3,0.0008976306109906811,1.7067677336448767e-06,BPIC14,duration,auc,0.0019014143599238237
quality_level x rung x split,3,0.0005470975285783974,1.0402590971177994e-06,BPIC14,duration,auc,0.0019014143599238237
family x encoding x quality_level x rung,4,0.000784976754442948,1.4925660731042185e-06,BPIC14,duration,auc,0.0019014143599238237
family x encoding x quality_level x split,4,0.004100588201295923,7.79691729007827e-06,BPIC14,duration,auc,0.0019014143599238237
family x encoding x rung x split,4,0.00043854068488577284,8.338475556526371e-07,BPIC14,duration,auc,0.0019014143599238237
family x quality_level x rung x split,4,0.0002726560189559977,5.184320697625963e-07,BPIC14,duration,auc,0.0019014143599238237
encoding x quality_level x rung x split,4,0.0003706147373053053,7.046921835117032e-07,BPIC14,duration,auc,0.0019014143599238237
family x encoding x quality_level x rung x split,5,0.0004224481965717152,8.032490672853815e-07,BPIC14,duration,auc,0.0019014143599238237
family,1,0.06550036671993253,0.00018345991537195612,BPIC14,duration,brier_skill,0.0028008990568922586
encoding,1,0.0906146495421117,0.00025380248644312316,BPIC14,duration,brier_skill,0.0028008990568922586
quality_level,1,0.06481148082497669,0.00018153041551846792,BPIC14,duration,brier_skill,0.0028008990568922586
rung,1,0.49206523630671223,0.0013782250563009366,BPIC14,duration,brier_skill,0.0028008990568922586
split,1,0.016077329380699692,4.503097669974797e-05,BPIC14,duration,brier_skill,0.0028008990568922586
family x encoding,2,0.09717297851013199,0.0002721717038644404,BPIC14,duration,brier_skill,0.0028008990568922586
family x quality_level,2,0.0006604633435277975,1.8498911559989158e-06,BPIC14,duration,brier_skill,0.0028008990568922586
family x rung,2,0.014011014893198124,3.9243438400462014e-05,BPIC14,duration,brier_skill,0.0028008990568922586
