term,order,share,variance,log,target,metric,total_variance
family,1,0.018573469048654704,1.9095308095679244e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding,1,0.004392818507846661,4.516238867171109e-06,BPIC13_closed,handover,ap,0.0010280959386562382
quality_level,1,0.0021041771693721388,2.1632960020446753e-06,BPIC13_closed,handover,ap,0.0010280959386562382
rung,1,0.024424187962701616,2.5110408449430113e-05,BPIC13_closed,handover,ap,0.0010280959386562382
split,1,0.00416993348708909,4.287091682542939e-06,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding,2,0.07521500914322152,7.732824542613786e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x quality_level,2,0.014842593155985111,1.525960974279517e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x rung,2,0.01165175513586988,1.1979122133404788e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x split,2,0.02131728966074721,2.1916218923372823e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x quality_level,2,0.07500783738149493,7.71152529793025e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x rung,2,0.12624446798688962,0.0001297914248151387,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x split,2,0.053155642521584875,5.464910019310425e-05,BPIC13_closed,handover,ap,0.0010280959386562382
quality_level x rung,2,0.009668584371672504,9.940232325071678e-06,BPIC13_closed,handover,ap,0.0010280959386562382
quality_level x split,2,0.029201957370925395,3.0022413773860998e-05,BPIC13_closed,handover,ap,0.0010280959386562382
rung x split,2,0.03366630651242677,3.461219299498202e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x quality_level,3,0.00874279759531723,8.98843470023917e-06,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x rung,3,0.06480237378465684,6.662305730328916e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x split,3,0.06054859873231358,6.224976844801784e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x quality_level x rung,3,0.0033455792455451107,3.4395764347975297e-06,BPIC13_closed,handover,ap,0.0010280959386562382
family x quality_level x split,3,0.008767077362507333,9.013396630278834e-06,BPIC13_closed,handover,ap,0.0010280959386562382
family x rung x split,3,0.037042337754991495,3.808307700423939e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x quality_level x rung,3,0.017969256227449177,1.8474119348113816e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x quality_level x split,3,0.021943481498943564,2.256000420904218e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x rung x split,3,0.062066335112500114,6.381014705643844e-05,BPIC13_closed,handover,ap,0.0010280959386562382
quality_level x rung x split,3,0.007430143661171928,7.638900521683251e-06,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x quality_level x rung,4,0.02913630545879216,2.99549173096318e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x quality_level x split,4,0.0166901468732405,1.715907221595467e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x rung x split,4,0.07645774928036872,7.860590151394399e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x quality_level x rung x split,4,0.020207359954991438,2.0775104700691402e-05,BPIC13_closed,handover,ap,0.0010280959386562382
encoding x quality_level x rung x split,4,0.03304112624586127,3.396944770199801e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family x encoding x quality_level x rung x split,5,0.02817330179486763,2.8964857153839916e-05,BPIC13_closed,handover,ap,0.0010280959386562382
family,1,0.03219472311895675,2.7739425286704524e-05,BPIC13_closed,handover,auc,0.0008616140348283077
encoding,1,0.004412957447956764,3.802266072259659e-06,BPIC13_closed,handover,auc,0.0008616140348283077
quality_level,1,0.011407815267233046,9.829133740976634e-06,BPIC13_closed,handover,auc,0.0008616140348283077
rung,1,0.0003840316780730804,3.3088708364643254e-07,BPIC13_closed,handover,auc,0.0008616140348283077
split,1,0.05123172755260981,4.414197548782872e-05,BPIC13_closed,handover,auc,0.0008616140348283077
family x encoding,2,0.1253574848133822,0.00010800976828598654,BPIC13_closed,handover,auc,0.0008616140348283077
