mechanism,level,V,V_sd,populated,n_seeds
clean,1.0,0.10344533795377764,0.0,1.0,1
corrupt,0.05,0.09947857957611499,0.0034877687769963735,1.0,3
corrupt,0.15,0.08634417037946884,0.0006546103552200871,1.0,3
corrupt,0.3,0.0688693671186295,0.0022186242181855102,1.0,3
duplicate,0.15,0.10340794599685317,0.0005203859629621052,1.0,3
duplicate,0.5,0.10373303006680079,0.0012216437843114664,1.0,3
duplicate,1.0,0.10153844022069929,0.0006163266007406286,1.0,3
mask_common,0.5,0.07083362450492758,0.0,0.5211967880321197,1
mask_random,0.5,0.06763935702682915,0.003970184561149845,0.5024676419902468,3
mask_rare,0.25,0.041163377141193114,0.0,0.2696293037069629,1
mask_rare,0.5,0.08189268994032295,0.0,0.504960950390496,1
mask_rare,0.75,0.09583000384944951,0.0,0.76150038499615,1
stale,1.0,0.10344533795377764,0.0,0.9839401605983941,1
stale_lag,0.1,0.10695256310643686,0.0,0.9817181828181718,1
stale_lag,0.25,0.10600426440940325,0.0,0.9716422835771642,1
stale_lag,0.5,0.10735306790821308,0.0,0.9395666043339567,1
