log,target,n_cells,n_excludes_V,share_excludes_V,disp_over_halfwidth_median,disp_over_halfwidth_max
BPIC15_3,handover,180,3,0.016666666666666666,0.04974833068496266,2.1759740243049603
BPIC13_closed,handover,180,0,0.0,0.08687329117614512,0.46857059740850876
BPIC15_4,handover,180,0,0.0,0.06300004992431435,0.6024754050728023
UCI498,duration,180,0,0.0,0.2213641246953406,0.5857286030599014
Sepsis,duration,180,0,0.0,0.05495298428353249,0.563800536407525
RoadFines,duration,180,0,0.0,0.04459456869571371,0.4428269073457788
Helpdesk,duration,180,0,0.0,0.1556671758926064,0.5367265991824428
BPIC19,duration,180,0,0.0,0.06141529605722907,0.6524561621601939
BPIC17,duration,180,0,0.0,0.18310708820676308,0.5297708069449767
BPIC15_5,duration,180,0,0.0,0.06080298908225709,0.5324870562219589
BPIC15_4,duration,180,0,0.0,0.084516126433645,0.3645625368735722
BPIC13_incidents,duration,180,0,0.0,0.09772569386426969,0.45684446424305414
BPIC15_3,duration,180,0,0.0,0.05979165095895468,0.6039510716559724
BPIC15_1,handover,180,0,0.0,0.04976442499675891,0.5085916596246818
BPIC15_1,duration,180,0,0.0,0.05877294821469717,0.40264231103128023
BPIC14,handover,180,0,0.0,0.07598019317394039,0.3825061855810264
BPIC14,duration,180,0,0.0,0.20533603411162438,0.5535244207372881
BPIC13_incidents,handover,180,0,0.0,0.09626799746312734,0.5570941614456223
UCI498,handover,180,0,0.0,0.09814718448430465,0.7689560399484641
