log,target,family,n_family,n_draws,q,q_hi,q_emp,q_emp_lo,q_emp_hi,below,ratio,resolved_mult,resolved_emp
BPIC13_closed,handover,decision-curve,1116,400,3.907986558420931,3.92612834180745,6.3050939929549825,5.886008593445712,7.304243646626166,True,1.6133868166380367,4,0
BPIC13_closed,handover,whole-surface,180,400,3.380257729643257,3.3994622277963,4.208576706888257,4.001083588852028,4.896216092951574,True,1.2450461010653227,0,0
BPIC13_incidents,duration,decision-curve,1116,400,3.9110011737532138,3.926084957806272,6.370231097585179,6.005058084051688,7.419668075966999,True,1.6287980531266246,79,8
BPIC13_incidents,duration,whole-surface,180,400,3.371675409810869,3.3913872260103672,4.1380089960182005,3.8345771177849657,4.951133257979231,True,1.227285694221176,19,12
BPIC13_incidents,handover,decision-curve,1096,400,3.904605552689711,3.9217419409797225,11.76436714210235,10.131952124679378,13.618691313159182,True,3.012946374057783,158,0
BPIC13_incidents,handover,whole-surface,180,400,3.3563810527501374,3.3777999165074086,4.432862064108301,3.9115647987857254,4.805557285797829,True,1.32072669772585,86,72
BPIC14,duration,decision-curve,1116,400,3.889365708970763,3.9024369178724423,8.44317656447011,8.07972668564332,9.879502634551654,True,2.170836376994853,547,225
BPIC14,duration,whole-surface,180,400,3.213905566292401,3.236173864713926,3.7091000366837297,3.455069107098049,3.98632358372815,True,1.1540787245228834,180,180
BPIC14,handover,decision-curve,1084,400,3.8153558678922583,3.832904645374449,12.254471635018684,10.681831345896867,14.51533417162615,True,3.2118816853088203,600,0
BPIC14,handover,whole-surface,180,400,3.2655090097821646,3.2836344864473688,4.767840631001943,4.125123672343679,5.329169020908354,True,1.46006047348802,179,171
BPIC15_1,duration,decision-curve,1103,400,3.9033183845734154,3.920473848612578,12.314960142748811,10.974290702321454,16.249060285070357,True,3.1549976018916746,8,0
BPIC15_1,duration,whole-surface,180,400,3.3616778943795227,3.3780332596162572,5.485471042895894,4.5936867107890365,6.108427292321063,True,1.6317658072081198,5,0
BPIC15_1,handover,decision-curve,1098,400,3.8668882817716,3.88107361058744,11.671718509511354,11.01782483059221,13.854720310800792,True,3.0183748944937197,19,0
