family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling,ratio_emp_over_mult
decision-curve,degenerate,248,200,q_mult,2000,0.803,248.0,0.008893565089434044,0.9937358870967742,0.937070564516129,7.570858999520441,3.679333634750925,6.064885733061639,1.6475794032060211,1.5535,1.5535,0.0,0.8109836838397335,11.941900482350785,0.0,1.2711210044948045
decision-curve,degenerate,248,200,q_mult_hi,2000,0.805,248.0,0.00885931712944062,0.9937983870967741,0.937070564516129,7.605860533437317,3.6962479617185324,6.064885733061639,1.6393814393327077,1.538,1.538,0.0,0.8109836838397335,11.941900482350785,0.0,1.2711210044948045
decision-curve,degenerate,248,200,q_emp,2000,0.9355,248.0,0.005492711079239468,0.9966975806451613,0.937070564516129,10.589639330988888,4.680034290054582,6.064885733061639,1.0817347243997923,0.819,0.819,0.0,0.8109836838397335,11.941900482350785,0.0,1.2711210044948045
decision-curve,degenerate,248,200,q_emp_hi,2000,0.9635,248.0,0.004193313129257102,0.9996108870967741,0.937070564516129,15.80593011048348,7.702252740452748,6.064885733061639,0.8326007414322142,0.0965,0.0965,0.0,0.8109836838397335,11.941900482350785,0.0,1.2711210044948045
decision-curve,degenerate,248,200,q_rad,2000,0.785,248.0,0.009186266924055712,0.9933770161290322,0.937070564516129,7.384562040396481,3.5888297898556543,6.064885733061639,1.686603569734136,1.6425,1.6425,0.0,0.8109836838397335,11.941900482350785,0.0,1.2711210044948045
decision-curve,degenerate,1100,400,q_mult,2000,0.929,1100.0,0.005742778073371805,0.9958340909090909,0.9402768181818182,8.345888527551582,4.040978359526788,6.320496488279065,1.5669866475360572,4.5825,4.5825,0.0,2.2404038706726537,12.60803930953825,0.0,1.190055521908513
decision-curve,degenerate,1100,400,q_mult_hi,2000,0.93,1100.0,0.005705260730238364,0.9958731818181819,0.9402768181818182,8.378770641841125,4.056787797217686,6.320496488279065,1.5615901372924148,4.5395,4.5395,0.0,2.2404038706726537,12.60803930953825,0.0,1.190055521908513
decision-curve,degenerate,1100,400,q_emp,2000,0.948,1100.0,0.0049646752159632785,0.997955,0.9402768181818182,12.099355647817843,4.806429202440311,6.320496488279065,1.0343563009339105,2.2495,2.2495,0.0,2.2404038706726537,12.60803930953825,0.0,1.190055521908513
decision-curve,degenerate,1100,400,q_emp_hi,2000,0.962,1100.0,0.004275277768753747,0.9998454545454547,0.9402768181818182,17.668986089738908,8.613569555929447,6.320496488279065,0.8834916106866604,0.17,0.17,0.0,2.2404038706726537,12.60803930953825,0.0,1.190055521908513
decision-curve,degenerate,1100,400,q_rad,2000,0.7735,1100.0,0.009359427065798419,0.9954977272727273,0.9402768181818182,8.208038739950066,3.974036216902846,6.320496488279065,1.590381179366519,4.9525,4.9525,0.0,2.2404038706726537,12.60803930953825,0.0,1.190055521908513
decision-curve,gaussian,248,200,q_mult,2000,0.932,248.0,0.005629209535982825,0.9997076612903226,0.940820564516129,7.350645811478038,3.6800807937868214,3.791519093475742,1.0310896467398591,0.0725,0.0725,0.0,-0.07217184831056389,0.39649155392952307,0.0,0.9845984842266782
decision-curve,gaussian,248,200,q_mult_hi,2000,0.9335,248.0,0.005571254347092763,0.9997137096774193,0.940820564516129,7.384657891332946,3.6971481181297166,3.791519093475742,1.0263480690151434,0.071,0.071,0.0,-0.07217184831056389,0.39649155392952307,0.0,0.9845984842266782
decision-curve,gaussian,248,200,q_emp,2000,0.918,248.0,0.006134981662564281,0.9996411290322581,0.940820564516129,7.246828140672808,3.6234410775911225,3.791519093475742,1.0460791487024064,0.089,0.089,0.0,-0.07217184831056389,0.39649155392952307,0.0,0.9845984842266782
decision-curve,gaussian,248,200,q_emp_hi,2000,0.9585,248.0,0.004459694496263168,0.999820564516129,0.940820564516129,7.782767470119093,3.8879787730675925,3.791519093475742,0.978992921514379,0.0445,0.0445,0.0,-0.07217184831056389,0.39649155392952307,0.0,0.9845984842266782
decision-curve,gaussian,248,200,q_rad,2000,0.921,248.0,0.006031542091372652,0.9996572580645161,0.940820564516129,7.266671476371072,3.6381822266536163,3.791519093475742,1.0433940025541482,0.085,0.085,0.0,-0.07217184831056389,0.39649155392952307,0.0,0.9845984842266782
decision-curve,gaussian,1100,400,q_mult,2000,0.932,1100.0,0.005629209535982825,0.9999309090909092,0.9453168181818182,8.07296803315811,4.039120854604288,4.1195757831597115,1.0186993401510174,0.076,0.076,0.0,-0.03869110541852472,0.2957815783600607,0.0,0.9916369304305283
decision-curve,gaussian,1100,400,q_mult_hi,2000,0.9365,1100.0,0.005452877680637995,0.9999372727272727,0.9453168181818182,8.10493051999465,4.055065869433555,4.1195757831597115,1.015069326255825,0.069,0.069,0.0,-0.03869110541852472,0.2957815783600607,0.0,0.9916369304305283
decision-curve,gaussian,1100,400,q_emp,2000,0.92,1100.0,0.006066300355241239,0.9999168181818182,0.9453168181818182,8.007034806686722,4.004937864900946,4.1195757831597115,1.0321445356918328,0.0915,0.0915,0.0,-0.03869110541852472,0.2957815783600607,0.0,0.9916369304305283
decision-curve,gaussian,1100,400,q_emp_hi,2000,0.9535,1100.0,0.004708383480558906,0.9999531818181818,0.9453168181818182,8.284653940926892,4.141766653648665,4.1195757831597115,0.996487450941875,0.0515,0.0515,0.0,-0.03869110541852472,0.2957815783600607,0.0,0.9916369304305283
decision-curve,gaussian,1100,400,q_rad,2000,0.9255,1100.0,0.005871530890662162,0.9999236363636365,0.9453168181818182,8.017615096314517,4.01161371051451,4.1195757831597115,1.027802375556772,0.084,0.084,0.0,-0.03869110541852472,0.2957815783600607,0.0,0.9916369304305283
decision-curve,heavy,248,200,q_mult,2000,0.912,248.0,0.0063346665263453285,0.9935524193548386,0.9395947580645162,7.314247441662832,3.676950444584131,6.678302026623244,1.8151030981639718,1.599,1.599,0.0,0.7498401931704588,11.411501095280968,0.0,1.1258636191550446
decision-curve,heavy,248,200,q_mult_hi,2000,0.914,248.0,0.006269130721240385,0.9936411290322581,0.9395947580645162,7.348236945687899,3.6940502755190163,6.678302026623244,1.8057319046352023,1.577,1.577,0.0,0.7498401931704588,11.411501095280968,0.0,1.1258636191550446
decision-curve,heavy,248,200,q_emp,2000,0.936,248.0,0.00547284204047586,0.9957076612903225,0.9395947580645162,9.763219835043193,4.142351326590418,6.678302026623244,1.1418950172646458,1.0645,1.0645,0.0,0.7498401931704588,11.411501095280968,0.0,1.1258636191550446
decision-curve,heavy,248,200,q_emp_hi,2000,0.961,248.0,0.004328914413568374,0.9995383064516129,0.9395947580645162,15.234514747229865,7.681275129793439,6.678302026623244,0.8457489103435827,0.1145,0.1145,0.0,0.7498401931704588,11.411501095280968,0.0,1.1258636191550446
decision-curve,heavy,248,200,q_rad,2000,0.9005,248.0,0.006693270874542581,0.9932056451612903,0.9395947580645162,7.142936029751212,3.5904510174558864,6.678302026623244,1.868765167487967,1.685,1.685,0.0,0.7498401931704588,11.411501095280968,0.0,1.1258636191550446
decision-curve,heavy,1100,400,q_mult,2000,0.913,1100.0,0.006302023484564302,0.9950804545454546,0.9441668181818181,8.054787793281863,4.038218740952431,7.922032598128739,1.9615376478376225,5.4115,5.4115,0.0,0.9383154469203211,12.356387164103406,0.0,1.1425545721305617
decision-curve,heavy,1100,400,q_mult_hi,2000,0.915,1100.0,0.006235984284778145,0.9951213636363636,0.9441668181818181,8.086729427127391,4.054355340823522,7.922032598128739,1.9530728019233041,5.3665,5.3665,0.0,0.9383154469203211,12.356387164103406,0.0,1.1425545721305617
decision-curve,heavy,1100,400,q_emp,2000,0.9375,1100.0,0.005412658773652742,0.9974254545454545,0.9441668181818181,11.492348682204138,4.616617723206373,7.922032598128739,1.0950315595136602,2.832,2.832,0.0,0.9383154469203211,12.356387164103406,0.0,1.1425545721305617
decision-curve,heavy,1100,400,q_emp_hi,2000,0.9545,1100.0,0.004659922209651143,0.9998631818181818,0.9441668181818181,17.03011131032348,8.615538939102825,7.922032598128739,0.9254551412354505,0.1505,0.1505,0.0,0.9383154469203211,12.356387164103406,0.0,1.1425545721305617
decision-curve,heavy,1100,400,q_rad,2000,0.9045,1100.0,0.006571900410079265,0.9948918181818182,0.9441668181818181,7.924407849129744,3.972919699791939,7.922032598128739,1.992263268389669,5.619,5.619,0.0,0.9383154469203211,12.356387164103406,0.0,1.1425545721305617
decision-curve,nonzero,248,200,q_mult,2000,0.903,248.0,0.006617816860566631,0.9940201612903227,0.9401471774193548,7.318448097101212,3.676507965541826,4.433098570585929,1.2065971173768428,0.3715,25.32,1.5771091008420977,0.7456521955403024,11.493974105613415,0.0,1.1307305262744252
decision-curve,nonzero,248,200,q_mult_hi,2000,0.9065,248.0,0.006509905913298595,0.9941028225806451,0.9401471774193548,7.352653784727648,3.693717577194943,4.433098570585929,1.2000174176483431,0.3695,24.9295,1.5771091008420977,0.7456521955403024,11.493974105613415,0.0,1.1307305262744252
decision-curve,nonzero,248,200,q_emp,2000,0.9325,248.0,0.005609979946488223,0.9960907258064516,0.9401471774193548,9.775067659214821,4.152143197711,4.433098570585929,1.0904455548555825,0.239,14.6315,1.5771091008420977,0.7456521955403024,11.493974105613415,0.0,1.1307305262744252
decision-curve,nonzero,248,200,q_emp_hi,2000,0.964,248.0,0.0041655731898503495,0.9995766129032259,0.9401471774193548,15.300092452968885,7.691828181393291,4.433098570585929,0.791957430665408,0.0195,0.8735,1.5771091008420977,0.7456521955403024,11.493974105613415,0.0,1.1307305262744252
decision-curve,nonzero,248,200,q_rad,2000,0.8895,248.0,0.007010340576605391,0.9936673387096773,0.9401471774193548,7.147037581774511,3.5902399879679177,4.433098570585929,1.2364907870588004,0.39,27.2445,1.5771091008420977,0.7456521955403024,11.493974105613415,0.0,1.1307305262744252
decision-curve,nonzero,1100,400,q_mult,2000,0.921,1100.0,0.006031542091372652,0.9953690909090909,0.9457940909090908,8.062128286362851,4.038184650977716,4.796525003780486,1.185126675825669,1.124,80.6525,1.6156326760257047,0.9553424073014797,12.303343155722235,0.0,1.1650335137244148
