log,target,family,K,B,kurt_med,kurt_p90,kurt_max,rho_mean,absrho_mean,eff_rank,eff_rank_frac,q,q_emp,q_emp_lo,ratio,below,ceiling,q_emp_at_ceiling,share_draws_at_ceiling,n_degenerate,share_degenerate,n_degenerate_tau50,n_degenerate_tau75,n_degenerate_tau95,n_degenerate_tau99,n_lowdistinct_20,share_lowdistinct_20,adm_K,adm_B,adm_kurt_med,adm_kurt_p90,adm_kurt_max,adm_rho_mean,adm_absrho_mean,adm_eff_rank,adm_eff_rank_frac,adm_q,adm_q_emp,adm_q_emp_lo,adm_ratio,adm_below,adm_ceiling,adm_q_emp_at_ceiling,adm_share_draws_at_ceiling
BPIC13_closed,handover,whole-surface,180,80,0.082061502489851,1.7871552249113563,27.06568623266584,0.10671562157659384,0.2060032566327431,11.362362594563722,0.06312423663646512,3.3381739359880793,4.2666337130599565,3.6997262234567403,1.2781340322211396,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,0.082061502489851,1.7871552249113563,27.06568623266584,0.10671562157659384,0.2060032566327431,11.362362594563722,0.06312423663646512,3.3381739359880793,4.2666337130599565,3.6997262234567403,1.2781340322211396,True,8.83246851112417,False,0.0
BPIC13_closed,handover,decision-curve,1116,80,0.268823697393068,1.7525601632609913,64.302704892008,0.03537511860169716,0.11093783528318511,37.10777182419666,0.09276942956049165,3.852095444180845,5.955689669119683,5.045616609865669,1.5460908888217257,True,8.83246851112417,False,0.0,0,0.0,6,4,0,0,8,0.007168458781362007,1116,80,0.268823697393068,1.7525601632609913,64.302704892008,0.03625701509922494,0.1114142813958228,36.50971982133999,0.09127429955334998,3.852095444180845,5.955689669119683,5.045616609865669,1.5460908888217257,True,8.83246851112417,False,0.0
BPIC13_incidents,duration,whole-surface,180,80,0.3441842235598709,2.281631202499257,7.866959321681293,0.14022495351533487,0.1772835188066963,13.272546042224478,0.0737363669012471,3.353778843939488,4.138915906282547,3.5408076318218145,1.2341051986065974,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,0.3441842235598709,2.281631202499257,7.866959321681293,0.14022495351533487,0.1772835188066963,13.272546042224478,0.0737363669012471,3.353778843939488,4.138915906282547,3.5408076318218145,1.2341051986065974,True,8.83246851112417,False,0.0
BPIC13_incidents,duration,decision-curve,1116,80,0.3132457846237884,3.4032903951239626,27.185518247775196,0.03159407765124573,0.11163750956027584,38.02733405769575,0.09506833514423936,3.8782779108014838,4.971036428000571,4.777260336421786,1.2817638504336215,True,8.83246851112417,False,0.0,0,0.0,6,2,0,0,4,0.0035842293906810036,1116,80,0.3132457846237884,3.4032903951239626,27.185518247775196,0.03180458891408928,0.1094921617732055,40.09363636662588,0.1002340909165647,3.8782779108014838,4.971036428000571,4.777260336421786,1.2817638504336215,True,8.83246851112417,False,0.0
BPIC13_incidents,handover,whole-surface,180,80,0.3178394843908232,3.63928965969557,25.188910839316748,0.15954460440272578,0.19674786961661808,11.7454059124169,0.06525225506898277,3.330444900601863,4.039158839762282,3.745805525991819,1.212798578061551,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,0.3178394843908232,3.63928965969557,25.188910839316748,0.15954460440272578,0.19674786961661808,11.7454059124169,0.06525225506898277,3.330444900601863,4.039158839762282,3.745805525991819,1.212798578061551,True,8.83246851112417,False,0.0
BPIC13_incidents,handover,decision-curve,1087,80,0.24560855640474122,5.08991764363231,75.01265822784809,0.06265781996961518,0.12358161193246095,31.96137784518836,0.0799034446129709,3.8692350611036765,8.099757259613488,7.038845926501513,2.093374305696248,True,8.83246851112417,False,0.0125,15,0.013799448022079108,39,23,8,0,37,0.03403863845446182,1072,80,0.23357273199441186,4.408268395264044,59.498676478846434,0.06018569494802908,0.12359704652608874,31.734669033122735,0.07933667258280684,3.8635602176610657,6.437222288611513,5.704692128736487,1.6661374291995632,True,8.83246851112417,False,0.0
BPIC14,duration,whole-surface,480,150,0.10624390349270918,0.8407102837731412,38.06698141929996,0.15842820114015352,0.19635046013429758,11.147387247225565,0.027868468118063913,3.491564151024561,4.497892951489554,3.750982020567558,1.2882171877522848,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,480,150,0.10624390349270918,0.8407102837731412,38.06698141929996,0.158833308886811,0.19721606215250553,11.060696395643136,0.027651740989107842,3.491564151024561,4.497892951489554,3.750982020567558,1.2882171877522848,True,12.165799055823118,False,0.0
BPIC14,duration,decision-curve,2966,150,0.2640717514082578,3.622983548248798,145.00671140939602,0.0257577237027634,0.0851941076019657,55.14475869217491,0.13786189673043728,4.120802908943598,9.615117181913753,7.744874084546517,2.333311588633747,True,12.165799055823118,False,0.006666666666666667,18,0.006068779501011479,44,27,9,1,33,0.011126095751854349,2948,150,0.25887232515983105,3.376441217851426,139.07726973326888,0.02460967660352262,0.08356627320973238,57.94487742881919,0.14486219357204796,4.117916193576056,8.908785730035843,7.639823978264235,2.163420844730531,True,12.165799055823118,False,0.0
BPIC14,handover,whole-surface,480,150,0.48438877634633104,9.336765367442919,106.0424306383875,0.08913766254156948,0.13530329593962243,19.056290037130733,0.04764072509282683,3.569011767065125,6.364129402075658,4.8565010466147776,1.783162908232443,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,480,150,0.48438877634633104,9.336765367442919,106.0424306383875,0.09155604510496224,0.13700842452052178,19.012588345736866,0.04753147086434217,3.569011767065125,6.364129402075658,4.8565010466147776,1.783162908232443,True,12.165799055823118,False,0.0
BPIC14,handover,decision-curve,2853,150,0.8974303069637739,28.10863711246359,145.00671140939613,0.04569613896553224,0.1029110830948753,32.20389007307122,0.08050972518267806,4.083357211879106,12.165799055823118,12.165799055823118,2.9793619378757663,True,12.165799055823118,True,0.11333333333333333,276,0.09674027339642477,570,405,184,34,472,0.16543988783736419,2577,150,0.5929776990343085,9.112000267133565,141.20523158582935,0.058550218477142764,0.11510852279856727,27.48080487182511,0.06870201217956277,4.057889200376359,10.132826039047263,9.210524350922702,2.4970681895669964,True,12.165799055823118,False,0.0
