log,target,family,K,B,kurt_med,kurt_p90,kurt_max,rho_mean,absrho_mean,eff_rank,eff_rank_frac,q,q_emp,q_emp_lo,ratio,below,ceiling,q_emp_at_ceiling,share_draws_at_ceiling,n_degenerate,share_degenerate,n_degenerate_tau50,n_degenerate_tau75,n_degenerate_tau95,n_degenerate_tau99,n_lowdistinct_20,share_lowdistinct_20,adm_K,adm_B,adm_kurt_med,adm_kurt_p90,adm_kurt_max,adm_rho_mean,adm_absrho_mean,adm_eff_rank,adm_eff_rank_frac,adm_q,adm_q_emp,adm_q_emp_lo,adm_ratio,adm_below,adm_ceiling,adm_q_emp_at_ceiling,adm_share_draws_at_ceiling
BPIC13_closed,handover,whole-surface,180,400,0.46112492615836875,1.9850446608285484,16.951543086787773,0.11224051894544264,0.13585891527446833,15.098525097032935,0.0838806949835163,3.380257729643257,4.208576706888257,4.001083588852028,1.2450461010653227,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,0.46112492615836875,1.9850446608285484,16.951543086787773,0.11224051894544264,0.13585891527446833,15.098525097032935,0.0838806949835163,3.380257729643257,4.208576706888257,4.001083588852028,1.2450461010653227,True,19.95,False,0.0
BPIC13_closed,handover,decision-curve,1116,400,0.49669882242252816,2.8257902054844477,115.60507706441406,0.03109268818032036,0.06329136464183836,63.470186645340654,0.15867546661335163,3.9079865584209315,6.3050939929549825,5.886008593445712,1.6133868166380365,True,19.95,False,0.0,0,0.0,4,0,0,0,0,0.0,1116,400,0.49669882242252816,2.8257902054844477,115.60507706441406,0.030552433572866352,0.06377542429597326,62.79906243861296,0.15699765609653238,3.9079865584209315,6.3050939929549825,5.886008593445712,1.6133868166380365,True,19.95,False,0.0
BPIC13_incidents,duration,whole-surface,180,400,0.3788758057296777,2.7501780167650303,20.878130169509948,0.13875237044927188,0.16193242626300022,13.80093640496963,0.07667186891649794,3.3716754098108686,4.1380089960182005,3.8345771177849657,1.2272856942211763,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,0.3788758057296777,2.7501780167650303,20.878130169509948,0.13875237044927188,0.16193242626300022,13.80093640496963,0.07667186891649794,3.3716754098108686,4.1380089960182005,3.8345771177849657,1.2272856942211763,True,19.95,False,0.0
BPIC13_incidents,duration,decision-curve,1116,400,0.4717427264908891,4.951377076973772,33.06381797958237,0.03057341658431838,0.06788801695351303,61.693834181337216,0.15423458545334304,3.9110011737532138,6.370231097585179,6.005058084051688,1.6287980531266246,True,19.95,False,0.0,0,0.0,6,4,0,0,0,0.0,1116,400,0.4717427264908891,4.951377076973772,33.06381797958237,0.02875804872959557,0.06631366288041485,66.11058758788481,0.16527646896971201,3.9110011737532138,6.370231097585179,6.005058084051688,1.6287980531266246,True,19.95,False,0.0
BPIC13_incidents,handover,whole-surface,180,400,0.411796960715999,3.412678823153111,272.5895021686754,0.15030838310678812,0.1663773234684897,12.772710027249694,0.07095950015138719,3.3563810527501374,4.432862064108301,3.9115647987857254,1.32072669772585,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,0.411796960715999,3.412678823153111,272.5895021686754,0.15030838310678812,0.1663773234684897,12.772710027249694,0.07095950015138719,3.3563810527501374,4.432862064108301,3.9115647987857254,1.32072669772585,True,19.95,False,0.0
BPIC13_incidents,handover,decision-curve,1096,400,0.4556338839031522,12.109592361105111,395.00250626566407,0.04165501623031231,0.07151546744840014,57.07261663225178,0.14268154158062946,3.904605552689711,11.76436714210235,10.131952124679378,3.012946374057783,True,19.95,False,0.01,21,0.019160583941605802,53,34,14,7,14,0.012773722627737226,1075,400,0.44049213738742043,10.105358606420271,317.79298260853307,0.03937970975186083,0.07077486509745014,58.65705069154844,0.1466426267288711,3.895024363728478,8.718650825541397,7.53363145788375,2.238407263053817,True,19.95,False,0.0
BPIC14,duration,whole-surface,180,400,0.2278031041078954,1.356681729769793,3.7651430273169355,0.27095262122870123,0.282668773754566,5.987333860587909,0.03326296589215505,3.213905566292401,3.7091000366837292,3.455069107098049,1.1540787245228834,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,0.2278031041078954,1.356681729769793,3.7651430273169355,0.27095262122870123,0.282668773754566,5.987333860587909,0.03326296589215505,3.213905566292401,3.7091000366837292,3.455069107098049,1.1540787245228834,True,19.95,False,0.0
BPIC14,duration,decision-curve,1116,400,0.3759174398128189,8.944099038633652,151.93376053052805,0.046957626194213176,0.08097827327941359,42.85096558066126,0.10712741395165315,3.8893657089707636,8.44317656447011,8.07972668564332,2.1708363769948527,True,19.95,False,0.0,0,0.0,17,12,0,0,0,0.0,1116,400,0.3759174398128189,8.944099038633652,151.93376053052805,0.04516737524067401,0.08025843000879185,43.917579000699774,0.10979394750174944,3.8893657089707636,8.44317656447011,8.07972668564332,2.1708363769948527,True,19.95,False,0.0
BPIC14,handover,whole-surface,180,400,0.5153523172513712,7.89883222925922,23.51294314842975,0.17671559340268062,0.19354669866375016,10.388459248687177,0.057713662492706534,3.2655090097821646,4.767840631001943,4.125123672343679,1.46006047348802,True,19.95,False,0.0,0,0.0,0,0,0,0,0,0.0,180,400,0.5153523172513712,7.89883222925922,23.51294314842975,0.17671559340268062,0.19354669866375016,10.388459248687177,0.057713662492706534,3.2655090097821646,4.767840631001943,4.125123672343679,1.46006047348802,True,19.95,False,0.0
BPIC14,handover,decision-curve,1084,400,0.5810262239089485,28.424746606221586,395.0025062656643,0.1291374001099716,0.14786319656220348,16.619889210000807,0.04154972302500202,3.8153558678922583,12.254471635018685,10.681831345896867,3.211881685308821,True,19.95,False,0.01,47,0.04335793357933582,93,70,36,16,36,0.033210332103321034,1037,400,0.5220436613855837,18.00101245480906,247.56270710979805,0.1474128087238386,0.16388386692737622,14.614160308811407,0.03653540077202852,3.798827351935961,8.652142687129004,8.0414404616193,2.2775824973250476,True,19.95,False,0.0
