family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,degenerate,534,40,q_mult,2000,0.4375,533.292,0.01109264959331178,0.9890815076542967,0.9037544611952232,7.594075394893372,3.7596473443906198,9.699337703630707,2.583986187308696,5.8225,5.8225,0.0,0.6770143380664082,8.046627916896789,0.316
decision-curve,degenerate,534,40,q_mult_hi,2000,0.4415,533.292,0.011103552359492884,0.9892005166264918,0.9037544611952232,7.629826625803103,3.777373586131037,9.699337703630707,2.570087698181043,5.759,5.759,0.0,0.6770143380664082,8.046627916896789,0.316
decision-curve,degenerate,534,40,q_emp,2000,0.879,533.292,0.007292427579345577,0.9962039965256558,0.9037544611952232,11.098451781734054,5.415364715644765,9.699337703630707,1.8031375484031955,2.024,2.024,0.0,0.6770143380664082,8.046627916896789,0.316
decision-curve,degenerate,534,40,q_emp_hi,2000,0.8825,533.292,0.0072004774147274445,0.9975267281852508,0.9037544611952232,12.114844679201491,6.166441437328339,9.699337703630707,1.652053261058751,1.3185,1.3185,0.0,0.6770143380664082,8.046627916896789,0.316
decision-curve,degenerate,534,40,q_rad,2000,0.336,533.292,0.01056181802532121,0.9866087533026767,0.9037544611952232,7.0126424021448965,3.4696644547522775,9.699337703630707,2.7872158007879406,7.1415,7.1415,0.0,0.6770143380664082,8.046627916896789,0.316
decision-curve,degenerate,1100,80,q_mult,2000,0.517,1099.948,0.011173875782377394,0.9923922347725832,0.922750825882555,8.123314944656563,3.9811601847916522,9.47995692077729,2.3794257772501965,8.368,8.368,0.0,1.2833986600908258,10.084885114650417,0.005
decision-curve,degenerate,1100,80,q_mult_hi,2000,0.6675,1099.948,0.010534318914861084,0.9927354339679557,0.922750825882555,8.15732879012667,3.997668693280959,9.47995692077729,2.3699756965927423,7.9905,7.9905,0.0,1.2833986600908258,10.084885114650417,0.005
decision-curve,degenerate,1100,80,q_emp,2000,0.8975,1099.948,0.006782099601155973,0.9987016534480684,0.922750825882555,13.112648539519906,6.394024585965392,9.47995692077729,1.4953065717023293,1.428,1.428,0.0,1.2833986600908258,10.084885114650417,0.005
decision-curve,degenerate,1100,80,q_emp_hi,2000,0.9025,1099.948,0.006633014020790248,0.9995108710126669,0.922750825882555,15.351368966190476,7.260045638905352,9.47995692077729,1.259782833947219,0.538,0.538,0.0,1.2833986600908258,10.084885114650417,0.005
decision-curve,degenerate,1100,80,q_rad,2000,0.278,1099.948,0.010017884008112692,0.9908153379564403,0.922750825882555,7.690586833715304,3.768092999887157,9.47995692077729,2.5030683004107086,10.1025,10.1025,0.0,1.2833986600908258,10.084885114650417,0.005
decision-curve,degenerate,2966,150,q_mult,2000,0.856,2965.9985,0.007850605072222142,0.9952329737019554,0.9351916474399575,8.655002591817157,4.228773072558296,9.330267683054261,2.2107512246643553,14.139,14.139,0.0,2.0325796016589246,11.251809135035472,0.0
decision-curve,degenerate,2966,150,q_mult_hi,2000,0.86,2965.9985,0.00775886589650833,0.9952882670262979,0.9351916474399575,8.687630682353639,4.244649486885773,9.330267683054261,2.203039892165151,13.975,13.975,0.0,2.0325796016589246,11.251809135035472,0.0
decision-curve,degenerate,2966,150,q_emp,2000,0.904,2965.9985,0.006587260432076448,0.9997435940660824,0.9351916474399575,15.405930166380175,7.5407927372458525,9.330267683054261,1.254018609342985,0.7605,0.7605,0.0,2.0325796016589246,11.251809135035472,0.0
decision-curve,degenerate,2966,150,q_emp_hi,2000,0.9125,2965.9985,0.006318375978050056,0.9998787929871881,0.9351916474399575,16.910569518390336,8.221561885801552,9.330267683054261,1.1487726609688331,0.3595,0.3595,0.0,2.0325796016589246,11.251809135035472,0.0
decision-curve,degenerate,2966,150,q_rad,2000,0.8135,2965.9985,0.008709700052240605,0.9945874915711396,0.9351916474399575,8.323215369307873,4.066698352653281,9.330267683054261,2.295440453045829,16.0535,16.0535,0.0,2.0325796016589246,11.251809135035472,0.0
decision-curve,gaussian,534,40,q_mult,2000,0.758,534.0,0.009576951498258723,0.9994026217228464,0.9054850187265917,7.521245149639832,3.7834585641179967,4.342801790172383,1.1480026707347737,0.319,0.319,0.0,-0.2696486243243774,0.6502886348469358,0.0
decision-curve,gaussian,534,40,q_mult_hi,2000,0.765,534.0,0.009480901855836289,0.9994307116104869,0.9054850187265917,7.555687317578836,3.8007650773658463,4.342801790172383,1.1435474956713447,0.304,0.304,0.0,-0.2696486243243774,0.6502886348469358,0.0
decision-curve,gaussian,534,40,q_emp,2000,0.557,534.0,0.011107452453195558,0.9986357677902622,0.9054850187265917,6.974658649957713,3.5026875023132558,4.342801790172383,1.2466606077792004,0.7285,0.7285,0.0,-0.2696486243243774,0.6502886348469358,0.0
decision-curve,gaussian,534,40,q_emp_hi,2000,0.733,534.0,0.009892193892155572,0.9992986891385767,0.9054850187265917,7.502946990876598,3.752022869983808,4.342801790172383,1.1683819315324682,0.3745,0.3745,0.0,-0.2696486243243774,0.6502886348469358,0.0
decision-curve,gaussian,534,40,q_rad,2000,0.5965,534.0,0.010970135596244926,0.9988492509363297,0.9054850187265917,7.071524324708009,3.5573267200341894,4.342801790172383,1.221463364402471,0.6145,0.6145,0.0,-0.2696486243243774,0.6502886348469358,0.0
decision-curve,gaussian,1100,80,q_mult,2000,0.861,1100.0,0.0077355995242773526,0.999838181818182,0.9269554545454545,7.968943158534239,3.995822381209276,4.337941267503283,1.0857483471038418,0.178,0.178,0.0,-0.15620837488942374,0.5556917642163217,0.0
decision-curve,gaussian,1100,80,q_mult_hi,2000,0.8705,1100.0,0.007507654427316162,0.999849090909091,0.9269554545454545,8.002061632319421,4.012524220587636,4.337941267503283,1.0809104453165899,0.166,0.166,0.0,-0.15620837488942374,0.5556917642163217,0.0
decision-curve,gaussian,1100,80,q_emp,2000,0.7735,1100.0,0.009359427065798419,0.9996986363636364,0.9269554545454545,7.653384695574809,3.832170716752076,4.337941267503283,1.1338971712178167,0.3315,0.3315,0.0,-0.15620837488942374,0.5556917642163217,0.0
decision-curve,gaussian,1100,80,q_emp_hi,2000,0.9235,1100.0,0.005943389184631948,0.9999163636363637,0.9269554545454545,8.450268655913474,4.205793576370768,4.337941267503283,1.0396793103949775,0.092,0.092,0.0,-0.15620837488942374,0.5556917642163217,0.0
