family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,degenerate,248,200,q_mult,3,1.0,248.0,5.773502691896258e-07,1.0,0.9663978494623656,7.230960426481418,3.6903084142088107,3.397828615876202,0.9189924235988034,0.0,0.0,0.0,1.6725444899654076,14.003832783274447,0.0
decision-curve,degenerate,248,200,q_mult_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9663978494623656,7.265699048268723,3.7076303791250864,3.397828615876202,0.9148204265050528,0.0,0.0,0.0,1.6725444899654076,14.003832783274447,0.0
decision-curve,degenerate,248,200,q_emp,3,1.0,248.0,5.773502691896258e-07,1.0,0.9663978494623656,12.089719351407616,5.827625690975423,3.397828615876202,0.6139899760611421,0.0,0.0,0.0,1.6725444899654076,14.003832783274447,0.0
decision-curve,degenerate,248,200,q_emp_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9663978494623656,14.923404054589021,7.968600054590916,3.397828615876202,0.4325905696703862,0.0,0.0,0.0,1.6725444899654076,14.003832783274447,0.0
decision-curve,degenerate,248,200,q_rad,3,1.0,248.0,5.773502691896258e-07,1.0,0.9663978494623656,7.009982235833948,3.5751495940712923,3.397828615876202,0.9502329812846583,0.0,0.0,0.0,1.6725444899654076,14.003832783274447,0.0
decision-curve,degenerate,1100,400,q_mult,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9403030303030303,8.506584465573916,4.0413151778111045,3.9601818355722536,0.9804520893136702,0.0,0.0,0.0,3.093911527471223,11.110526893641758,0.0
decision-curve,degenerate,1100,400,q_mult_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9403030303030303,8.54023594952506,4.055983590958951,3.9601818355722536,0.9766153245399497,0.0,0.0,0.0,3.093911527471223,11.110526893641758,0.0
decision-curve,degenerate,1100,400,q_emp,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9403030303030303,15.895493208295962,7.5164377208844595,3.9601818355722536,0.5280130802277612,0.0,0.0,0.0,3.093911527471223,11.110526893641758,0.0
decision-curve,degenerate,1100,400,q_emp_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9403030303030303,16.82262101968689,7.960432640071786,3.9601818355722536,0.4986569150882149,0.0,0.0,0.0,3.093911527471223,11.110526893641758,0.0
decision-curve,degenerate,1100,400,q_rad,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9403030303030303,8.376886787049001,3.9757547892195855,3.9601818355722536,0.9960367768498187,0.0,0.0,0.0,3.093911527471223,11.110526893641758,0.0
decision-curve,gaussian,248,200,q_mult,3,1.0,248.0,5.773502691896258e-07,1.0,0.9556451612903226,7.342649209730813,3.674140676270818,3.0190206286268584,0.8247754389984167,0.0,0.0,0.0,-0.08985034134956038,0.37228833284584306,0.0
decision-curve,gaussian,248,200,q_mult_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9556451612903226,7.381019642802468,3.692619593509747,3.0190206286268584,0.8198781491484985,0.0,0.0,0.0,-0.08985034134956038,0.37228833284584306,0.0
decision-curve,gaussian,248,200,q_emp,3,1.0,248.0,5.773502691896258e-07,1.0,0.9556451612903226,7.087063413152312,3.507489337104654,3.0190206286268584,0.8423691487807698,0.0,0.0,0.0,-0.08985034134956038,0.37228833284584306,0.0
