log,target,metric,split_set,S_learner,S_quality,S_rung,largest_first_order,largest_first_order_axis,interaction_total,var_foldavg,var_pooled,var_ratio,n_folds
BPIC13_closed,handover,ap,all,0.16824854605720904,0.19998194976312075,0.3082794880847046,0.3082794880847046,rung,0.32349001609496564,0.00015074961766097254,0.0009408256657493028,0.16023119175953907,6
BPIC13_closed,handover,auc,all,0.3478798829856417,0.15719662128733689,0.22275524547367812,0.3478798829856417,learner,0.27216825025334335,9.705062172885216e-05,0.0009362418989708009,0.10365977194092542,6
BPIC13_closed,handover,brier_skill,all,0.24038881411201984,0.06287205869275621,0.24555390354597678,0.24555390354597678,rung,0.4511852236492472,0.0033962383486289397,0.00741572905369847,0.45797767475540696,6
BPIC13_closed,handover,logloss_skill,all,0.4454444051651553,0.065320930742442,0.19273806274439595,0.4454444051651553,learner,0.2964966013480067,0.009220044993782726,0.021268113670565386,0.43351493868227114,6
BPIC13_closed,handover,nagelkerke,all,0.43420519877740826,0.07360552254427205,0.18667067757108666,0.43420519877740826,learner,0.30551860110723306,0.15207918030280262,0.37816188676966483,0.4021536427213585,6
BPIC13_incidents,duration,ap,all,0.012454979568751438,0.4158513001668951,0.4111816020388067,0.4158513001668951,quality_level,0.16051211822554678,0.0002642012469621347,0.0010048294838807578,0.26293142388871943,6
BPIC13_incidents,duration,auc,all,0.08148387595943148,0.4091868718141444,0.405478783283922,0.4091868718141444,quality_level,0.10385046894250205,0.00044938744869067276,0.0014235994652745324,0.3156698633656842,6
BPIC13_incidents,duration,brier_skill,all,0.5466154350862451,0.07876297225616292,0.10651356606417343,0.5466154350862451,learner,0.2681080265934186,0.0005496983490422695,0.002696665360723583,0.20384373865905694,6
BPIC13_incidents,duration,logloss_skill,all,0.49152701129616544,0.0944574905375508,0.1792984796338398,0.49152701129616544,learner,0.23471701853244398,0.0018716690149783546,0.011719631285477298,0.15970374573965349,6
BPIC13_incidents,duration,nagelkerke,all,0.26980772746527004,0.21959793929378513,0.0282176253301658,0.26980772746527004,learner,0.482376707910779,0.4102395484222325,3.091380202467546,0.13270433319550226,6
BPIC13_incidents,handover,ap,all,0.01953643153258851,0.11557857590115073,0.8117276066200982,0.8117276066200982,rung,0.05315738594616248,0.0012232814805216608,0.001432137615725665,0.8541647583928751,6
BPIC13_incidents,handover,auc,all,0.029430865729708676,0.23519287628253963,0.6506146886147028,0.6506146886147028,rung,0.0847615693730489,0.0013062051074780436,0.0015962770926604565,0.8182821851443345,6
BPIC13_incidents,handover,brier_skill,all,0.00884155152404865,0.6006436202481683,0.29245269774885335,0.6006436202481683,quality_level,0.09806213047892964,0.0017538451320040119,0.0030397846605916394,0.5769636101994993,6
BPIC13_incidents,handover,logloss_skill,all,0.5140993855386785,0.1974755870603914,0.022645516564854067,0.5140993855386785,learner,0.265779510836076,0.0038172434669728724,0.023159528463497506,0.16482388546853857,6
BPIC13_incidents,handover,nagelkerke,all,0.4036377472913222,0.13949572377344127,0.027200296526806486,0.4036377472913222,learner,0.42966623240843005,0.12149429772725262,0.9052673830426903,0.1342081908650002,6
BPIC14,duration,ap,all,0.09916048842279318,0.17115441023378541,0.5835744246647724,0.5835744246647724,rung,0.14611067667864908,0.002664753610553105,0.0028658443239684334,0.9298319480463366,6
BPIC14,duration,auc,all,0.011791995057883876,0.18358503149797484,0.632091275563937,0.632091275563937,rung,0.17253169788020428,0.0018884704647464446,0.0019830354900698417,0.9523129939948445,6
BPIC14,duration,brier_skill,all,0.25436598615613076,0.15709181230756125,0.3771337842371787,0.3771337842371787,rung,0.2114084172991293,0.0027028675194598634,0.0028400520394278226,0.9516964766618863,6
BPIC14,duration,logloss_skill,all,0.2755308317803093,0.15880525313199662,0.3605464971113507,0.3605464971113507,rung,0.20511741797634342,0.0017692247432027962,0.0018650525269634994,0.9486192574336119,6
BPIC14,duration,nagelkerke,all,0.2719080638488802,0.15534936375310388,0.36825447418333407,0.36825447418333407,rung,0.20448809821468183,0.004651097074239288,0.0049138100007386,0.9465357988078856,6
BPIC14,handover,ap,all,0.4863484095080808,0.0366190052404965,0.27463960280172733,0.4863484095080808,learner,0.2023929824496954,0.0002086915001975352,0.00021966723328240313,0.9500347278888082,6
BPIC14,handover,auc,all,0.38344338627972946,0.07480151027955892,0.3309216284998972,0.38344338627972946,learner,0.2108334749408144,0.009601709181931425,0.009960747131741329,0.9639547169442964,6
BPIC14,handover,brier_skill,all,0.30585805532160515,0.1620573420478033,0.30493495825310335,0.30585805532160515,learner,0.2271496443774882,0.01047818755730346,0.010811033065487693,0.9692124234411249,6
BPIC14,handover,logloss_skill,all,0.32376154476924146,0.13844674159594186,0.3187214111240645,0.32376154476924146,learner,0.2190703025107522,0.013311057705457567,0.013833730668357963,0.9622174975477936,6
BPIC14,handover,nagelkerke,all,0.324500403337315,0.13063198902283626,0.32703919245163354,0.32703919245163354,rung,0.21782841518821516,0.017601468983513235,0.018169320439264135,0.9687466871615206,6
