log,target,n_cells,n_beneficial,n_harmful,n_unresolved,rho,region,region_nominal_q,region_within_instrument,n_beneficial_wi,n_harmful_wi,n_unresolved_wi,rho_within_instrument,n_resolved_whole,n_resolved_within,n_cells_within,share_positive,q,q_hi,q_emp,q_op,operative,n_draws,region_mult,n_beneficial_mult,n_harmful_mult,n_unresolved_mult,rho_mult,n_resolved_mult,region_emp,n_beneficial_emp,n_harmful_emp,n_unresolved_emp,rho_emp,n_resolved_emp,region_emphi,n_beneficial_emphi,n_harmful_emphi,n_unresolved_emphi,rho_emphi,n_resolved_emphi,cells,beneficial_cal,harmful_cal,unresolved_cal,rho_calibrated,region_calibrated,n_family,share_beneficial,share_harmful,share_unresolved,share_resolved,region_min01,changed_min01,region_min05,changed_min05,region_min10,changed_min10
BPIC13_closed,handover,180,0,0,180,0.0,unresolved,unresolved,conditionally harmful,0,2,178,-0.0111111111111111,0,2,180,0.4833333333333333,3.380257729643257,3.3994622277963,4.208576706888257,4.208576706888257,emp,400,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,180,0,0,180,0.0,unresolved,180,0.0,0.0,1.0,0.0,unresolved,False,unresolved,False,unresolved,False
BPIC13_incidents,duration,180,12,0,168,0.0666666666666666,conditionally beneficial,conditionally beneficial,conditionally beneficial,37,0,143,0.2055555555555555,12,37,180,0.6666666666666666,3.371675409810869,3.3913872260103672,4.1380089960182005,4.1380089960182005,emp,400,conditionally beneficial,19,0,161,0.1055555555555555,19,conditionally beneficial,12,0,168,0.0666666666666666,12,conditionally beneficial,5,0,175,0.0277777777777777,5,180,12,0,168,0.0666666666666666,conditionally beneficial,180,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666665,conditionally beneficial,False,conditionally beneficial,False,unresolved (below minimum share),True
BPIC13_incidents,handover,180,72,0,108,0.4,conditionally beneficial,conditionally beneficial,conditionally beneficial,100,0,80,0.5555555555555556,72,100,180,0.9944444444444444,3.3563810527501374,3.3777999165074086,4.432862064108301,4.432862064108301,emp,400,conditionally beneficial,86,0,94,0.4777777777777778,86,conditionally beneficial,72,0,108,0.4,72,conditionally beneficial,68,0,112,0.3777777777777777,68,180,72,0,108,0.4,conditionally beneficial,180,0.4,0.0,0.6,0.4,conditionally beneficial,False,conditionally beneficial,False,conditionally beneficial,False
BPIC14,duration,180,180,0,0,1.0,uniformly beneficial,uniformly beneficial,uniformly beneficial,180,0,0,1.0,180,180,180,1.0,3.213905566292401,3.236173864713926,3.7091000366837297,3.7091000366837297,emp,400,uniformly beneficial,180,0,0,1.0,180,uniformly beneficial,180,0,0,1.0,180,uniformly beneficial,180,0,0,1.0,180,180,180,0,0,1.0,uniformly beneficial,180,1.0,0.0,0.0,1.0,uniformly beneficial,False,uniformly beneficial,False,uniformly beneficial,False
BPIC14,handover,180,171,0,9,0.95,conditionally beneficial,conditionally beneficial,uniformly beneficial,180,0,0,1.0,171,180,180,1.0,3.2655090097821646,3.2836344864473688,4.767840631001943,4.767840631001943,emp,400,conditionally beneficial,179,0,1,0.9944444444444444,179,conditionally beneficial,171,0,9,0.95,171,conditionally beneficial,166,0,14,0.9222222222222224,166,180,171,0,9,0.95,conditionally beneficial,180,0.95,0.0,0.05,0.95,conditionally beneficial,False,conditionally beneficial,False,conditionally beneficial,False
BPIC15_1,duration,180,0,0,180,0.0,unresolved,conditionally beneficial,conditionally beneficial,10,0,170,0.0555555555555555,0,10,180,0.5166666666666667,3.3616778943795227,3.3780332596162572,5.485471042895894,5.485471042895894,emp,400,conditionally beneficial,5,0,175,0.0277777777777777,5,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,180,0,0,180,0.0,unresolved,180,0.0,0.0,1.0,0.0,unresolved,False,unresolved,False,unresolved,False
BPIC15_1,handover,180,0,0,180,0.0,unresolved,conditionally beneficial,sign-changing,12,1,167,0.0611111111111111,0,13,180,0.8166666666666667,3.3773864655837693,3.398174649482125,6.083631594191884,6.083631594191884,emp,400,conditionally beneficial,2,0,178,0.0111111111111111,2,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,180,0,0,180,0.0,unresolved,180,0.0,0.0,1.0,0.0,unresolved,False,unresolved,False,unresolved,False
BPIC15_3,duration,180,2,0,178,0.0111111111111111,conditionally beneficial,conditionally beneficial,sign-changing,54,3,123,0.2833333333333333,2,57,180,0.8,3.3620860996861377,3.3804280853151143,4.667006592701328,4.667006592701328,emp,400,conditionally beneficial,27,0,153,0.15,27,conditionally beneficial,2,0,178,0.0111111111111111,2,unresolved,0,0,180,0.0,0,180,2,0,178,0.0111111111111111,conditionally beneficial,180,0.011111111111111112,0.0,0.9888888888888889,0.011111111111111072,conditionally beneficial,False,unresolved (below minimum share),True,unresolved (below minimum share),True
BPIC15_3,handover,180,0,4,176,-0.0222222222222222,conditionally harmful,sign-changing,sign-changing,4,6,170,-0.0111111111111111,4,10,180,0.4111111111111111,3.3450691091179956,3.364646433630031,5.032447586235664,5.032447586235664,emp,400,sign-changing,2,6,172,-0.0222222222222222,8,conditionally harmful,0,4,176,-0.0222222222222222,4,conditionally harmful,0,3,177,-0.0166666666666666,3,180,0,4,176,-0.0222222222222222,conditionally harmful,180,0.0,0.022222222222222223,0.9777777777777777,0.022222222222222254,conditionally harmful,False,unresolved (below minimum share),True,unresolved (below minimum share),True
BPIC15_4,duration,180,0,0,180,0.0,unresolved,unresolved,conditionally beneficial,2,0,178,0.0111111111111111,0,2,180,0.5833333333333334,3.409403695949947,3.428652877570033,5.846539281672141,5.846539281672141,emp,400,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,180,0,0,180,0.0,unresolved,180,0.0,0.0,1.0,0.0,unresolved,False,unresolved,False,unresolved,False
