log,target,n_rung_all,n_rung_realistic,spread_all,spread_realistic,v_reference,exceeds_increment_all,exceeds_increment_realistic
BPIC13_closed,handover,3,2,0.0206765030613268,0.0005394961357020993,-0.0090710629328516,True,False
BPIC13_incidents,duration,3,2,0.07323546196342309,0.016917843622923704,0.027784583391845,True,False
BPIC13_incidents,handover,3,2,0.08400374696936319,0.0057956306192204,0.037250106092855,True,False
BPIC14,duration,4,3,0.1315966737480798,0.1315966737480798,0.0958803081752529,True,True
BPIC14,handover,4,3,0.2520841202846142,0.2494959725216366,0.1672715325675343,True,True
BPIC15_1,duration,3,2,0.1307925779905503,0.0015332144309895001,0.0010951531649926,True,True
BPIC15_1,handover,3,2,0.0909739666590543,0.0033683489381137,0.0070792418360356,True,False
BPIC15_3,duration,3,2,0.08760982203198911,0.0008785762559136989,0.0353795899977472,True,False
BPIC15_3,handover,3,2,0.09768276762402081,0.0011422976501303998,-0.0030352480417754,True,False
BPIC15_4,duration,3,2,0.010922678930727202,0.0008048289738429998,0.0347513653348663,False,False
BPIC15_4,handover,3,2,0.0199860966284325,0.0199860966284325,0.0014772332290581,True,True
BPIC15_5,duration,3,2,0.1162227109807755,0.016454871293580902,0.0319525904203322,True,False
BPIC17,duration,3,2,0.0237383157068151,0.0028325918749535998,0.0020866192318349,True,True
BPIC19,duration,3,2,0.0967028050197842,0.021755811230891996,0.0244227786104798,True,False
Helpdesk,duration,3,2,0.0068826473859845,0.002139128946692999,-0.0195227603319928,False,False
RoadFines,duration,3,2,0.028691359399836996,0.0042132588127833,0.0306235441798622,False,False
Sepsis,duration,3,2,0.065612244897959,0.005489795918367096,0.1527346938775511,False,False
UCI498,duration,3,2,0.0665849331996311,0.0073580279072341,-0.0068683019845929,True,True
UCI498,handover,3,2,0.0507609791004641,0.009354963179757399,-0.0033327841374403,True,True
