log,target,domain,n,learners,splits,quality,rungs,n_learners,n_splits,n_quality,n_rungs,n_scalar_metrics,n_thresholds,draws,cells,scalar_cells,balanced,missing_rungs
BPIC14,duration,itsm,46606,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC14,handover,itsm,46606,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC13_closed,handover,itsm,1487,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC13_incidents,duration,itsm,7554,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC13_incidents,handover,itsm,7554,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_1,duration,permitting,1199,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_1,handover,permitting,1199,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_3,duration,permitting,1409,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_3,handover,permitting,1409,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_4,duration,permitting,1053,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_4,handover,permitting,1053,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC15_5,duration,permitting,1156,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC17,duration,lending,31509,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
BPIC19,duration,procurement,251734,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
Helpdesk,duration,itsm,4580,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
RoadFines,duration,enforcement,150370,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
Sepsis,duration,healthcare,1050,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
UCI498,duration,itsm,24918,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
UCI498,handover,itsm,24918,logit|hgb,holdout70|rolling5,clean@1.00|mask_rare@0.50|stale@1.00,B_half|B_intake|B_intake_g,2,2,3,3,5,31,400,36,180,True,
