scheme,log,target,rows,draws,seconds
weighted,BPIC14,duration,6480,4,9.212260007858276
weighted,BPIC14,handover,6480,4,7.787415027618408
weighted,BPIC13_closed,handover,6480,4,3.5519232749938965
weighted,BPIC13_incidents,duration,6480,4,4.796546936035156
weighted,BPIC13_incidents,handover,6480,4,4.9812397956848145
weighted,BPIC15_1,duration,6480,4,3.7130367755889893
weighted,BPIC15_1,handover,6480,4,3.6323559284210205
weighted,BPIC15_3,duration,6480,4,3.89872407913208
weighted,BPIC15_3,handover,6480,4,3.809244155883789
weighted,BPIC15_4,duration,6480,4,3.508408784866333
weighted,BPIC15_4,handover,6480,4,3.511539936065674
weighted,BPIC15_5,duration,6480,4,3.517408609390259
weighted,BPIC17,duration,6480,4,4.107774972915649
weighted,BPIC19,duration,6480,4,75.35731601715088
weighted,Helpdesk,duration,6480,4,4.506686210632324
weighted,RoadFines,duration,6480,4,16.064808130264282
weighted,Sepsis,duration,6480,4,5.013643026351929
weighted,UCI498,duration,6480,4,8.473196029663086
weighted,UCI498,handover,6480,4,7.7466840744018555
multinomial,BPIC14,duration,6480,4,9.048919916152954
multinomial,BPIC14,handover,6480,4,7.533714056015015
multinomial,BPIC13_closed,handover,6480,4,3.096648931503296
multinomial,BPIC13_incidents,duration,6480,4,4.375381946563721
multinomial,BPIC13_incidents,handover,6480,4,4.560266971588135
multinomial,BPIC15_1,duration,6480,4,3.17315673828125
multinomial,BPIC15_1,handover,6480,4,3.0058839321136475
multinomial,BPIC15_3,duration,6480,4,3.2639598846435547
multinomial,BPIC15_3,handover,6480,4,3.231794834136963
multinomial,BPIC15_4,duration,6480,4,3.034557819366455
multinomial,BPIC15_4,handover,6480,4,2.9385972023010254
multinomial,BPIC15_5,duration,6480,4,3.0213029384613037
multinomial,BPIC17,duration,6480,4,4.072740793228149
multinomial,BPIC19,duration,6480,4,70.08416628837585
multinomial,Helpdesk,duration,6480,4,4.292429208755493
multinomial,RoadFines,duration,6480,4,17.296545028686523
multinomial,Sepsis,duration,6480,4,3.737009048461914
multinomial,UCI498,duration,6480,4,9.145445108413696
multinomial,UCI498,handover,6480,4,7.6785101890563965
