log,target,block,n,prevalence,base_auc,with_auc,V,unseen_share,V_whole,spread_null_median,spread_percentile,n_perm
BPIC14,duration,0,2796,0.4467095851216023,0.6491898108014529,0.7186716406091906,0.06948182980773776,0.029327610872675252,0.0957540325426165,0.021447776503099536,0.98,400
BPIC14,duration,1,2796,0.46494992846924177,0.6546110139860141,0.7666256170300288,0.11201460304401478,0.03612303290414878,0.0957540325426165,0.021447776503099536,0.98,400
BPIC14,duration,2,2797,0.4351090454057919,0.667124231613326,0.771912411720042,0.10478818010671598,0.05041115480872363,0.0957540325426165,0.021447776503099536,0.98,400
BPIC14,duration,3,2796,0.4520743919885551,0.6587700779984796,0.7530920014376838,0.0943219234392042,0.08118741058655221,0.0957540325426165,0.021447776503099536,0.98,400
BPIC14,duration,4,2797,0.3375044690740079,0.6313184871989537,0.7330731429564518,0.10175465575749809,0.06828745084018592,0.0957540325426165,0.021447776503099536,0.98,400
BPIC14,handover,0,2796,0.9502861230329042,0.7317957451878165,0.8920172856821806,0.1602215404943641,0.029327610872675252,0.16727153256753435,0.047340228357933445,0.135,400
BPIC14,handover,1,2796,0.9556509298998569,0.7367714168437318,0.8990999855128453,0.1623285686691135,0.03612303290414878,0.16727153256753435,0.047340228357933445,0.135,400
BPIC14,handover,2,2797,0.9442259563818377,0.7627112884591112,0.9292189729997379,0.1665076845406267,0.05041115480872363,0.16727153256753435,0.047340228357933445,0.135,400
BPIC14,handover,3,2796,0.9366952789699571,0.7103953507937432,0.8943077855652847,0.1839124347715415,0.08118741058655221,0.16727153256753435,0.047340228357933445,0.135,400
BPIC14,handover,4,2797,0.9392205934930282,0.7256644797241317,0.8829776752726214,0.15731319554848966,0.06828745084018592,0.16727153256753435,0.047340228357933445,0.135,400
BPIC13_closed,handover,0,89,0.29213483146067415,0.7631257631257632,0.7380952380952381,-0.025030525030525053,0.1797752808988764,-0.009071062932851648,0.054020633838784304,0.515,400
BPIC13_closed,handover,1,89,0.2808988764044944,0.8121875000000001,0.8209375,0.008749999999999925,0.19101123595505617,-0.009071062932851648,0.054020633838784304,0.515,400
BPIC13_closed,handover,2,90,0.2777777777777778,0.7538461538461538,0.7101538461538461,-0.0436923076923077,0.18888888888888888,-0.009071062932851648,0.054020633838784304,0.515,400
BPIC13_closed,handover,3,89,0.2808988764044944,0.748125,0.74625,-0.001875000000000071,0.2696629213483146,-0.009071062932851648,0.054020633838784304,0.515,400
BPIC13_closed,handover,4,90,0.24444444444444444,0.785427807486631,0.7967914438502675,0.011363636363636465,0.16666666666666666,-0.009071062932851648,0.054020633838784304,0.515,400
BPIC13_incidents,duration,0,453,0.17439293598233996,0.689788803899005,0.7282204020848845,0.03843159818587949,0.04856512141280353,0.027784583391845086,0.04320467524543947,0.7675,400
BPIC13_incidents,duration,1,453,0.19646799116997793,0.644477713297938,0.699716014322756,0.05523830102481797,0.04856512141280353,0.027784583391845086,0.04320467524543947,0.7675,400
BPIC13_incidents,duration,2,454,0.13656387665198239,0.703711323238973,0.7008311389071759,-0.002880184331797153,0.06167400881057269,0.027784583391845086,0.04320467524543947,0.7675,400
BPIC13_incidents,duration,3,453,0.09492273730684327,0.6693420306296087,0.6847419171866138,0.015399886557005082,0.052980132450331126,0.027784583391845086,0.04320467524543947,0.7675,400
BPIC13_incidents,duration,4,454,0.16740088105726872,0.6694862155388471,0.69494917850181,0.02546296296296291,0.04405286343612335,0.027784583391845086,0.04320467524543947,0.7675,400
