log,target,n_blocks,V_whole,V_min,V_max,spread,sign_varies,trend_rho,trend_p,interval_width,spread_over_width,spread_null_median,spread_over_null,spread_percentile,drifts,prevalence_spread,unseen_first,unseen_last
BPIC13_closed,handover,5,-0.009071062932851648,-0.0436923076923077,0.011363636363636465,0.05505594405594416,True,0.49999999999999994,0.39100221895577053,0.059170033649628404,0.930470048098239,0.054020633838784304,1.019165088292921,0.515,False,0.04769038701622971,0.1797752808988764,0.16666666666666666
BPIC13_incidents,duration,5,0.027784583391845086,-0.002880184331797153,0.05523830102481797,0.058118485356615124,True,-0.49999999999999994,0.39100221895577053,0.0467054879924303,1.2443609488896585,0.04320467524543947,1.3451897283442698,0.7675,False,0.10154525386313466,0.04856512141280353,0.04405286343612335
BPIC13_incidents,handover,5,0.037251339730705046,0.03248102359451166,0.04234787550271035,0.009866851908198693,False,-0.49999999999999994,0.39100221895577053,0.0202498700829541,0.4872550721450995,0.022275920514420344,0.4429380102075411,0.0325,False,0.09050772626931558,0.04856512141280353,0.04405286343612335
BPIC14,duration,5,0.0957540325426165,0.06948182980773776,0.11201460304401478,0.04253277323627702,False,0.09999999999999999,0.8728885715695383,0.019105989559901296,2.226148669396465,0.021447776503099536,1.983085436857773,0.98,True,0.12744545939523388,0.029327610872675252,0.06828745084018592
BPIC14,handover,5,0.16727153256753435,0.15731319554848966,0.1839124347715415,0.02659923922305185,False,0.0,1.0,0.061677453593862286,0.4312635764473069,0.047340228357933445,0.5618739103229158,0.135,False,0.018955650929899814,0.029327610872675252,0.06828745084018592
BPIC15_1,duration,5,0.001095153164992646,-0.07675111773472432,0.10264635124298305,0.17939746897770736,True,-0.09999999999999999,0.8728885715695383,0.0753249584090558,2.381647102989169,0.06877258391076246,2.608560835964647,1.0,True,0.5277777777777778,0.05555555555555555,0.16666666666666666
BPIC15_1,handover,5,0.007079241836035699,0.0017636684303350414,0.012087912087912045,0.010324243657577004,False,0.09999999999999999,0.8728885715695383,0.028127104399568698,0.3670567546133656,0.020986171427130995,0.4919546041747179,0.0675,False,0.26388888888888895,0.05555555555555555,0.16666666666666666
BPIC15_3,duration,5,0.03537958999774726,-0.013329551900170045,0.037694013303769314,0.05102356520393936,True,0.09999999999999999,0.8728885715695383,0.0700971340484281,0.7278980217463475,0.06813362864525663,0.7488749127042356,0.225,False,0.1943977591036415,0.047619047619047616,0.08235294117647059
BPIC15_3,handover,5,-0.0030352480417754624,-0.05311355311355326,0.048523206751054815,0.10163675986460807,True,0.0,1.0,0.1048515933627526,0.9693392022472921,0.07372630719149709,1.3785684342037672,0.835,False,0.08235294117647063,0.047619047619047616,0.08235294117647059
BPIC15_4,duration,4,0.034751365334866335,-0.036111111111111205,0.043269230769230727,0.07938034188034193,True,-0.39999999999999997,0.6,0.0683724908966255,1.1609982441675197,0.047733975304152354,1.6629736235992203,0.9275,False,0.5555555555555556,0.031746031746031744,0.015625
BPIC15_4,handover,5,0.001477233229058128,-0.04137931034482745,0.020467836257309968,0.061847146602137415,True,0.6668859288553501,0.21889398131323165,0.0818804930028122,0.7553343212041147,0.03792446317767162,1.6307982083329922,0.92,False,0.2810019841269841,0.031746031746031744,0.015625
BPIC15_5,duration,4,0.03195259042033227,0.017636684303350858,0.10690789473684204,0.08927121043349118,False,0.6000000000000001,0.3999999999999999,0.125950402481293,0.7087806682217657,0.10553980025400675,0.8458535094688324,0.355,False,0.45714285714285713,0.057971014492753624,0.08571428571428572
BPIC17,duration,5,0.002086619231834952,-0.010403382777367631,0.011423240060526751,0.021826622837894383,True,-0.6,0.28475697986529375,0.013089272867909799,1.6675198888553566,0.014998280936568686,1.4552749698585048,0.865,False,0.07431861868667788,0.015343915343915344,0.013220518244315178
BPIC19,duration,4,0.024044050203440803,-0.03738466331007806,0.06297572677111563,0.10036039008119368,True,-0.7999999999999999,0.20000000000000007,0.032814385533799395,3.058426615297145,0.010291820719962097,9.751470882750015,1.0,True,0.4120762711864407,0.0025820974576271187,0.023171135385633895
Helpdesk,duration,5,-0.01952276033199285,-0.10320429407937548,0.014694635638588416,0.1178989297179639,True,0.3,0.6238376647810728,0.0362750326328718,3.250139866480118,0.04173016964535625,2.825268402211821,1.0,True,0.16727272727272724,0.08759124087591241,0.23636363636363636
RoadFines,duration,5,0.030542277158241093,0.025403277508039612,0.06896482031845108,0.04356154281041147,False,0.9999999999999999,1.4042654220543672e-24,0.012497077789554799,3.4857383097047463,0.011501412166790792,3.78749515091644,1.0,True,0.2732487898300147,0.00011084016847705608,0.0014407624958439544
Sepsis,duration,5,0.15273469387755112,0.10598377281947258,0.22993827160493818,0.1239544987854656,False,0.6,0.28475697986529375,0.09645453392760059,1.2851080580463607,0.10476716581665407,1.1831426174340727,0.645,False,0.09523809523809523,0.031746031746031744,0.1111111111111111
UCI498,duration,5,-0.007152364931399369,-0.0150994717320444,0.009401064830929062,0.024500536562973463,True,0.09999999999999999,0.8728885715695383,0.0168898413540265,1.450607856487213,0.012669017574893915,1.9338939596647153,0.99,True,0.03792141362473844,0.1117056856187291,0.20320855614973263
UCI498,handover,5,-0.0033335921385313494,-0.004538349691021404,-0.0016380761287381196,0.0029002735622832843,False,-0.6,0.28475697986529375,0.0061829461336225,0.46907631080784706,0.005015684232259066,0.5782408596677148,0.095,False,0.08330307799617265,0.1117056856187291,0.20320855614973263
