learner,split,quality,level,rung,metric,log,target,scheme,V,boot_median,displacement,se,n_draws,lo,hi,width,excludes_point,resolved
hgb,holdout70,clean,1.0,B_half,ap,BPIC13_closed,handover,multinomial,-0.0252971266992052,-0.010056230277915551,0.01524089642128965,0.041078055575699456,400,-0.12914574616087504,0.02668063527064516,0.1558263814315202,False,False
hgb,holdout70,clean,1.0,B_half,auc,BPIC13_closed,handover,multinomial,-0.0169753086419753,0.00424462965168545,0.02121993829366075,0.06242735995649842,400,-0.1762746133547048,0.07068564270785092,0.24696025606255573,False,False
hgb,holdout70,clean,1.0,B_half,brier_skill,BPIC13_closed,handover,multinomial,-0.1911523518920665,-0.244304300962281,-0.053151949070214505,0.13078559112535798,400,-0.3826630549210003,0.1339919044151135,0.5166549593361138,False,False
hgb,holdout70,clean,1.0,B_half,logloss_skill,BPIC13_closed,handover,multinomial,-0.181968743745752,-0.5652623463881763,-0.3832936026424243,0.2703459007380332,400,-0.316974180625187,0.750194086866113,1.0671682674913,False,False
hgb,holdout70,clean,1.0,B_half,nagelkerke,BPIC13_closed,handover,multinomial,-0.6212913126510119,-2.491029273722126,-1.869737961071114,2.017343541113433,400,-1.0727162456567216,7.2513586949451145,8.324074940601836,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.050,BPIC13_closed,handover,multinomial,-0.0008242081714353,-0.02819969386553625,-0.027375485694100952,0.021146783421089735,400,-0.001792652772871696,0.07606558342164127,0.07785823619451296,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.075,BPIC13_closed,handover,multinomial,-0.000786020920249,-0.03116875264526265,-0.03038273172501365,0.022731071892443985,400,-0.0024275953806152115,0.08217244089727327,0.08460003627788848,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.100,BPIC13_closed,handover,multinomial,-0.0007457121551081,-0.0325627641063882,-0.031817051951280095,0.025163661695020677,400,-0.007475764354958787,0.08083519761372107,0.08831096196867985,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.125,BPIC13_closed,handover,multinomial,-0.0006391818472354,-0.0306807286673058,-0.0300415468200704,0.025579791690570886,400,-0.008636944710769838,0.08696069031639526,0.0955976350271651,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.150,BPIC13_closed,handover,multinomial,-0.0027635215159889,-0.03085932359520985,-0.028095802079220952,0.02694739473842613,400,-0.018045137518094355,0.08114225555994208,0.09918739307803642,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.175,BPIC13_closed,handover,multinomial,-0.0079316656497864,-0.024405125076266,-0.0164734594264796,0.02814291251114032,400,-0.038299098366212245,0.06401599891532783,0.10231509728154008,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.200,BPIC13_closed,handover,multinomial,-0.0027964205816554,-0.023769574944071552,-0.020973154362416153,0.030086572949484088,400,-0.04141498881431743,0.07948825503355718,0.12090324384787461,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.225,BPIC13_closed,handover,multinomial,-0.0282167857400592,-0.019159991340116853,0.009056794399942347,0.030430128344696813,400,-0.09883632820956911,0.023194053546943726,0.12203038175651285,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.250,BPIC13_closed,handover,multinomial,-0.0223713646532438,-0.0141685309470544,0.0082028337061894,0.03262797300600265,400,-0.09328859060402664,0.0335756897837435,0.12686428038777015,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.275,BPIC13_closed,handover,multinomial,-0.0158913831674766,-0.01465710097971145,0.0012342821877651504,0.03392334731963271,400,-0.09613515389956007,0.03780374913214545,0.13393890303170553,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.300,BPIC13_closed,handover,multinomial,-0.0134228187919463,-0.010386705017577502,0.0030361137743687983,0.036099333209932846,400,-0.09686001917545531,0.04251358261425373,0.13937360178970903,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.325,BPIC13_closed,handover,multinomial,-0.0362084679758058,-0.00923854503272845,0.02696992294307735,0.036259650383160875,400,-0.13778896346010427,-0.006083768332090594,0.13170519512801368,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.350,BPIC13_closed,handover,multinomial,-0.0548958871106521,-0.0060230597143349,0.0488728273963172,0.03873931644472291,400,-0.19077181208053662,-0.03767854069867484,0.1530932713818618,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.375,BPIC13_closed,handover,multinomial,-0.0465324384787471,-0.0062639821029082,0.0402684563758389,0.03939851217382994,400,-0.1692281879194627,-0.010223713646532281,0.1590044742729304,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.400,BPIC13_closed,handover,multinomial,-0.0402684563758389,-0.00782997762863535,0.032438478747203556,0.0396468331929186,400,-0.15520134228187904,3.728560775549672e-05,0.15523862788963455,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.425,BPIC13_closed,handover,multinomial,-0.0291800408520571,-0.007538177220114749,0.02164186363194235,0.0421883275081608,400,-0.1367571247933078,0.028506468242388915,0.1652635930356967,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.450,BPIC13_closed,handover,multinomial,0.0337604230221679,-0.015354891193817301,-0.049115314215985195,0.04575294852727696,400,-0.012446613788895708,0.17043420785031504,0.18288082163921077,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.475,BPIC13_closed,handover,multinomial,-0.0053265153936295,-0.021306061574517948,-0.015979546180888447,0.05022237022195574,400,-0.08936294875892162,0.10937200383509099,0.1987349525940126,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.500,BPIC13_closed,handover,multinomial,-0.0514541387024608,-0.03355704697986575,0.01789709172259505,0.05103891823687311,400,-0.16784116331096177,0.0380313199105146,0.2058724832214764,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.525,BPIC13_closed,handover,multinomial,-0.0777110561638997,-0.0474508418697751,0.0302602142941246,0.0574247074537557,400,-0.2246614859295889,0.007300129518426901,0.2319616154480158,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.550,BPIC13_closed,handover,multinomial,-0.0966940094456874,-0.0654983842903306,0.0311956251553568,0.06249170110845088,400,-0.2635781754909272,-0.009675615212528216,0.25390256027839897,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.575,BPIC13_closed,handover,multinomial,-0.0782997762863534,-0.07500986971969995,0.0032899065666534555,0.06495138176190259,400,-0.20450388208974846,0.052832609553888715,0.25733649164363714,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.600,BPIC13_closed,handover,multinomial,-0.1062639821029082,-0.09395973154362405,0.01230425055928415,0.06643894007800928,400,-0.24409955257270657,0.02351789709172264,0.26761744966442924,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.625,BPIC13_closed,handover,multinomial,-0.1200596569724086,-0.1077554064131245,0.012304250559284094,0.07283649804938372,400,-0.26043997017151344,0.02915734526472788,0.28959731543624134,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.650,BPIC13_closed,handover,multinomial,-0.137104506232023,-0.11968680089485456,0.017417705337168438,0.07795369170240653,400,-0.2984419942473631,0.014589325663151242,0.31303131991051436,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.675,BPIC13_closed,handover,multinomial,-0.1509206676991912,-0.13491653760110134,0.016004130098089875,0.08626994847936827,400,-0.32072362760282214,0.018718809155050753,0.3394424367578729,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.700,BPIC13_closed,handover,multinomial,-0.1961222967934377,-0.15137956748695,0.044742729306487705,0.09669324132226603,400,-0.4333892617449662,-0.03875838926174502,0.3946308724832212,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.725,BPIC13_closed,handover,multinomial,-0.2265609111246694,-0.1666666666666666,0.05989424445800279,0.10740809911338799,400,-0.471369737644905,-0.04838316046369717,0.4229865771812078,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.750,BPIC13_closed,handover,multinomial,-0.2595078299776285,-0.1834451901565995,0.07606263982102901,0.12260099605265352,400,-0.5592841163310958,-0.08025727069351207,0.4790268456375837,False,True
hgb,holdout70,clean,1.0,B_half,nb_0.775,BPIC13_closed,handover,multinomial,-0.2373850360427542,-0.2033308476261497,0.034054188416604514,0.13835315258630582,400,-0.5291324881928908,0.017213522247079394,0.5463460104399702,False,False
hgb,holdout70,clean,1.0,B_half,nb_0.800,BPIC13_closed,handover,multinomial,-0.1252796420581655,-0.21588366890380312,-0.09060402684563762,0.1599473404260953,400,-0.34910514541387,0.31096196868008974,0.6600671140939598,False,False
hgb,holdout70,clean,1.0,B_intake,ap,BPIC13_closed,handover,multinomial,0.0241037732201553,0.00033530791302405,-0.02376846530713125,0.04695148813511618,400,-0.03940181868615954,0.14805121968826124,0.1874530383744208,False,False
hgb,holdout70,clean,1.0,B_intake,auc,BPIC13_closed,handover,multinomial,0.0426327411422261,-0.0016605750396141501,-0.04429331618184025,0.040878342933322466,400,0.008619436831970098,0.1716986562594507,0.1630792194274806,False,True
hgb,holdout70,clean,1.0,B_intake,brier_skill,BPIC13_closed,handover,multinomial,0.0102487504708077,-0.1032107874541171,-0.1134595379249248,0.11544288049760083,400,-0.09456185232506782,0.36396251551679193,0.45852436784185974,False,False
hgb,holdout70,clean,1.0,B_intake,logloss_skill,BPIC13_closed,handover,multinomial,-0.0066241973657004,-0.3623391367937375,-0.3557149394280371,0.22943193551723454,400,-0.05860134410522915,0.8420574947730219,0.900658838878251,False,False
hgb,holdout70,clean,1.0,B_intake,nagelkerke,BPIC13_closed,handover,multinomial,-0.0140937752410082,-1.2660219801417887,-1.2519282049007805,1.2634338092171382,400,-0.159142260543779,5.005599612298705,5.164741872842484,False,False
hgb,holdout70,clean,1.0,B_intake,nb_0.050,BPIC13_closed,handover,multinomial,0.0076533615918992,-0.02166490050629925,-0.02931826209819845,0.020557770902407214,400,-0.004203461674319954,0.07865595196043798,0.08285941363475793,False,False
hgb,holdout70,clean,1.0,B_intake,nb_0.075,BPIC13_closed,handover,multinomial,0.0122740189854284,-0.0186528810689884,-0.0309269000544168,0.022026954174027592,400,-0.003201523671322145,0.08477840256363742,0.08797992623495957,False,False
hgb,holdout70,clean,1.0,B_intake,nb_0.100,BPIC13_closed,handover,multinomial,0.029082774049217,-0.0149142431021625,-0.0439970171513795,0.02154716194568614,400,0.028573204076559843,0.1148396718866517,0.08626646781009185,False,True
