log,target,n_train,card_register,share_multinomial,share_multinomial_min,share_weighted,share_weighted_min,n_draws
BPIC14,duration,32624,2633,0.7265134827193316,0.6957842764906951,1.0,1.0,200
BPIC14,handover,32624,2633,0.7265134827193316,0.6957842764906951,1.0,1.0,200
BPIC13_closed,handover,1040,271,0.7847416974169741,0.7084870848708487,1.0,1.0,200
BPIC13_incidents,duration,5287,615,0.8184634146341463,0.7739837398373983,1.0,1.0,200
BPIC13_incidents,handover,5287,615,0.8184634146341463,0.7739837398373983,1.0,1.0,200
BPIC15_1,duration,839,64,0.800625,0.671875,1.0,1.0,200
BPIC15_1,handover,839,64,0.800625,0.671875,1.0,1.0,200
BPIC15_3,duration,986,69,0.7779710144927536,0.6521739130434783,1.0,1.0,200
BPIC15_3,handover,986,69,0.7779710144927536,0.6521739130434783,1.0,1.0,200
BPIC15_4,duration,737,48,0.8285416666666666,0.6458333333333334,1.0,1.0,200
BPIC15_4,handover,737,48,0.8285416666666666,0.6458333333333334,1.0,1.0,200
BPIC15_5,duration,809,83,0.7489759036144576,0.6024096385542169,1.0,1.0,200
BPIC17,duration,22056,579,0.7923143350604489,0.7340241796200345,1.0,1.0,200
BPIC19,duration,176213,1758,0.8860580204778157,0.8543799772468714,1.0,1.0,200
Helpdesk,duration,3206,324,0.8933487654320987,0.8580246913580247,1.0,1.0,200
RoadFines,duration,105259,58,0.9055172413793103,0.8103448275862069,1.0,1.0,200
Sepsis,duration,735,125,0.7634399999999999,0.672,1.0,1.0,200
UCI498,duration,17442,4527,0.8400342390103822,0.8164347249834327,1.0,1.0,200
UCI498,handover,17442,4527,0.8400342390103822,0.8164347249834327,1.0,1.0,200
