log,target,n_cells_multinomial,excludes_multinomial,resolved_multinomial,width_multinomial,displacement_multinomial,displacement_max_multinomial,n_cells_weighted,excludes_weighted,resolved_weighted,width_weighted,displacement_weighted,displacement_max_weighted
BPIC13_closed,handover,1296,4,224,0.12172226944326373,0.013812154696132603,1.869737961071114,1296,3,212,0.1226344477045405,0.012908001952270825,1.066830082924549
BPIC13_incidents,duration,1296,24,451,0.09801110442556588,0.0087920082330814,0.27618816741662,1296,5,435,0.09963886498370761,0.008932563404857149,0.16497851281556686
BPIC13_incidents,handover,1296,25,569,0.04708481912584982,0.0044356222124197495,0.2573886193206882,1296,29,613,0.04909826359700324,0.004808721974012074,0.23030781718810167
BPIC14,duration,1296,20,992,0.030596052961538896,0.0025017869907076537,0.08557248684125021,1296,9,986,0.03126055852796311,0.002295503281007149,0.06298627263487114
BPIC14,handover,1296,1,1012,0.006941509290625119,0.00042912315834640023,0.027676571353042828,1296,7,1012,0.00713319111924881,0.0003795691800217993,0.027631675488438534
BPIC15_1,duration,1296,12,148,0.16443434388637568,0.010416666666666574,1.2008696204403844,1296,1,124,0.16544552122023057,0.0102377521288867,0.43329031315629885
BPIC15_1,handover,1296,10,92,0.0876388888888888,0.0056818181818181,6.37231078433952,1296,13,97,0.09527619622276379,0.0057100814245587255,7.161553737641588
BPIC15_3,duration,1296,19,449,0.17112122626828505,0.012641548439797923,1.4490118195411261,1296,24,435,0.16889391434182904,0.010824662560064646,0.8360851308523654
BPIC15_3,handover,1296,5,167,0.10784663865546203,0.0042266638011318,2.1176548726772526,1296,38,179,0.07699327919654987,0.0029469120501113,2.1610684941622034
BPIC15_4,duration,1296,42,222,0.13485165904828297,0.0130897583429228,1.0409749226931908,1296,19,205,0.13311652577196106,0.013073358075698548,1.21102734518203
BPIC15_4,handover,1296,1,80,0.05310370009737095,0.0010548523206751,13.17388770819829,1296,7,84,0.05337411372624602,0.000793846180812725,14.265041295882838
BPIC15_5,duration,1296,26,238,0.2276158279760584,0.021293627921870006,0.8833701946349032,1296,21,246,0.23957395638621537,0.020199436573882547,0.5831455675859728
BPIC17,duration,1296,96,208,0.011879370115752828,0.0015603512112556499,0.03121778072516265,1296,6,121,0.011025974858010299,0.0005940636352428502,0.02432306189371265
BPIC19,duration,1296,11,983,0.05512836701658934,0.0033607903626641303,0.22295155482340379,1296,20,991,0.05454766382822259,0.003156276703490543,0.3047097578201159
Helpdesk,duration,1296,19,142,0.08023715415019753,0.00732514177693765,0.18753283851580782,1296,14,158,0.08821564903113316,0.006810382764502101,0.2019586705957247
RoadFines,duration,1296,7,406,0.006889006846495925,0.00016624182644360005,0.10644366357869739,1296,7,395,0.007446142211327146,0.00017217586908564817,0.10630446776495339
Sepsis,duration,1296,0,713,0.17194060419866866,0.014480323628943581,0.952809328406911,1296,0,702,0.1718358537291977,0.013188217126673243,0.47650140378746025
UCI498,duration,1296,324,541,0.03462957490698777,0.0077581594435526995,0.24464954521134297,1296,45,351,0.030842695199312674,0.0035919663561580504,0.0713148739479256
UCI498,handover,1296,319,485,0.01800600527247452,0.0040222720217428995,0.1855264237889571,1296,54,265,0.013953244546062529,0.0014933353971599498,0.03669533709734976
