log,target,family,q,q_lo,q_hi,q_emp,q_emp_lo,q_emp_hi,n_family,n_draws,n_mult
BPIC13_closed,handover,whole-surface,3.3861700596459623,3.3721037613419624,3.4055549073502824,4.617450881399043,4.216897942850854,5.199442856407235,180,400,20000
BPIC13_closed,handover,decision-curve,3.9036160826559865,3.8905406620057215,3.9209464878813898,6.338229040974221,5.679779336993593,7.208451235573966,1116,400,20000
BPIC13_incidents,duration,whole-surface,3.364162248862648,3.344963873462418,3.385573312939422,4.321957033161733,3.911744257829084,4.736440452662499,180,400,20000
BPIC13_incidents,duration,decision-curve,3.9174911589335397,3.899312927793092,3.933738400869294,6.283393341915497,5.859164340222181,6.7602415881631,1116,400,20000
BPIC13_incidents,handover,whole-surface,3.337141899397925,3.3152924965475337,3.3522595944650617,4.4216762610429985,3.998941533426099,4.8579673439085305,180,400,20000
BPIC13_incidents,handover,decision-curve,3.9020774232796556,3.886663019278263,3.917030015626986,10.398273978644458,8.73151727626199,12.55150888537615,1094,400,20000
BPIC14,duration,whole-surface,3.166147203837018,3.145843304339502,3.185597194287841,3.5750100666796496,3.346073429839476,4.181371181564255,180,400,20000
BPIC14,duration,decision-curve,3.8998963016622885,3.883020781669411,3.9139424598898267,7.765252855509315,6.88874129200529,8.76661635415785,1116,400,20000
BPIC14,handover,whole-surface,3.3185585552673382,3.3007870450818997,3.3344255082994882,4.755207703096519,4.061219387611195,5.932033570062215,180,400,20000
BPIC14,handover,decision-curve,3.7901633557754173,3.7758252293495693,3.802539206232627,9.856000804781969,8.26753003597837,13.971458243677814,1105,400,20000
BPIC15_1,duration,whole-surface,3.38737445704057,3.37063175540768,3.4032635554076016,5.003336631970225,4.454935625055918,5.7396990696935095,180,400,20000
BPIC15_1,duration,decision-curve,3.8851947453863303,3.871887646295381,3.9019820441492095,11.636119503717174,10.795715731990127,16.282306911614228,1105,400,20000
BPIC15_1,handover,whole-surface,3.4055504760324666,3.3883866840168486,3.421465970080387,6.5403770078213155,5.610012302067826,7.8515619485996275,180,400,20000
BPIC15_1,handover,decision-curve,3.8702439052153816,3.852991342719528,3.8863557129695168,12.194206762864013,10.53366216527193,13.410555468312843,1101,400,20000
BPIC15_3,duration,whole-surface,3.3499146475345616,3.3316830435752984,3.3697530823051642,4.472443347876589,3.98675465756812,5.35907338829128,180,400,20000
BPIC15_3,duration,decision-curve,3.8436083370785195,3.826057275970654,3.860426018162476,7.137739684037854,6.628069157012406,8.300695803351399,1116,400,20000
BPIC15_3,handover,whole-surface,3.3445917071951103,3.326741040132827,3.3649514305450623,5.370869861303682,4.919052096316998,6.07169718834198,180,400,20000
BPIC15_3,handover,decision-curve,3.8013949452027567,3.785872728222897,3.8149009763391595,10.63983656667041,9.331180568702528,12.705761322393364,1069,400,20000
BPIC15_4,duration,whole-surface,3.392873822343491,3.3768902612613836,3.414985778160522,5.800161299215842,5.226245739802415,6.402865747915656,180,380,20000
BPIC15_4,duration,decision-curve,3.9015000779139837,3.8854065011010728,3.915485160637857,10.096383851189023,9.125674305059038,12.13796893889307,1100,380,20000
BPIC15_4,handover,whole-surface,3.43097778830476,3.4125380763866877,3.4532607133026465,6.548483489038582,5.785784129928288,7.471097846353676,180,400,20000
BPIC15_4,handover,decision-curve,3.8718741194517294,3.855110455990732,3.88845916404887,14.089091525006147,11.50852740735777,17.83935481909671,1054,400,20000
BPIC15_5,duration,whole-surface,3.4175102010250797,3.4054386689377814,3.4360473777159766,5.838156005783308,5.468825141488422,7.137891732815867,180,399,20000
BPIC15_5,duration,decision-curve,3.8980555277919153,3.8813777256689854,3.9156104711629887,8.618199840619717,7.378340978586851,10.625466173317689,1116,399,20000
BPIC17,duration,whole-surface,3.2716741126961004,3.2548891248744027,3.2879155364353894,4.129606423162232,3.978204700154275,4.893375875673312,180,400,20000
BPIC17,duration,decision-curve,3.9193802918579252,3.9072911635338157,3.935444295391746,14.879597290858102,13.36909525291112,16.98947568979469,1043,400,20000
BPIC19,duration,whole-surface,3.4026166276599956,3.3884925734441067,3.4208186830383713,4.462555942714892,3.8362609246717643,5.40178748783698,180,311,20000
BPIC19,duration,decision-curve,3.9177159505355585,3.9039676097768425,3.9367163354309285,7.404658835952649,6.887913155409229,8.471244073571418,1116,311,20000
