log,target,n_cells,n_beneficial,n_harmful,n_unresolved,rho,region,region_nominal_q,region_within_instrument,n_beneficial_wi,n_harmful_wi,n_unresolved_wi,rho_within_instrument,n_resolved_whole,n_resolved_within,n_cells_within,share_positive,q,q_hi,q_emp,q_op,operative,n_draws,region_mult,n_beneficial_mult,n_harmful_mult,n_unresolved_mult,rho_mult,n_resolved_mult,region_emp,n_beneficial_emp,n_harmful_emp,n_unresolved_emp,rho_emp,n_resolved_emp,region_emphi,n_beneficial_emphi,n_harmful_emphi,n_unresolved_emphi,rho_emphi,n_resolved_emphi
BPIC13_closed,handover,180,0,0,180,0.0,unresolved,unresolved,conditionally harmful,0,4,176,-0.022222222222222223,0,4,180,0.48333333333333334,3.3861700596459623,3.4055549073502824,4.617450881399043,4.617450881399043,emp,400,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC13_incidents,duration,180,8,0,172,0.044444444444444446,conditionally beneficial,conditionally beneficial,conditionally beneficial,39,0,141,0.21666666666666667,8,39,180,0.6777777777777778,3.364162248862648,3.385573312939422,4.321957033161733,4.321957033161733,emp,400,conditionally beneficial,17,0,163,0.09444444444444444,17,conditionally beneficial,8,0,172,0.044444444444444446,8,conditionally beneficial,3,0,177,0.016666666666666666,3
BPIC13_incidents,handover,180,77,0,103,0.42777777777777776,conditionally beneficial,conditionally beneficial,conditionally beneficial,105,0,75,0.5833333333333334,77,105,180,0.9777777777777777,3.337141899397925,3.3522595944650617,4.4216762610429985,4.4216762610429985,emp,400,conditionally beneficial,98,0,82,0.5444444444444444,98,conditionally beneficial,77,0,103,0.42777777777777776,77,conditionally beneficial,68,0,112,0.37777777777777777,68
BPIC14,duration,180,180,0,0,1.0,uniformly beneficial,uniformly beneficial,uniformly beneficial,180,0,0,1.0,180,180,180,1.0,3.166147203837018,3.185597194287841,3.5750100666796496,3.5750100666796496,emp,400,uniformly beneficial,180,0,0,1.0,180,uniformly beneficial,180,0,0,1.0,180,uniformly beneficial,180,0,0,1.0,180
BPIC14,handover,180,173,0,7,0.9611111111111111,conditionally beneficial,conditionally beneficial,uniformly beneficial,180,0,0,1.0,173,180,180,1.0,3.3185585552673382,3.3344255082994882,4.755207703096519,4.755207703096519,emp,400,conditionally beneficial,179,0,1,0.9944444444444445,179,conditionally beneficial,173,0,7,0.9611111111111111,173,conditionally beneficial,167,0,13,0.9277777777777778,167
BPIC15_1,duration,180,1,0,179,0.005555555555555556,conditionally beneficial,conditionally beneficial,conditionally beneficial,9,0,171,0.05,1,9,180,0.5166666666666667,3.38737445704057,3.4032635554076016,5.003336631970225,5.003336631970225,emp,400,conditionally beneficial,7,0,173,0.03888888888888889,7,conditionally beneficial,1,0,179,0.005555555555555556,1,unresolved,0,0,180,0.0,0
BPIC15_1,handover,180,0,0,180,0.0,unresolved,conditionally beneficial,sign-changing,2,1,177,0.005555555555555556,0,3,180,0.8166666666666667,3.4055504760324666,3.421465970080387,6.5403770078213155,6.5403770078213155,emp,400,conditionally beneficial,2,0,178,0.011111111111111112,2,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC15_3,duration,180,6,0,174,0.03333333333333333,conditionally beneficial,conditionally beneficial,sign-changing,60,5,115,0.3055555555555556,6,65,180,0.8,3.3499146475345616,3.3697530823051642,4.472443347876589,4.472443347876589,emp,400,conditionally beneficial,34,0,146,0.18888888888888888,34,conditionally beneficial,6,0,174,0.03333333333333333,6,conditionally beneficial,1,0,179,0.005555555555555556,1
BPIC15_3,handover,180,0,0,180,0.0,unresolved,sign-changing,sign-changing,4,2,174,0.011111111111111112,0,6,180,0.4111111111111111,3.3445917071951103,3.3649514305450623,5.370869861303682,5.370869861303682,emp,400,sign-changing,2,1,177,0.005555555555555556,3,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC15_4,duration,180,0,0,180,0.0,unresolved,unresolved,sign-changing,2,6,172,-0.022222222222222223,0,8,180,0.5833333333333334,3.392873822343491,3.414985778160522,5.800161299215842,5.800161299215842,emp,380,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC15_4,handover,180,0,0,180,0.0,unresolved,conditionally harmful,conditionally harmful,0,5,175,-0.027777777777777776,0,5,180,0.39444444444444443,3.43097778830476,3.4532607133026465,6.548483489038582,6.548483489038582,emp,400,conditionally harmful,0,2,178,-0.011111111111111112,2,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC15_5,duration,180,0,0,180,0.0,unresolved,sign-changing,sign-changing,17,4,159,0.07222222222222222,0,21,180,0.5888888888888889,3.4175102010250797,3.4360473777159766,5.838156005783308,5.838156005783308,emp,399,sign-changing,6,1,173,0.027777777777777776,7,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC17,duration,180,18,0,162,0.1,conditionally beneficial,conditionally beneficial,conditionally beneficial,44,0,136,0.24444444444444444,18,44,180,0.45,3.2716741126961004,3.2879155364353894,4.129606423162232,4.129606423162232,emp,400,conditionally beneficial,37,0,143,0.20555555555555555,37,conditionally beneficial,18,0,162,0.1,18,conditionally beneficial,12,0,168,0.06666666666666667,12
BPIC19,duration,180,13,41,126,-0.15555555555555556,sign-changing,sign-changing,sign-changing,29,99,52,-0.3888888888888889,54,128,180,0.31666666666666665,3.4026166276599956,3.4208186830383713,4.462555942714892,4.462555942714892,emp,311,sign-changing,19,43,118,-0.13333333333333333,62,sign-changing,13,41,126,-0.15555555555555556,54,sign-changing,12,37,131,-0.1388888888888889,49
Helpdesk,duration,180,0,3,177,-0.016666666666666666,conditionally harmful,conditionally harmful,sign-changing,1,12,167,-0.06111111111111111,3,13,180,0.12777777777777777,3.324989173423179,3.343609575818669,3.778693716179933,3.778693716179933,emp,400,conditionally harmful,0,5,175,-0.027777777777777776,5,conditionally harmful,0,3,177,-0.016666666666666666,3,conditionally harmful,0,2,178,-0.011111111111111112,2
RoadFines,duration,180,74,9,97,0.3611111111111111,sign-changing,sign-changing,sign-changing,97,23,60,0.4111111111111111,83,120,180,0.8111111111111111,3.273720573728021,3.293717153925433,4.4112872387975015,4.4112872387975015,emp,400,sign-changing,84,14,82,0.3888888888888889,98,sign-changing,74,9,97,0.3611111111111111,83,sign-changing,58,7,115,0.2833333333333333,65
Sepsis,duration,180,89,0,91,0.49444444444444446,conditionally beneficial,conditionally beneficial,conditionally beneficial,124,0,56,0.6888888888888889,89,124,180,0.9888888888888889,3.319973404389396,3.3372301742564785,3.892604996346089,3.892604996346089,emp,400,conditionally beneficial,106,0,74,0.5888888888888889,106,conditionally beneficial,89,0,91,0.49444444444444446,89,conditionally beneficial,68,0,112,0.37777777777777777,68
UCI498,duration,180,54,0,126,0.3,conditionally beneficial,conditionally beneficial,conditionally beneficial,76,0,104,0.4222222222222222,54,76,180,0.5055555555555555,3.2893062952289522,3.3103909759516292,3.6831126775146745,3.6831126775146745,emp,400,conditionally beneficial,62,0,118,0.34444444444444444,62,conditionally beneficial,54,0,126,0.3,54,conditionally beneficial,36,0,144,0.2,36
UCI498,handover,180,34,0,146,0.18888888888888888,conditionally beneficial,conditionally beneficial,sign-changing,68,12,100,0.3111111111111111,34,80,180,0.4388888888888889,3.3396870171618054,3.354765194360369,4.18350351881981,4.18350351881981,emp,400,conditionally beneficial,37,0,143,0.20555555555555555,37,conditionally beneficial,34,0,146,0.18888888888888888,34,conditionally beneficial,21,0,159,0.11666666666666667,21
