log,target,family,q,q_lo,q_hi,q_emp,q_emp_lo,q_emp_hi,q_op,operative,n_family,n_draws,n_mult
BPIC13_closed,handover,whole-surface,3.380257729643257,3.3609271476702944,3.3994622277963,4.208576706888257,4.001083588852028,4.896216092951574,4.208576706888257,emp,180,400,20000
BPIC13_closed,handover,decision-curve,3.9079865584209315,3.8926960751415836,3.9261283418074506,6.3050939929549825,5.886008593445712,7.304243646626166,6.3050939929549825,emp,1116,400,20000
BPIC13_incidents,duration,whole-surface,3.3716754098108686,3.3552215031439685,3.3913872260103672,4.1380089960182005,3.8345771177849657,4.951133257979231,4.1380089960182005,emp,180,400,20000
BPIC13_incidents,duration,decision-curve,3.9110011737532138,3.8968351187461656,3.9260849578062724,6.370231097585179,6.005058084051688,7.419668075966999,6.370231097585179,emp,1116,400,20000
BPIC13_incidents,handover,whole-surface,3.3563810527501374,3.3325572520831286,3.3777999165074086,4.432862064108301,3.9115647987857254,4.805557285797829,4.432862064108301,emp,180,400,20000
BPIC13_incidents,handover,decision-curve,3.904605552689711,3.8886576272110367,3.9217419409797225,11.76436714210235,10.131952124679378,13.618691313159182,11.76436714210235,emp,1096,400,20000
BPIC14,duration,whole-surface,3.213905566292401,3.1942471041667257,3.236173864713926,3.7091000366837292,3.455069107098049,3.98632358372815,3.7091000366837292,emp,180,400,20000
BPIC14,duration,decision-curve,3.8893657089707636,3.8742188898086134,3.9024369178724427,8.44317656447011,8.07972668564332,9.879502634551654,8.44317656447011,emp,1116,400,20000
BPIC14,handover,whole-surface,3.2655090097821646,3.2505549970622667,3.2836344864473688,4.767840631001943,4.125123672343679,5.329169020908354,4.767840631001943,emp,180,400,20000
BPIC14,handover,decision-curve,3.8153558678922583,3.8015455257330295,3.832904645374449,12.254471635018685,10.681831345896867,14.51533417162615,12.254471635018685,emp,1084,400,20000
BPIC15_1,duration,whole-surface,3.3616778943795227,3.3439966875717233,3.3780332596162572,5.485471042895894,4.5936867107890365,6.108427292321063,5.485471042895894,emp,180,400,20000
BPIC15_1,duration,decision-curve,3.9033183845734154,3.888174386896817,3.920473848612578,12.314960142748813,10.974290702321454,16.249060285070357,12.314960142748813,emp,1103,400,20000
BPIC15_1,handover,whole-surface,3.3773864655837693,3.3617040782270706,3.3981746494821246,6.083631594191884,5.445547600316104,6.930388082433597,6.083631594191884,emp,180,400,20000
BPIC15_1,handover,decision-curve,3.8668882817716,3.851263242605056,3.8810736105874404,11.671718509511354,11.01782483059221,13.854720310800793,11.671718509511354,emp,1098,400,20000
BPIC15_3,duration,whole-surface,3.3620860996861377,3.3424041230922676,3.3804280853151143,4.667006592701328,4.186355150913952,5.748824339010271,4.667006592701328,emp,180,400,20000
BPIC15_3,duration,decision-curve,3.831130259849066,3.813843238172244,3.847954356229425,7.2259917738733135,6.636961863750649,8.28784800146586,7.2259917738733135,emp,1116,400,20000
BPIC15_3,handover,whole-surface,3.3450691091179956,3.3302204355138443,3.364646433630031,5.032447586235664,4.690630523384202,5.598455803024781,5.032447586235664,emp,180,400,20000
BPIC15_3,handover,decision-curve,3.8104724229664404,3.794472727203901,3.8262558000025835,11.681439244337051,10.062587485500284,14.180161939959609,11.681439244337051,emp,1058,400,20000
BPIC15_4,duration,whole-surface,3.409403695949947,3.393722834030723,3.428652877570033,5.846539281672141,5.311162757569946,6.944448729927128,5.846539281672141,emp,180,400,20000
BPIC15_4,duration,decision-curve,3.901866273387778,3.8867653860969993,3.9193852510305214,10.445753649072033,9.00607497434895,12.987412690607831,10.445753649072033,emp,1104,400,20000
BPIC15_4,handover,whole-surface,3.4300404659512345,3.411415255674762,3.4455167042550565,6.0683366349372765,5.3407882150797255,7.5762848471699575,6.0683366349372765,emp,180,400,20000
BPIC15_4,handover,decision-curve,3.8857406206481118,3.872525170915543,3.9009231145125702,15.695798477816892,13.074852190056685,19.373549730895704,15.695798477816892,emp,1065,400,20000
BPIC15_5,duration,whole-surface,3.406992183017562,3.3855065861002616,3.428488948694654,5.777372798771968,4.882115237891787,6.725771211562458,5.777372798771968,emp,180,400,20000
BPIC15_5,duration,decision-curve,3.8837814398813246,3.869567524477764,3.8972785409357327,8.370671185462555,7.750192775815861,10.177996393434793,8.370671185462555,emp,1116,400,20000
BPIC17,duration,whole-surface,3.2759708034869135,3.257707872169199,3.293470314326411,5.171793595818396,4.401662291040717,5.755135653498362,5.171793595818396,emp,180,400,20000
BPIC17,duration,decision-curve,3.9254918227248172,3.9079294187885885,3.943437461329195,17.569246140362687,15.082767303587957,19.412171479494837,17.569246140362687,emp,1034,400,20000
BPIC19,duration,whole-surface,3.379726803158017,3.364747267348662,3.399524733317662,5.807614029943655,4.93446211008255,8.007034101959167,5.807614029943655,emp,180,400,20000
BPIC19,duration,decision-curve,3.9068016694373715,3.889887983540033,3.923902489406607,8.463088366715366,7.247467446757355,9.949037368066561,8.463088366715366,emp,1116,400,20000
Helpdesk,duration,whole-surface,3.3250743655737796,3.304486271874687,3.34233074086299,3.93147566809165,3.5464398536800847,4.511221472708767,3.93147566809165,emp,180,400,20000
Helpdesk,duration,decision-curve,3.9013909662014234,3.884663728681461,3.9167561547433523,10.250669598610227,8.747149115006685,12.974455668701749,10.250669598610227,emp,1114,400,20000
RoadFines,duration,whole-surface,3.2984877707954605,3.279279686640968,3.318997872112137,5.062666885439723,4.653809585133208,6.24435951041931,5.062666885439723,emp,180,400,20000
RoadFines,duration,decision-curve,3.9213237219045616,3.9062971491087746,3.941256389362895,18.306629511762527,16.44711379603415,19.942556551969293,18.306629511762527,emp,1026,400,20000
Sepsis,duration,whole-surface,3.319017543237407,3.2993120944875898,3.3396747777683373,3.91149754754511,3.629598554152426,4.14007156743569,3.91149754754511,emp,180,400,20000
Sepsis,duration,decision-curve,3.8324122692504683,3.8120566020914692,3.848632110537357,5.416082601213218,4.990326375294784,5.838052420718658,5.416082601213218,emp,1116,400,20000
UCI498,duration,whole-surface,3.29634256354508,3.2784277101664214,3.314065864840284,4.010217763910006,3.7595456406046814,4.204804974185392,4.010217763910006,emp,180,400,20000
UCI498,duration,decision-curve,3.9208020355244453,3.903259259487265,3.9387354844900955,8.084823072650758,7.210665627892766,9.471202580363478,8.084823072650758,emp,1116,400,20000
UCI498,handover,whole-surface,3.339083760205697,3.321942907897909,3.355183229780297,5.506257834465351,5.036334682572678,6.443358398956329,5.506257834465351,emp,180,400,20000
UCI498,handover,decision-curve,3.9279056841715185,3.912744607557677,3.9465846086308742,12.427356900717788,11.326762827278882,13.801878434785642,12.427356900717788,emp,1116,400,20000
