log,target,n_cells,n_beneficial,n_harmful,n_unresolved,rho,region,region_nominal_q,region_within_instrument,n_beneficial_wi,n_harmful_wi,n_unresolved_wi,rho_within_instrument,n_resolved_whole,n_resolved_within,n_cells_within,share_positive,q,q_hi,q_emp,q_op,operative,n_draws,region_mult,n_beneficial_mult,n_harmful_mult,n_unresolved_mult,rho_mult,n_resolved_mult,region_emp,n_beneficial_emp,n_harmful_emp,n_unresolved_emp,rho_emp,n_resolved_emp,region_emphi,n_beneficial_emphi,n_harmful_emphi,n_unresolved_emphi,rho_emphi,n_resolved_emphi
BPIC13_closed,handover,180,0,0,180,0.0,unresolved,unresolved,conditionally harmful,0,2,178,-0.011111111111111112,0,2,180,0.48333333333333334,3.380257729643257,3.3994622277963,4.208576706888257,4.208576706888257,emp,400,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC13_incidents,duration,180,12,0,168,0.06666666666666667,conditionally beneficial,conditionally beneficial,conditionally beneficial,37,0,143,0.20555555555555555,12,37,180,0.6666666666666666,3.3716754098108686,3.3913872260103672,4.1380089960182005,4.1380089960182005,emp,400,conditionally beneficial,19,0,161,0.10555555555555556,19,conditionally beneficial,12,0,168,0.06666666666666667,12,conditionally beneficial,5,0,175,0.027777777777777776,5
BPIC13_incidents,handover,180,72,0,108,0.4,conditionally beneficial,conditionally beneficial,conditionally beneficial,100,0,80,0.5555555555555556,72,100,180,0.9944444444444445,3.3563810527501374,3.3777999165074086,4.432862064108301,4.432862064108301,emp,400,conditionally beneficial,86,0,94,0.4777777777777778,86,conditionally beneficial,72,0,108,0.4,72,conditionally beneficial,68,0,112,0.37777777777777777,68
BPIC14,duration,180,180,0,0,1.0,uniformly beneficial,uniformly beneficial,uniformly beneficial,180,0,0,1.0,180,180,180,1.0,3.213905566292401,3.236173864713926,3.7091000366837292,3.7091000366837292,emp,400,uniformly beneficial,180,0,0,1.0,180,uniformly beneficial,180,0,0,1.0,180,uniformly beneficial,180,0,0,1.0,180
BPIC14,handover,180,171,0,9,0.95,conditionally beneficial,conditionally beneficial,uniformly beneficial,180,0,0,1.0,171,180,180,1.0,3.2655090097821646,3.2836344864473688,4.767840631001943,4.767840631001943,emp,400,conditionally beneficial,179,0,1,0.9944444444444445,179,conditionally beneficial,171,0,9,0.95,171,conditionally beneficial,166,0,14,0.9222222222222223,166
BPIC15_1,duration,180,0,0,180,0.0,unresolved,conditionally beneficial,conditionally beneficial,10,0,170,0.05555555555555555,0,10,180,0.5166666666666667,3.3616778943795227,3.3780332596162572,5.485471042895894,5.485471042895894,emp,400,conditionally beneficial,5,0,175,0.027777777777777776,5,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC15_1,handover,180,0,0,180,0.0,unresolved,conditionally beneficial,sign-changing,12,1,167,0.06111111111111111,0,13,180,0.8166666666666667,3.3773864655837693,3.3981746494821246,6.083631594191884,6.083631594191884,emp,400,conditionally beneficial,2,0,178,0.011111111111111112,2,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
BPIC15_3,duration,180,2,0,178,0.011111111111111112,conditionally beneficial,conditionally beneficial,sign-changing,54,3,123,0.2833333333333333,2,57,180,0.8,3.3620860996861377,3.3804280853151143,4.667006592701328,4.667006592701328,emp,400,conditionally beneficial,27,0,153,0.15,27,conditionally beneficial,2,0,178,0.011111111111111112,2,unresolved,0,0,180,0.0,0
BPIC15_3,handover,180,0,4,176,-0.022222222222222223,conditionally harmful,sign-changing,sign-changing,4,6,170,-0.011111111111111112,4,10,180,0.4111111111111111,3.3450691091179956,3.364646433630031,5.032447586235664,5.032447586235664,emp,400,sign-changing,2,6,172,-0.022222222222222223,8,conditionally harmful,0,4,176,-0.022222222222222223,4,conditionally harmful,0,3,177,-0.016666666666666666,3
BPIC15_4,duration,180,0,0,180,0.0,unresolved,unresolved,conditionally beneficial,2,0,178,0.011111111111111112,0,2,180,0.5833333333333334,3.409403695949947,3.428652877570033,5.846539281672141,5.846539281672141,emp,400,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0,unresolved,0,0,180,0.0,0
