scope,label,kind,regime,factor,is_widening,applied,n_cells,q,q_effective,n_beneficial,n_harmful,n_unresolved,median_width,min_lo
reference curve,nominal,none,,1.0,False,False,31,3.574210982848223,3.574210982848223,18,0,13,0.013557795210467842,-0.013036324626964156
whole family,nominal,none,,1.0,False,False,248,3.574210982848223,3.574210982848223,110,1,137,0.009653328589307213,-0.029357766562430478
reference curve,"corpus ratio, admissible cells",ratio,,2.238407263053817,False,False,31,3.574210982848223,8.000539823694185,7,0,24,0.03034786727010748,-0.04689837819575393
whole family,"corpus ratio, admissible cells",ratio,,2.238407263053817,False,False,248,3.574210982848223,8.000539823694185,27,0,221,0.02160808082695033,-0.07108123426146179
reference curve,"corpus ratio, all cells",ratio,,2.67711728623712,False,False,31,3.574210982848223,9.568582006841545,3,0,28,0.0362958079212063,-0.061993909355196206
whole family,"corpus ratio, all cells",ratio,,2.67711728623712,False,False,248,3.574210982848223,9.568582006841545,4,0,244,0.02584309283616134,-0.08612697854759761
reference curve,"admissible, smallest shortfall",shortfall,heavy,2.199328438451812,True,False,31,3.574210982848223,7.860863859604899,7,0,24,0.029818044569087702,-0.04555371866376173
whole family,"admissible, smallest shortfall",shortfall,heavy,2.199328438451812,True,False,248,3.574210982848223,7.860863859604899,28,0,220,0.021230840092183272,-0.06974100957797227
reference curve,"admissible, median shortfall",shortfall,heavy,2.299189455148469,True,False,31,3.574210982848223,8.21778820224048,6,0,25,0.03117193978297008,-0.04898982682062533
whole family,"admissible, median shortfall",shortfall,heavy,2.299189455148469,True,False,248,3.574210982848223,8.21778820224048,21,0,227,0.02219483129961839,-0.0731657850377836
reference curve,"admissible, largest shortfall",shortfall,heavy,2.6100048567730716,True,True,31,3.574210982848223,9.328708024365516,5,0,26,0.03538591134645576,-0.05968464419911583
whole family,"admissible, largest shortfall",shortfall,heavy,2.6100048567730716,True,True,248,3.574210982848223,9.328708024365516,7,0,241,0.025195234502118174,-0.08382532962512587
reference curve,"all cells, smallest shortfall",shortfall,degenerate,2.2107512246643553,True,False,31,3.574210982848223,7.901691307540498,7,0,24,0.029972912365290316,-0.04594676422025007
whole family,"all cells, smallest shortfall",shortfall,degenerate,2.2107512246643553,True,False,248,3.574210982848223,7.901691307540498,28,0,220,0.02134110800089836,-0.07013275882304779
reference curve,"all cells, median shortfall",shortfall,degenerate,2.3794257772501965,True,False,31,3.574210982848223,8.504569745919822,5,0,26,0.03225976740646644,-0.05175067074121113
whole family,"all cells, median shortfall",shortfall,degenerate,2.3794257772501965,True,False,248,3.574210982848223,8.504569745919822,16,0,232,0.02296937888166386,-0.07591752336380361
reference curve,"all cells, largest shortfall",shortfall,degenerate,2.583986187308696,True,False,31,3.574210982848223,9.235711810206848,5,0,26,0.035033155554208904,-0.058789370294095866
whole family,"all cells, largest shortfall",shortfall,degenerate,2.583986187308696,True,False,248,3.574210982848223,9.235711810206848,9,0,239,0.024944067736321983,-0.08293300844088222
