log,target,metric,n_cells,n_draws,var_surface,mean_se,sigma2,rho_mean,noise_independent,noise_correlated,share_independent,share_correlated
BPIC13_closed,handover,auc,36,400,0.0006685566061134315,0.03861940392894309,0.0020851668857092267,0.12011704895195047,0.0020851668857092267,0.0018347027928255052,3.118908506238654,2.7442744205181304
BPIC13_closed,handover,ap,36,400,0.0009025644498170079,0.03870170331636773,0.0017150552910757686,0.09388147406232049,0.0017150552910757686,0.0015540433722511934,1.9002025743685016,1.7218087556697705
BPIC13_closed,handover,brier_skill,36,400,0.005295910047816125,0.07854970120486413,0.009236382024669858,0.1224012091976332,0.009236382024669858,0.008105837696238984,1.7440594612211484,1.5305844742551074
BPIC13_closed,handover,nagelkerke,36,400,0.054277907205229986,0.28009264150895,0.16462580739340285,0.10878653355870553,0.16462580739340285,0.14671673647277145,3.033016854738648,2.7030654648865027
BPIC13_closed,handover,logloss_skill,36,400,0.005675877559081268,0.09360573015878666,0.0138999932808573,0.11451783990472834,0.0138999932808573,0.012308196075643285,2.4489593258786293,2.168509793864469
BPIC13_incidents,duration,auc,36,400,0.001388991231671245,0.021434948165256422,0.0005255816105644293,0.17706947690373906,0.0005255816105644293,0.0004325171497115611,0.37839087719225234,0.3113894025026732
BPIC13_incidents,duration,ap,36,400,0.0007004127795999269,0.0206417373982483,0.00047661633484775084,0.20473039507844099,0.00047661633484775084,0.0003790384843135323,0.680479209873915,0.5411644323937631
BPIC13_incidents,duration,brier_skill,36,400,0.0010812503492377288,0.058543248795213804,0.0049176621644173996,0.15678633468956815,0.0049176621644173996,0.0041466399384168275,4.548125388245474,3.8350414789138974
BPIC13_incidents,duration,nagelkerke,36,400,0.0025598718637744257,0.11227654150210092,0.01975506511164217,0.15462707929461664,0.01975506511164217,0.01670039709215396,7.717208580320946,6.523919157238563
BPIC13_incidents,duration,logloss_skill,36,400,0.0007820102675153571,0.05141180956350389,0.003807488939934758,0.1567165177884441,0.003807488939934758,0.0032107925317501683,4.868847760825578,4.105818894106931
